cyprinodon_variegatus ENSCVAG00000008100
fundulus_heteroclitus ENSFHEG00000015981
poecilia_formosa ENSPFOG00000007165
poecilia_latipinna ENSPLAG00000008969
poecilia_mexicana ENSPMEG00000015036
poecilia_reticulata ENSPREG00000005604
xiphophorus_maculatus ENSXMAG00000028350
xiphophorus_couchianus ENSXCOG00000007549
gambusia_affinis ENSGAFG00000011778
kryptolebias_marmoratus ENSKMAG00000004989
oryzias_latipes_asm223469v1 ENSORLG00015004589
oryzias_latipes_asm223471v1 ENSORLG00020009877
oryzias_latipes_asm223467v1 ENSORLG00000010916
oryzias_melastigma ENSOMEG00000010368
amphiprion_ocellaris ENSAOCG00000024766
amphiprion_percula ENSAPEG00000003237
acanthochromis_polyacanthus ENSAPOG00000016018
stegastes_partitus ENSSPAG00000003339
seriola_lalandi_dorsalis ENSSLDG00000019903
seriola_dumerili ENSSDUG00000009033
mola_mola ENSMMOG00000017085
mastacembelus_armatus ENSMAMG00000001801
anabas_testudineus ENSATEG00000021270
scophthalmus_maximus ENSSMAG00000009195
cynoglossus_semilaevis ENSCSEG00000010024
monopterus_albus ENSMALG00000007240
labrus_bergylta ENSLBEG00000009733
gasterosteus_aculeatus ENSGACG00000016122
takifugu_rubripes ENSTRUG00000020040
tetraodon_nigroviridis ENSTNIG00000006932
pundamilia_nyererei ENSPNYG00000020189
haplochromis_burtoni ENSHBUG00000014228
astatotilapia_calliptera ENSACLG00000012289
maylandia_zebra ENSMZEG00005009566
oreochromis_niloticus ENSONIG00000018585
neolamprologus_brichardi ENSNBRG00000005354
amphilophus_citrinellus ENSACIG00000018995
hippocampus_comes ENSHCOG00000004413
periophthalmus_magnuspinnatus ENSPMGG00000009207
gadus_morhua ENSGMOG00000009222
esox_lucius ENSELUG00000004518
astyanax_mexicanus ENSAMXG00000019306
pygocentrus_nattereri ENSPNAG00000025684
ictalurus_punctatus ENSIPUG00000008757
danio_rerio ENSDARG00000036106
scleropages_formosus ENSSFOG00015012080
paramormyrops_kingsleyae ENSPKIG00000018364
lepisosteus_oculatus ENSLOCG00000007296
