astatotilapia_calliptera ENSACLG00000015510
pundamilia_nyererei ENSPNYG00000020111
maylandia_zebra ENSMZEG00005014484
haplochromis_burtoni ENSHBUG00000012398
neolamprologus_brichardi ENSNBRG00000005608
oreochromis_niloticus ENSONIG00000013886
amphilophus_citrinellus ENSACIG00000022684
tetraodon_nigroviridis ENSTNIG00000000293
labrus_bergylta ENSLBEG00000019084
cynoglossus_semilaevis ENSCSEG00000012591
amphiprion_ocellaris ENSAOCG00000013230
amphiprion_percula ENSAPEG00000002398
acanthochromis_polyacanthus ENSAPOG00000007737
stegastes_partitus ENSSPAG00000002815
mastacembelus_armatus ENSMAMG00000005394
scophthalmus_maximus ENSSMAG00000002661
seriola_dumerili ENSSDUG00000010043
seriola_lalandi_dorsalis ENSSLDG00000019313
anabas_testudineus ENSATEG00000013590
mola_mola ENSMMOG00000020336
takifugu_rubripes ENSTRUG00000005005
monopterus_albus ENSMALG00000009395
fundulus_heteroclitus ENSFHEG00000004552
cyprinodon_variegatus ENSCVAG00000010175
xiphophorus_maculatus ENSXMAG00000029096
xiphophorus_couchianus ENSXCOG00000004749
gambusia_affinis ENSGAFG00000011707
poecilia_formosa ENSPFOG00000024001
poecilia_mexicana ENSPMEG00000007670
poecilia_latipinna ENSPLAG00000010688
poecilia_reticulata ENSPREG00000004217
kryptolebias_marmoratus ENSKMAG00000007973
oryzias_latipes_asm223467v1 ENSORLG00000028603
oryzias_latipes_asm223469v1 ENSORLG00015003100
oryzias_melastigma ENSOMEG00000005660
hippocampus_comes ENSHCOG00000021106
periophthalmus_magnuspinnatus ENSPMGG00000004118
esox_lucius ENSELUG00000004470
pygocentrus_nattereri ENSPNAG00000021873
astyanax_mexicanus ENSAMXG00000011652
ictalurus_punctatus ENSIPUG00000020703
danio_rerio ENSDARG00000076988
scleropages_formosus ENSSFOG00015010717
paramormyrops_kingsleyae ENSPKIG00000008996
lepisosteus_oculatus ENSLOCG00000009783
sphenodon_punctatus ENSSPUG00000008841
sphenodon_punctatus ENSSPUG00000008846
anolis_carolinensis ENSACAG00000000171
gallus_gallus ENSGALG00000011368
coturnix_japonica ENSCJPG00005002762
meleagris_gallopavo ENSMGAG00000013364
anas_platyrhynchos_platyrhynchos ENSAPLG00000013003
manacus_vitellinus ENSMVIG00005007491
manacus_vitellinus ENSMVIG00005008034
lepidothrix_coronata ENSLCOG00000009284
taeniopygia_guttata ENSTGUG00000012812
lonchura_striata_domestica ENSLSDG00000005121
serinus_canaria ENSSCAG00000006724
parus_major ENSPMJG00000017320
junco_hyemalis ENSJHYG00000011673
zonotrichia_albicollis ENSZALG00000006102
ficedula_albicollis ENSFALG00000002746
calidris_pygmaea ENSCPGG00000009068
calidris_pugnax ENSCPUG00000003921
melopsittacus_undulatus ENSMUNG00000002312
apteryx_rowi ENSARWG00000016127
apteryx_haastii ENSAHAG00000006094
dromaius_novaehollandiae ENSDNVG00000004380
crocodylus_porosus ENSCPRG00005013306
gopherus_agassizii ENSGAGG00000013241
chelonoidis_abingdonii ENSCABG00000007792
chrysemys_picta_bellii ENSCPBG00000019547
pelodiscus_sinensis ENSPSIG00000017093
latimeria_chalumnae ENSLACG00000005283
phascolarctos_cinereus ENSPCIG00000015079
notamacropus_eugenii ENSMEUG00000003922
sarcophilus_harrisii ENSSHAG00000007834
monodelphis_domestica ENSMODG00000013320
ursus_maritimus ENSUMAG00000002473
ursus_americanus ENSUAMG00000018785
ailuropoda_melanoleuca ENSAMEG00000018218
mustela_putorius_furo ENSMPUG00000002705
neovison_vison ENSNVIG00000009823
canis_lupus_familiaris ENSCAFG00000018049
canis_lupus_dingo ENSCAFG00020009076
panthera_pardus ENSPPRG00000024466
panthera_tigris_altaica ENSPTIG00000007428
felis_catus ENSFCAG00000023382
equus_caballus ENSECAG00000017856
capra_hircus ENSCHIG00000014686
ovis_aries ENSOARG00000004463
bos_taurus ENSBTAG00000010993
tursiops_truncatus ENSTTRG00000016069
sus_scrofa ENSSSCG00000002532
pteropus_vampyrus ENSPVAG00000017790
myotis_lucifugus ENSMLUG00000003736
erinaceus_europaeus ENSEEUG00000003399
pan_paniscus ENSPPAG00000027810
pan_troglodytes ENSPTRG00000006740
homo_sapiens ENSG00000022976
gorilla_gorilla ENSGGOG00000006061
pongo_abelii ENSPPYG00000006157
nomascus_leucogenys ENSNLEG00000015996
mandrillus_leucophaeus ENSMLEG00000028083
chlorocebus_sabaeus ENSCSAG00000010179
macaca_fascicularis ENSMFAG00000045906
macaca_mulatta ENSMMUG00000010493
macaca_nemestrina ENSMNEG00000040191
theropithecus_gelada ENSTGEG00000008768
papio_anubis ENSPANG00000025531
cercocebus_atys ENSCATG00000038367
piliocolobus_tephrosceles ENSPTEG00000000303
colobus_angolensis_palliatus ENSCANG00000017174
rhinopithecus_bieti ENSRBIG00000040573
rhinopithecus_roxellana ENSRROG00000039783
saimiri_boliviensis_boliviensis ENSSBOG00000011469
cebus_capucinus_imitator ENSCCAG00000021804
aotus_nancymaae ENSANAG00000032749
carlito_syrichta ENSTSYG00000010705
tupaia_belangeri ENSTBEG00000003051
propithecus_coquereli ENSPCOG00000021768
prolemur_simus ENSPSMG00000022791
microcebus_murinus ENSMICG00000006615
otolemur_garnettii ENSOGAG00000027947
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021271
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018970
mus_spicilegus ENSMSIG00000008193
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018121
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029878
rattus_norvegicus ENSRNOG00000031661
meriones_unguiculatus ENSMUGG00000005747
cricetulus_griseus_crigri-picr ENSCGRG00015018708
cricetulus_griseus_crigri_1.0 ENSCGRG00000015197
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010768
mesocricetus_auratus ENSMAUG00000001267
peromyscus_maniculatus_bairdii ENSPEMG00000024097
