ornithorhynchus_anatinus ENSOANG00000022700
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030743
taeniopygia_guttata ENSTGUG00000004060
cyanistes_caeruleus ENSCCEG00000019783
junco_hyemalis ENSJHYG00000004828
anser_brachyrhynchus ENSABRG00000007147
anas_platyrhynchos_platyrhynchos ENSAPLG00000002747
gallus_gallus ENSGALG00000050503
meleagris_gallopavo ENSMGAG00000003240
melopsittacus_undulatus ENSMUNG00000015718
apteryx_rowi ENSARWG00000003410
apteryx_owenii ENSAOWG00000004049
dromaius_novaehollandiae ENSDNVG00000009863
lonchura_striata_domestica ENSLSDG00000000573
salvator_merianae ENSSMRG00000017228
xenopus_tropicalis ENSXETG00000010510
latimeria_chalumnae ENSLACG00000022264
phascolarctos_cinereus ENSPCIG00000030317
sarcophilus_harrisii ENSSHAG00000000133
equus_caballus ENSECAG00000031722
ovis_aries ENSOARG00000001471
myotis_lucifugus ENSMLUG00000022700
myotis_lucifugus ENSMLUG00000027580
myotis_lucifugus ENSMLUG00000024715
cricetulus_griseus_crigri-picr ENSCGRG00015022319
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023145
cricetulus_griseus_crigri_1.0 ENSCGRG00000002066
microtus_ochrogaster ENSMOCG00000006021
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030744
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030745
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000010751
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037613
mus_spicilegus ENSMSIG00000006381
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013940
meriones_unguiculatus ENSMUGG00000020491
nannospalax_galili ENSNGAG00000012833
dipodomys_ordii ENSDORG00000029883
chinchilla_lanigera ENSCLAG00000016141
capra_hircus ENSCHIG00000015350
capra_hircus ENSCHIG00000000184
capra_hircus ENSCHIG00000016294
ovis_aries ENSOARG00000003000
bos_taurus ENSBTAG00000039129
bos_mutus ENSBMUG00000024102
equus_caballus ENSECAG00000035596
mustela_putorius_furo ENSMPUG00000005039
neovison_vison ENSNVIG00000008512
ursus_americanus ENSUAMG00000002471
ursus_maritimus ENSUMAG00000006941
vulpes_vulpes ENSVVUG00000003466
canis_lupus_dingo ENSCAFG00020017184
cricetulus_griseus_crigri_1.0 ENSCGRG00000001810
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014733
cricetulus_griseus_crigri-picr ENSCGRG00015022321
mesocricetus_auratus ENSMAUG00000020091
peromyscus_maniculatus_bairdii ENSPEMG00000015893
microtus_ochrogaster ENSMOCG00000004531
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045362
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031853
mus_spicilegus ENSMSIG00000028659
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013939
rattus_norvegicus ENSRNOG00000043486
meriones_unguiculatus ENSMUGG00000020465
pogona_vitticeps ENSPVIG00000023529
anolis_carolinensis ENSACAG00000029485
salvator_merianae ENSSMRG00000014188
sphenodon_punctatus ENSSPUG00000003240
apteryx_owenii ENSAOWG00000017496
apteryx_haastii ENSAHAG00000010497
apteryx_rowi ENSARWG00000010559
dromaius_novaehollandiae ENSDNVG00000013571
nothoprocta_perdicaria ENSNPEG00000009801
anser_brachyrhynchus ENSABRG00000003216
anas_platyrhynchos_platyrhynchos ENSAPLG00000002387
gallus_gallus ENSGALG00000006407
coturnix_japonica ENSCJPG00005010762
numida_meleagris ENSNMEG00000011416
calidris_pygmaea ENSCPGG00000000791
calidris_pugnax ENSCPUG00000003090
melopsittacus_undulatus ENSMUNG00000009852
lepidothrix_coronata ENSLCOG00000013851
manacus_vitellinus ENSMVIG00005010691
cyanistes_caeruleus ENSCCEG00000008886
parus_major ENSPMJG00000009118
junco_hyemalis ENSJHYG00000013322
taeniopygia_guttata ENSTGUG00000009097
lonchura_striata_domestica ENSLSDG00000012333
serinus_canaria ENSSCAG00000004800
ficedula_albicollis ENSFALG00000011407
ficedula_albicollis ENSFALG00000011394
crocodylus_porosus ENSCPRG00005017195
chrysemys_picta_bellii ENSCPBG00000007313
gopherus_agassizii ENSGAGG00000025756
pelodiscus_sinensis ENSPSIG00000005693
latimeria_chalumnae ENSLACG00000015570
