pundamilia_nyererei ENSPNYG00000023830
oryzias_melastigma ENSOMEG00000005826
anabas_testudineus ENSATEG00000018101
gadus_morhua ENSGMOG00000016204
gadus_morhua ENSGMOG00000001569
astyanax_mexicanus ENSAMXG00000041062
astyanax_mexicanus ENSAMXG00000031636
astyanax_mexicanus ENSAMXG00000029863
oryzias_latipes_asm223471v1 ENSORLG00020005333
oryzias_latipes_asm223469v1 ENSORLG00015020488
oryzias_latipes_asm223467v1 ENSORLG00000025811
oryzias_latipes_asm223467v1 ENSORLG00000026508
oryzias_latipes_asm223467v1 ENSORLG00000023718
oryzias_latipes_asm223469v1 ENSORLG00015022484
oryzias_latipes_asm223469v1 ENSORLG00015018163
oryzias_latipes_asm223469v1 ENSORLG00015000311
oryzias_latipes_asm223467v1 ENSORLG00000028474
astatotilapia_calliptera ENSACLG00000006674
maylandia_zebra ENSMZEG00005002043
maylandia_zebra ENSMZEG00005018033
maylandia_zebra ENSMZEG00005000462
maylandia_zebra ENSMZEG00005006794
astatotilapia_calliptera ENSACLG00000007194
labrus_bergylta ENSLBEG00000013234
gadus_morhua ENSGMOG00000001492
poecilia_formosa ENSPFOG00000024429
oreochromis_niloticus ENSONIG00000000271
poecilia_reticulata ENSPREG00000003467
poecilia_formosa ENSPFOG00000024336
amphiprion_ocellaris ENSAOCG00000009833
amphiprion_percula ENSAPEG00000005609
stegastes_partitus ENSSPAG00000001463
kryptolebias_marmoratus ENSKMAG00000006032
astatotilapia_calliptera ENSACLG00000009592
amphilophus_citrinellus ENSACIG00000007019
labrus_bergylta ENSLBEG00000023844
monopterus_albus ENSMALG00000009129
monopterus_albus ENSMALG00000016686
paramormyrops_kingsleyae ENSPKIG00000012378
paramormyrops_kingsleyae ENSPKIG00000024027
astyanax_mexicanus ENSAMXG00000034989
oryzias_latipes_asm223471v1 ENSORLG00020002794
oryzias_latipes_asm223467v1 ENSORLG00000022215
oryzias_latipes_asm223469v1 ENSORLG00015015465
kryptolebias_marmoratus ENSKMAG00000021985
poecilia_formosa ENSPFOG00000023026
oreochromis_niloticus ENSONIG00000017650
gadus_morhua ENSGMOG00000008686
acanthochromis_polyacanthus ENSAPOG00000022881
fundulus_heteroclitus ENSFHEG00000012282
fundulus_heteroclitus ENSFHEG00000015973
kryptolebias_marmoratus ENSKMAG00000010020
poecilia_formosa ENSPFOG00000023299
astyanax_mexicanus ENSAMXG00000031830
oryzias_melastigma ENSOMEG00000012725
gadus_morhua ENSGMOG00000018861
oryzias_latipes_asm223467v1 ENSORLG00000026469
oryzias_latipes_asm223467v1 ENSORLG00000027273
oryzias_latipes_asm223469v1 ENSORLG00015013271
esox_lucius ENSELUG00000014816
paramormyrops_kingsleyae ENSPKIG00000012171
gasterosteus_aculeatus ENSGACG00000007939
labrus_bergylta ENSLBEG00000008716
astyanax_mexicanus ENSAMXG00000044006
astyanax_mexicanus ENSAMXG00000038309
paramormyrops_kingsleyae ENSPKIG00000005996
oryzias_latipes_asm223471v1 ENSORLG00020020409
oryzias_latipes_asm223469v1 ENSORLG00015001194
oryzias_latipes_asm223467v1 ENSORLG00000029716
oryzias_latipes_asm223467v1 ENSORLG00000029410
fundulus_heteroclitus ENSFHEG00000007802
cyprinodon_variegatus ENSCVAG00000009132
cyprinodon_variegatus ENSCVAG00000002081
poecilia_formosa ENSPFOG00000023680
kryptolebias_marmoratus ENSKMAG00000004594
amphilophus_citrinellus ENSACIG00000014257
esox_lucius ENSELUG00000020466
labrus_bergylta ENSLBEG00000009798
labrus_bergylta ENSLBEG00000027166
labrus_bergylta ENSLBEG00000009065
labrus_bergylta ENSLBEG00000007516
mastacembelus_armatus ENSMAMG00000009418
mastacembelus_armatus ENSMAMG00000011371
hippocampus_comes ENSHCOG00000003001
oryzias_melastigma ENSOMEG00000011123
oryzias_latipes_asm223467v1 ENSORLG00000029749
oryzias_latipes_asm223469v1 ENSORLG00015004868
oryzias_latipes_asm223471v1 ENSORLG00020016006
oryzias_latipes_asm223467v1 ENSORLG00000027080
xiphophorus_maculatus ENSXMAG00000028100
xiphophorus_couchianus ENSXCOG00000019225
cyprinodon_variegatus ENSCVAG00000004561
fundulus_heteroclitus ENSFHEG00000008905
kryptolebias_marmoratus ENSKMAG00000012446
poecilia_formosa ENSPFOG00000002889
amphilophus_citrinellus ENSACIG00000001683
pygocentrus_nattereri ENSPNAG00000021026
