bos_taurus ENSBTAG00000048980
bos_mutus ENSBMUG00000012558
ovis_aries ENSOARG00000004774
equus_asinus_asinus ENSEASG00005011251
mesocricetus_auratus ENSMAUG00000015635
microtus_ochrogaster ENSMOCG00000012772
cricetulus_griseus_crigri_1.0 ENSCGRG00000016413
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017750
mesocricetus_auratus ENSMAUG00000021412
microtus_ochrogaster ENSMOCG00000002418
meriones_unguiculatus ENSMUGG00000017292
nannospalax_galili ENSNGAG00000006220
chinchilla_lanigera ENSCLAG00000014715
ochotona_princeps ENSOPRG00000000314
ochotona_princeps ENSOPRG00000012047
papio_anubis ENSPANG00000022938
procavia_capensis ENSPCAG00000000189
