cavia_aperea ENSCAPG00000015882
cavia_porcellus ENSCPOG00000033068
chinchilla_lanigera ENSCLAG00000014645
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001495
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002187
fukomys_damarensis ENSFDAG00000018470
octodon_degus ENSODEG00000001157
dipodomys_ordii ENSDORG00000023717
erinaceus_europaeus ENSEEUG00000007530
erinaceus_europaeus ENSEEUG00000009112
sorex_araneus ENSSARG00000011972
sorex_araneus ENSSARG00000000032
ochotona_princeps ENSOPRG00000009508
ursus_maritimus ENSUMAG00000016552
ursus_americanus ENSUAMG00000011636
ailuropoda_melanoleuca ENSAMEG00000007098
mustela_putorius_furo ENSMPUG00000017532
neovison_vison ENSNVIG00000008446
canis_lupus_familiaris ENSCAFG00000013901
canis_lupus_dingo ENSCAFG00020003511
vulpes_vulpes ENSVVUG00000010522
panthera_tigris_altaica ENSPTIG00000020280
panthera_pardus ENSPPRG00000012182
felis_catus ENSFCAG00000009350
ovis_aries ENSOARG00000002072
capra_hircus ENSCHIG00000011898
bos_mutus ENSBMUG00000006009
bos_taurus ENSBTAG00000014683
bison_bison_bison ENSBBBG00000003934
tursiops_truncatus ENSTTRG00000014015
sus_scrofa ENSSSCG00000000668
vicugna_pacos ENSVPAG00000001343
equus_caballus ENSECAG00000017163
equus_asinus_asinus ENSEASG00005015951
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029857
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040613
mus_spicilegus ENSMSIG00000028960
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022580
rattus_norvegicus ENSRNOG00000015411
meriones_unguiculatus ENSMUGG00000023380
cricetulus_griseus_crigri_1.0 ENSCGRG00000008644
cricetulus_griseus_crigri-picr ENSCGRG00015013821
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011130
mesocricetus_auratus ENSMAUG00000022167
peromyscus_maniculatus_bairdii ENSPEMG00000023841
microtus_ochrogaster ENSMOCG00000016170
nannospalax_galili ENSNGAG00000022607
jaculus_jaculus ENSJJAG00000022108
castor_canadensis ENSCCNG00000010585
oryctolagus_cuniculus ENSOCUG00000025736
tupaia_belangeri ENSTBEG00000010043
theropithecus_gelada ENSTGEG00000006506
papio_anubis ENSPANG00000021027
mandrillus_leucophaeus ENSMLEG00000036301
cercocebus_atys ENSCATG00000021613
macaca_nemestrina ENSMNEG00000029670
macaca_fascicularis ENSMFAG00000000277
chlorocebus_sabaeus ENSCSAG00000009817
piliocolobus_tephrosceles ENSPTEG00000036245
colobus_angolensis_palliatus ENSCANG00000038359
rhinopithecus_bieti ENSRBIG00000031161
rhinopithecus_roxellana ENSRROG00000033576
pan_troglodytes ENSPTRG00000004614
pan_paniscus ENSPPAG00000027657
homo_sapiens ENSG00000111701
pongo_abelii ENSPPYG00000004228
nomascus_leucogenys ENSNLEG00000005342
cebus_capucinus_imitator ENSCCAG00000022258
saimiri_boliviensis_boliviensis ENSSBOG00000030587
callithrix_jacchus ENSCJAG00000005398
aotus_nancymaae ENSANAG00000027743
carlito_syrichta ENSTSYG00000029141
prolemur_simus ENSPSMG00000005257
propithecus_coquereli ENSPCOG00000013957
microcebus_murinus ENSMICG00000043645
otolemur_garnettii ENSOGAG00000026415
urocitellus_parryii ENSUPAG00010022090
marmota_marmota_marmota ENSMMMG00000014065
spermophilus_dauricus ENSSDAG00000002952
ictidomys_tridecemlineatus ENSSTOG00000021971
pteropus_vampyrus ENSPVAG00000010709
loxodonta_africana ENSLAFG00000030837
procavia_capensis ENSPCAG00000008733
echinops_telfairi ENSETEG00000004867
dasypus_novemcinctus ENSDNOG00000010926
choloepus_hoffmanni ENSCHOG00000002355
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028825
phascolarctos_cinereus ENSPCIG00000023973
notamacropus_eugenii ENSMEUG00000013406
sarcophilus_harrisii ENSSHAG00000008925
monodelphis_domestica ENSMODG00000018004
chelonoidis_abingdonii ENSCABG00000012667
gopherus_agassizii ENSGAGG00000011837
chrysemys_picta_bellii ENSCPBG00000014335
sphenodon_punctatus ENSSPUG00000009044
calidris_pugnax ENSCPUG00000007137
calidris_pygmaea ENSCPGG00000007814
melopsittacus_undulatus ENSMUNG00000014406
anas_platyrhynchos_platyrhynchos ENSAPLG00000028436
anser_brachyrhynchus ENSABRG00000013575
manacus_vitellinus ENSMVIG00005014221
lepidothrix_coronata ENSLCOG00000004382
taeniopygia_guttata ENSTGUG00000013118
lonchura_striata_domestica ENSLSDG00000000774
serinus_canaria ENSSCAG00000015287
zonotrichia_albicollis ENSZALG00000015801
junco_hyemalis ENSJHYG00000012357
ficedula_albicollis ENSFALG00000007257
cyanistes_caeruleus ENSCCEG00000011209
parus_major ENSPMJG00000003541
crocodylus_porosus ENSCPRG00005000694
chrysemys_picta_bellii ENSCPBG00000014331
chelonoidis_abingdonii ENSCABG00000012665
anolis_carolinensis ENSACAG00000028578
salvator_merianae ENSSMRG00000004560
salvator_merianae ENSSMRG00000004573
chelonoidis_abingdonii ENSCABG00000012644
gopherus_agassizii ENSGAGG00000021744
chrysemys_picta_bellii ENSCPBG00000014327
gopherus_agassizii ENSGAGG00000006624
chelonoidis_abingdonii ENSCABG00000012606
chrysemys_picta_bellii ENSCPBG00000017398
pelodiscus_sinensis ENSPSIG00000012568
pelodiscus_sinensis ENSPSIG00000012791
chelonoidis_abingdonii ENSCABG00000012645
chrysemys_picta_bellii ENSCPBG00000014328
chelonoidis_abingdonii ENSCABG00000012641
gopherus_agassizii ENSGAGG00000021745
calidris_pygmaea ENSCPGG00000007811
calidris_pugnax ENSCPUG00000007138
melopsittacus_undulatus ENSMUNG00000014405
manacus_vitellinus ENSMVIG00005014219
lepidothrix_coronata ENSLCOG00000004383
dromaius_novaehollandiae ENSDNVG00000001985
taeniopygia_guttata ENSTGUG00000013120
lonchura_striata_domestica ENSLSDG00000000763
cyanistes_caeruleus ENSCCEG00000011210
parus_major ENSPMJG00000003543
crocodylus_porosus ENSCPRG00005012472
gopherus_agassizii ENSGAGG00000004947
chelonoidis_abingdonii ENSCABG00000012648
chrysemys_picta_bellii ENSCPBG00000014329
