pan_paniscus ENSPPAG00000036690
pan_troglodytes ENSPTRG00000011420
homo_sapiens ENSG00000170954
pongo_abelii ENSPPYG00000029479
nomascus_leucogenys ENSNLEG00000027833
macaca_fascicularis ENSMFAG00000040786
macaca_nemestrina ENSMNEG00000032629
macaca_mulatta ENSMMUG00000010758
mandrillus_leucophaeus ENSMLEG00000041995
papio_anubis ENSPANG00000014696
cercocebus_atys ENSCATG00000031013
theropithecus_gelada ENSTGEG00000005576
chlorocebus_sabaeus ENSCSAG00000001951
colobus_angolensis_palliatus ENSCANG00000039080
piliocolobus_tephrosceles ENSPTEG00000026045
rhinopithecus_bieti ENSRBIG00000036406
rhinopithecus_roxellana ENSRROG00000035150
cebus_capucinus_imitator ENSCCAG00000034850
saimiri_boliviensis_boliviensis ENSSBOG00000024055
callithrix_jacchus ENSCJAG00000040125
aotus_nancymaae ENSANAG00000025960
prolemur_simus ENSPSMG00000024403
microcebus_murinus ENSMICG00000038620
