urocitellus_parryii ENSUPAG00010011739
dipodomys_ordii ENSDORG00000023276
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020476
cricetulus_griseus_crigri_1.0 ENSCGRG00000005547
cricetulus_griseus_crigri_1.0 ENSCGRG00000012679
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021613
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013841
cricetulus_griseus_crigri_1.0 ENSCGRG00000010432
mesocricetus_auratus ENSMAUG00000002296
microtus_ochrogaster ENSMOCG00000022679
peromyscus_maniculatus_bairdii ENSPEMG00000015862
jaculus_jaculus ENSJJAG00000019813
fukomys_damarensis ENSFDAG00000009826
ochotona_princeps ENSOPRG00000010603
cebus_capucinus_imitator ENSCCAG00000030911
cebus_capucinus_imitator ENSCCAG00000026424
macaca_fascicularis ENSMFAG00000044192
macaca_nemestrina ENSMNEG00000027836
theropithecus_gelada ENSTGEG00000014065
colobus_angolensis_palliatus ENSCANG00000036886
pan_troglodytes ENSPTRG00000046035
carlito_syrichta ENSTSYG00000028365
pongo_abelii ENSPPYG00000017272
carlito_syrichta ENSTSYG00000032340
prolemur_simus ENSPSMG00000024126
microcebus_murinus ENSMICG00000037534
propithecus_coquereli ENSPCOG00000022107
vulpes_vulpes ENSVVUG00000010536
canis_lupus_dingo ENSCAFG00020001897
canis_lupus_dingo ENSCAFG00020024178
vulpes_vulpes ENSVVUG00000009930
vulpes_vulpes ENSVVUG00000001268
ursus_americanus ENSUAMG00000012958
ursus_maritimus ENSUMAG00000006715
sus_scrofa ENSSSCG00000038396
echinops_telfairi ENSETEG00000012254
echinops_telfairi ENSETEG00000005056
zonotrichia_albicollis ENSZALG00000009883
anser_brachyrhynchus ENSABRG00000011549
nothoprocta_perdicaria ENSNPEG00000004427
salvator_merianae ENSSMRG00000005815
oryzias_latipes_asm223469v1 ENSORLG00015007908
drosophila_melanogaster FBgn0261792
