cebus_capucinus_imitator ENSCCAG00000029870
aotus_nancymaae ENSANAG00000025291
papio_anubis ENSPANG00000032906
mandrillus_leucophaeus ENSMLEG00000023120
piliocolobus_tephrosceles ENSPTEG00000011311
piliocolobus_tephrosceles ENSPTEG00000011347
piliocolobus_tephrosceles ENSPTEG00000031974
rhinopithecus_bieti ENSRBIG00000031039
colobus_angolensis_palliatus ENSCANG00000007059
nomascus_leucogenys ENSNLEG00000028620
microcebus_murinus ENSMICG00000031481
propithecus_coquereli ENSPCOG00000020491
equus_caballus ENSECAG00000034774
equus_asinus_asinus ENSEASG00005010725
sus_scrofa ENSSSCG00000034133
