mola_mola ENSMMOG00000007544
takifugu_rubripes ENSTRUG00000020818
labrus_bergylta ENSLBEG00000009018
seriola_dumerili ENSSDUG00000021671
seriola_dumerili ENSSDUG00000021679
seriola_lalandi_dorsalis ENSSLDG00000017333
scophthalmus_maximus ENSSMAG00000017663
anabas_testudineus ENSATEG00000004063
mastacembelus_armatus ENSMAMG00000010035
haplochromis_burtoni ENSHBUG00000009739
pundamilia_nyererei ENSPNYG00000024042
neolamprologus_brichardi ENSNBRG00000020907
oreochromis_niloticus ENSONIG00000018544
amphilophus_citrinellus ENSACIG00000010556
astatotilapia_calliptera ENSACLG00000013695
maylandia_zebra ENSMZEG00005018802
astatotilapia_calliptera ENSACLG00000013688
haplochromis_burtoni ENSHBUG00000009749
oreochromis_niloticus ENSONIG00000006738
amphilophus_citrinellus ENSACIG00000010572
amphiprion_ocellaris ENSAOCG00000005328
amphiprion_percula ENSAPEG00000004489
acanthochromis_polyacanthus ENSAPOG00000024331
stegastes_partitus ENSSPAG00000008552
xiphophorus_maculatus ENSXMAG00000005660
gambusia_affinis ENSGAFG00000001077
cyprinodon_variegatus ENSCVAG00000021459
kryptolebias_marmoratus ENSKMAG00000018298
oryzias_latipes_asm223467v1 ENSORLG00000023365
oryzias_latipes_asm223471v1 ENSORLG00020015588
oryzias_latipes_asm223469v1 ENSORLG00015008282
oryzias_melastigma ENSOMEG00000008785
oryzias_latipes_asm223467v1 ENSORLG00000029766
hippocampus_comes ENSHCOG00000007647
esox_lucius ENSELUG00000011921
