numida_meleagris ENSNMEG00000018431
coturnix_japonica ENSCJPG00005013820
anser_brachyrhynchus ENSABRG00000019281
melopsittacus_undulatus ENSMUNG00000015358
lonchura_striata_domestica ENSLSDG00000008033
parus_major ENSPMJG00000008202
junco_hyemalis ENSJHYG00000004916
zonotrichia_albicollis ENSZALG00000014588
serinus_canaria ENSSCAG00000004006
cyanistes_caeruleus ENSCCEG00000013694
lepidothrix_coronata ENSLCOG00000012092
apteryx_owenii ENSAOWG00000005076
apteryx_rowi ENSARWG00000015969
apteryx_haastii ENSAHAG00000015253
