meriones_unguiculatus ENSMUGG00000025992
mus_spicilegus ENSMSIG00000000020
macaca_nemestrina ENSMNEG00000006460
macaca_mulatta ENSMMUG00000041976
macaca_fascicularis ENSMFAG00000001434
theropithecus_gelada ENSTGEG00000024723
chlorocebus_sabaeus ENSCSAG00000003765
mandrillus_leucophaeus ENSMLEG00000037185
papio_anubis ENSPANG00000009953
cercocebus_atys ENSCATG00000031754
rhinopithecus_bieti ENSRBIG00000033213
rhinopithecus_roxellana ENSRROG00000037216
colobus_angolensis_palliatus ENSCANG00000042031
piliocolobus_tephrosceles ENSPTEG00000036959
theropithecus_gelada ENSTGEG00000001865
homo_sapiens ENSG00000128000
pan_troglodytes ENSPTRG00000010988
gorilla_gorilla ENSGGOG00000007673
nomascus_leucogenys ENSNLEG00000014151
cebus_capucinus_imitator ENSCCAG00000024250
saimiri_boliviensis_boliviensis ENSSBOG00000001960
callithrix_jacchus ENSCJAG00000014507
aotus_nancymaae ENSANAG00000036094
carlito_syrichta ENSTSYG00000029251
prolemur_simus ENSPSMG00000022886
propithecus_coquereli ENSPCOG00000020615
