cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014109
cricetulus_griseus_crigri_1.0 ENSCGRG00000007132
cricetulus_griseus_crigri-picr ENSCGRG00015016567
mesocricetus_auratus ENSMAUG00000003377
peromyscus_maniculatus_bairdii ENSPEMG00000000047
microtus_ochrogaster ENSMOCG00000013166
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000110477
mus_spicilegus ENSMSIG00000019638
rattus_norvegicus ENSRNOG00000042749
meriones_unguiculatus ENSMUGG00000008162
nannospalax_galili ENSNGAG00000005835
castor_canadensis ENSCCNG00000002785
chinchilla_lanigera ENSCLAG00000014077
spermophilus_dauricus ENSSDAG00000001613
marmota_marmota_marmota ENSMMMG00000005996
urocitellus_parryii ENSUPAG00010014367
oryctolagus_cuniculus ENSOCUG00000029377
cebus_capucinus_imitator ENSCCAG00000034499
saimiri_boliviensis_boliviensis ENSSBOG00000021765
callithrix_jacchus ENSCJAG00000040083
pan_troglodytes ENSPTRG00000046106
gorilla_gorilla ENSGGOG00000040769
nomascus_leucogenys ENSNLEG00000030616
rhinopithecus_bieti ENSRBIG00000033780
rhinopithecus_roxellana ENSRROG00000038760
colobus_angolensis_palliatus ENSCANG00000033986
macaca_fascicularis ENSMFAG00000030439
macaca_nemestrina ENSMNEG00000038760
papio_anubis ENSPANG00000030234
cercocebus_atys ENSCATG00000039970
mandrillus_leucophaeus ENSMLEG00000003686
carlito_syrichta ENSTSYG00000032318
propithecus_coquereli ENSPCOG00000025890
prolemur_simus ENSPSMG00000000128
felis_catus ENSFCAG00000035334
panthera_tigris_altaica ENSPTIG00000005256
canis_lupus_familiaris ENSCAFG00000031144
canis_lupus_dingo ENSCAFG00020007201
vulpes_vulpes ENSVVUG00000017461
ovis_aries ENSOARG00000014796
equus_caballus ENSECAG00000036708
equus_asinus_asinus ENSEASG00005020496
