tursiops_truncatus ENSTTRG00000000417
sus_scrofa ENSSSCG00000038824
capra_hircus ENSCHIG00000017152
bos_taurus ENSBTAG00000017936
neovison_vison ENSNVIG00000007394
mustela_putorius_furo ENSMPUG00000007340
canis_lupus_dingo ENSCAFG00020021910
felis_catus ENSFCAG00000031907
panthera_pardus ENSPPRG00000009720
equus_asinus_asinus ENSEASG00005023047
equus_caballus ENSECAG00000017718
myotis_lucifugus ENSMLUG00000002180
microcebus_murinus ENSMICG00000002090
propithecus_coquereli ENSPCOG00000023777
prolemur_simus ENSPSMG00000018605
otolemur_garnettii ENSOGAG00000026708
pan_troglodytes ENSPTRG00000021238
homo_sapiens ENSG00000260230
papio_anubis ENSPANG00000025735
theropithecus_gelada ENSTGEG00000028957
cercocebus_atys ENSCATG00000026013
macaca_mulatta ENSMMUG00000017514
macaca_nemestrina ENSMNEG00000036099
chlorocebus_sabaeus ENSCSAG00000011596
piliocolobus_tephrosceles ENSPTEG00000033272
callithrix_jacchus ENSCJAG00000017183
rhinopithecus_bieti ENSRBIG00000039628
gorilla_gorilla ENSGGOG00000009128
saimiri_boliviensis_boliviensis ENSSBOG00000022321
aotus_nancymaae ENSANAG00000029146
nomascus_leucogenys ENSNLEG00000017427
pan_paniscus ENSPPAG00000043479
macaca_fascicularis ENSMFAG00000013386
cebus_capucinus_imitator ENSCCAG00000032250
bison_bison_bison ENSBBBG00000023138
bos_mutus ENSBMUG00000007055
ovis_aries ENSOARG00000007036
vicugna_pacos ENSVPAG00000007124
erinaceus_europaeus ENSEEUG00000001136
ailuropoda_melanoleuca ENSAMEG00000018069
canis_lupus_familiaris ENSCAFG00000002840
panthera_tigris_altaica ENSPTIG00000014536
pteropus_vampyrus ENSPVAG00000012709
cavia_aperea ENSCAPG00000000334
cavia_porcellus ENSCPOG00000009827
fukomys_damarensis ENSFDAG00000021210
oryctolagus_cuniculus ENSOCUG00000014570
rhinopithecus_roxellana ENSRROG00000022515
colobus_angolensis_palliatus ENSCANG00000038527
mandrillus_leucophaeus ENSMLEG00000033941
pongo_abelii ENSPPYG00000019486
