felis_catus ENSFCAG00000046481
panthera_tigris_altaica ENSPTIG00000006024
mustela_putorius_furo ENSMPUG00000002446
bos_taurus ENSBTAG00000051402
bison_bison_bison ENSBBBG00000012037
capra_hircus ENSCHIG00000016753
sus_scrofa ENSSSCG00000040426
equus_asinus_asinus ENSEASG00005014933
equus_caballus ENSECAG00000038771
pan_troglodytes ENSPTRG00000047690
pan_paniscus ENSPPAG00000022005
homo_sapiens ENSG00000237489
gorilla_gorilla ENSGGOG00000040115
nomascus_leucogenys ENSNLEG00000035256
theropithecus_gelada ENSTGEG00000028979
mandrillus_leucophaeus ENSMLEG00000033208
papio_anubis ENSPANG00000035954
macaca_nemestrina ENSMNEG00000031982
macaca_fascicularis ENSMFAG00000031525
cercocebus_atys ENSCATG00000007567
chlorocebus_sabaeus ENSCSAG00000004426
rhinopithecus_bieti ENSRBIG00000028485
rhinopithecus_roxellana ENSRROG00000025415
piliocolobus_tephrosceles ENSPTEG00000029540
colobus_angolensis_palliatus ENSCANG00000036262
cebus_capucinus_imitator ENSCCAG00000037486
callithrix_jacchus ENSCJAG00000044439
saimiri_boliviensis_boliviensis ENSSBOG00000033100
aotus_nancymaae ENSANAG00000000697
carlito_syrichta ENSTSYG00000037406
propithecus_coquereli ENSPCOG00000024981
prolemur_simus ENSPSMG00000004477
microcebus_murinus ENSMICG00000041553
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030606
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013811
rattus_norvegicus ENSRNOG00000050554
cricetulus_griseus_crigri-picr ENSCGRG00015000183
castor_canadensis ENSCCNG00000027268
cavia_porcellus ENSCPOG00000033482
cavia_aperea ENSCAPG00000009373
chinchilla_lanigera ENSCLAG00000003734
octodon_degus ENSODEG00000017128
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014516
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005161
ictidomys_tridecemlineatus ENSSTOG00000030833
marmota_marmota_marmota ENSMMMG00000003377
spermophilus_dauricus ENSSDAG00000024346
spermophilus_dauricus ENSSDAG00000024348
