macaca_fascicularis ENSMFAG00000039164
macaca_mulatta ENSMMUG00000043656
macaca_nemestrina ENSMNEG00000040220
mandrillus_leucophaeus ENSMLEG00000024279
cercocebus_atys ENSCATG00000029600
papio_anubis ENSPANG00000012942
theropithecus_gelada ENSTGEG00000019535
propithecus_coquereli ENSPCOG00000014866
spermophilus_dauricus ENSSDAG00000017956
ictidomys_tridecemlineatus ENSSTOG00000024410
microtus_ochrogaster ENSMOCG00000019804
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002970
canis_lupus_familiaris ENSCAFG00000011673
canis_lupus_familiaris ENSCAFG00000003316
vulpes_vulpes ENSVVUG00000006281
ailuropoda_melanoleuca ENSAMEG00000007120
pan_paniscus ENSPPAG00000035283
gorilla_gorilla ENSGGOG00000036841
nomascus_leucogenys ENSNLEG00000035193
echinops_telfairi ENSETEG00000001825
canis_lupus_familiaris ENSCAFG00000017032
canis_lupus_familiaris ENSCAFG00000003424
canis_lupus_familiaris ENSCAFG00000009769
canis_lupus_dingo ENSCAFG00020021583
ailuropoda_melanoleuca ENSAMEG00000006578
bison_bison_bison ENSBBBG00000001959
capra_hircus ENSCHIG00000007885
mustela_putorius_furo ENSMPUG00000004248
dasypus_novemcinctus ENSDNOG00000034450
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010038
chinchilla_lanigera ENSCLAG00000005433
bison_bison_bison ENSBBBG00000017291
ovis_aries ENSOARG00000013651
canis_lupus_dingo ENSCAFG00020017073
mustela_putorius_furo ENSMPUG00000002872
propithecus_coquereli ENSPCOG00000018907
oryctolagus_cuniculus ENSOCUG00000015232
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004521
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003930
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008769
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011073
nomascus_leucogenys ENSNLEG00000029516
callithrix_jacchus ENSCJAG00000003968
microcebus_murinus ENSMICG00000049506
vulpes_vulpes ENSVVUG00000025860
loxodonta_africana ENSLAFG00000031363
echinops_telfairi ENSETEG00000009747
dasypus_novemcinctus ENSDNOG00000045466
fukomys_damarensis ENSFDAG00000017766
fukomys_damarensis ENSFDAG00000012972
chinchilla_lanigera ENSCLAG00000001592
mustela_putorius_furo ENSMPUG00000004109
bison_bison_bison ENSBBBG00000021828
bos_mutus ENSBMUG00000021659
canis_lupus_familiaris ENSCAFG00000008063
saimiri_boliviensis_boliviensis ENSSBOG00000034828
mustela_putorius_furo ENSMPUG00000001550
canis_lupus_familiaris ENSCAFG00000007877
loxodonta_africana ENSLAFG00000031338
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020347
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019663
cavia_porcellus ENSCPOG00000033196
cavia_aperea ENSCAPG00000014690
rhinopithecus_bieti ENSRBIG00000041766
mesocricetus_auratus ENSMAUG00000017650
pongo_abelii ENSPPYG00000020522
rhinopithecus_bieti ENSRBIG00000029606
carlito_syrichta ENSTSYG00000030558
pan_paniscus ENSPPAG00000031104
canis_lupus_dingo ENSCAFG00020027369
canis_lupus_dingo ENSCAFG00020015447
canis_lupus_familiaris ENSCAFG00000006937
sus_scrofa ENSSSCG00000012570
dasypus_novemcinctus ENSDNOG00000038224
echinops_telfairi ENSETEG00000011373
echinops_telfairi ENSETEG00000013026
echinops_telfairi ENSETEG00000005291
oryctolagus_cuniculus ENSOCUG00000027548
saimiri_boliviensis_boliviensis ENSSBOG00000022443
canis_lupus_dingo ENSCAFG00020023000
canis_lupus_familiaris ENSCAFG00000017848
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009296
dasypus_novemcinctus ENSDNOG00000033970
canis_lupus_familiaris ENSCAFG00000032203
oryctolagus_cuniculus ENSOCUG00000022890
pongo_abelii ENSPPYG00000004339
dasypus_novemcinctus ENSDNOG00000032846
dasypus_novemcinctus ENSDNOG00000044561
myotis_lucifugus ENSMLUG00000029290
myotis_lucifugus ENSMLUG00000023634
dasypus_novemcinctus ENSDNOG00000037208
gorilla_gorilla ENSGGOG00000042480
gorilla_gorilla ENSGGOG00000042266
pan_paniscus ENSPPAG00000036232
pan_troglodytes ENSPTRG00000047542
dasypus_novemcinctus ENSDNOG00000033166
canis_lupus_familiaris ENSCAFG00000031493
mustela_putorius_furo ENSMPUG00000011119
myotis_lucifugus ENSMLUG00000029953
gorilla_gorilla ENSGGOG00000041950
castor_canadensis ENSCCNG00000015709
myotis_lucifugus ENSMLUG00000028203
dasypus_novemcinctus ENSDNOG00000034184
loxodonta_africana ENSLAFG00000006909
pan_troglodytes ENSPTRG00000048890
pan_paniscus ENSPPAG00000039681
gorilla_gorilla ENSGGOG00000037035
ailuropoda_melanoleuca ENSAMEG00000011631
