equus_asinus_asinus ENSEASG00005023402
equus_caballus ENSECAG00000014041
myotis_lucifugus ENSMLUG00000011821
ursus_maritimus ENSUMAG00000025324
ursus_americanus ENSUAMG00000017690
ailuropoda_melanoleuca ENSAMEG00000004189
mustela_putorius_furo ENSMPUG00000017642
neovison_vison ENSNVIG00000010883
canis_lupus_familiaris ENSCAFG00000009640
canis_lupus_dingo ENSCAFG00020013843
vulpes_vulpes ENSVVUG00000018900
panthera_tigris_altaica ENSPTIG00000017183
panthera_pardus ENSPPRG00000022678
felis_catus ENSFCAG00000036344
pteropus_vampyrus ENSPVAG00000012667
ovis_aries ENSOARG00000004825
capra_hircus ENSCHIG00000003245
bos_taurus ENSBTAG00000030624
bos_mutus ENSBMUG00000001918
bison_bison_bison ENSBBBG00000010373
sus_scrofa ENSSSCG00000007384
erinaceus_europaeus ENSEEUG00000008917
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040154
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025553
mus_spicilegus ENSMSIG00000028697
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024631
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026075
rattus_norvegicus ENSRNOG00000013760
meriones_unguiculatus ENSMUGG00000020814
microtus_ochrogaster ENSMOCG00000015790
peromyscus_maniculatus_bairdii ENSPEMG00000022197
cricetulus_griseus_crigri_1.0 ENSCGRG00000010709
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007787
cricetulus_griseus_crigri-picr ENSCGRG00015022384
nannospalax_galili ENSNGAG00000015351
jaculus_jaculus ENSJJAG00000021332
castor_canadensis ENSCCNG00000022889
dipodomys_ordii ENSDORG00000012524
urocitellus_parryii ENSUPAG00010003265
ictidomys_tridecemlineatus ENSSTOG00000030004
marmota_marmota_marmota ENSMMMG00000005050
spermophilus_dauricus ENSSDAG00000004059
oryctolagus_cuniculus ENSOCUG00000020941
ochotona_princeps ENSOPRG00000011913
tupaia_belangeri ENSTBEG00000004979
pan_troglodytes ENSPTRG00000013535
pan_paniscus ENSPPAG00000038621
gorilla_gorilla ENSGGOG00000003007
homo_sapiens ENSG00000175121
pongo_abelii ENSPPYG00000011047
nomascus_leucogenys ENSNLEG00000006681
macaca_fascicularis ENSMFAG00000043142
cercocebus_atys ENSCATG00000037942
rhinopithecus_roxellana ENSRROG00000031148
rhinopithecus_bieti ENSRBIG00000036014
piliocolobus_tephrosceles ENSPTEG00000022957
macaca_nemestrina ENSMNEG00000039120
macaca_mulatta ENSMMUG00000013216
theropithecus_gelada ENSTGEG00000020907
mandrillus_leucophaeus ENSMLEG00000035265
papio_anubis ENSPANG00000007528
chlorocebus_sabaeus ENSCSAG00000014282
colobus_angolensis_palliatus ENSCANG00000030430
saimiri_boliviensis_boliviensis ENSSBOG00000034340
cebus_capucinus_imitator ENSCCAG00000029383
callithrix_jacchus ENSCJAG00000017572
aotus_nancymaae ENSANAG00000023343
carlito_syrichta ENSTSYG00000012698
microcebus_murinus ENSMICG00000046725
propithecus_coquereli ENSPCOG00000017628
prolemur_simus ENSPSMG00000017598
otolemur_garnettii ENSOGAG00000006665
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004908
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007198
fukomys_damarensis ENSFDAG00000006465
octodon_degus ENSODEG00000016171
chinchilla_lanigera ENSCLAG00000008235
cavia_porcellus ENSCPOG00000013648
cavia_aperea ENSCAPG00000011658
loxodonta_africana ENSLAFG00000027430
procavia_capensis ENSPCAG00000005587
choloepus_hoffmanni ENSCHOG00000012920
phascolarctos_cinereus ENSPCIG00000009385
notamacropus_eugenii ENSMEUG00000001185
monodelphis_domestica ENSMODG00000016190
ornithorhynchus_anatinus ENSOANG00000007842
