pelodiscus_sinensis ENSPSIG00000013274
xenopus_tropicalis ENSXETG00000032045
latimeria_chalumnae ENSLACG00000010466
labrus_bergylta ENSLBEG00000025276
mola_mola ENSMMOG00000007667
anabas_testudineus ENSATEG00000021346
mastacembelus_armatus ENSMAMG00000014689
monopterus_albus ENSMALG00000001041
scophthalmus_maximus ENSSMAG00000006023
cynoglossus_semilaevis ENSCSEG00000010370
seriola_dumerili ENSSDUG00000023450
seriola_lalandi_dorsalis ENSSLDG00000000584
cyprinodon_variegatus ENSCVAG00000020089
fundulus_heteroclitus ENSFHEG00000022526
gambusia_affinis ENSGAFG00000007774
xiphophorus_maculatus ENSXMAG00000027263
poecilia_latipinna ENSPLAG00000011970
poecilia_mexicana ENSPMEG00000017785
poecilia_reticulata ENSPREG00000022322
kryptolebias_marmoratus ENSKMAG00000019728
oryzias_latipes_asm223471v1 ENSORLG00020020430
oryzias_latipes_asm223469v1 ENSORLG00015004255
oryzias_latipes_asm223467v1 ENSORLG00000029293
oryzias_melastigma ENSOMEG00000001765
amphiprion_percula ENSAPEG00000018853
amphiprion_ocellaris ENSAOCG00000003947
acanthochromis_polyacanthus ENSAPOG00000010898
stegastes_partitus ENSSPAG00000010696
pundamilia_nyererei ENSPNYG00000019973
maylandia_zebra ENSMZEG00005004991
haplochromis_burtoni ENSHBUG00000007047
astatotilapia_calliptera ENSACLG00000003320
neolamprologus_brichardi ENSNBRG00000013167
amphilophus_citrinellus ENSACIG00000020293
takifugu_rubripes ENSTRUG00000015430
hippocampus_comes ENSHCOG00000014192
periophthalmus_magnuspinnatus ENSPMGG00000023502
esox_lucius ENSELUG00000020422
astyanax_mexicanus ENSAMXG00000029917
pygocentrus_nattereri ENSPNAG00000006656
ictalurus_punctatus ENSIPUG00000016187
danio_rerio ENSDARG00000074745
scleropages_formosus ENSSFOG00015012948
paramormyrops_kingsleyae ENSPKIG00000024514
lepisosteus_oculatus ENSLOCG00000016918
