otolemur_garnettii ENSOGAG00000026140
prolemur_simus ENSPSMG00000024112
mandrillus_leucophaeus ENSMLEG00000036192
papio_anubis ENSPANG00000033366
theropithecus_gelada ENSTGEG00000011760
macaca_nemestrina ENSMNEG00000003441
macaca_fascicularis ENSMFAG00000035195
cercocebus_atys ENSCATG00000012206
chlorocebus_sabaeus ENSCSAG00000018739
colobus_angolensis_palliatus ENSCANG00000039682
piliocolobus_tephrosceles ENSPTEG00000007431
rhinopithecus_roxellana ENSRROG00000042384
rhinopithecus_bieti ENSRBIG00000044130
pan_troglodytes ENSPTRG00000047206
pan_paniscus ENSPPAG00000033296
gorilla_gorilla ENSGGOG00000043693
nomascus_leucogenys ENSNLEG00000018276
saimiri_boliviensis_boliviensis ENSSBOG00000013127
cebus_capucinus_imitator ENSCCAG00000030335
aotus_nancymaae ENSANAG00000033741
chinchilla_lanigera ENSCLAG00000007891
cavia_porcellus ENSCPOG00000037318
octodon_degus ENSODEG00000018581
fukomys_damarensis ENSFDAG00000018833
castor_canadensis ENSCCNG00000019587
urocitellus_parryii ENSUPAG00010012481
spermophilus_dauricus ENSSDAG00000018142
ictidomys_tridecemlineatus ENSSTOG00000033348
marmota_marmota_marmota ENSMMMG00000008961
rattus_norvegicus ENSRNOG00000025889
mus_spicilegus ENSMSIG00000026915
meriones_unguiculatus ENSMUGG00000017961
meriones_unguiculatus ENSMUGG00000017928
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006757
cricetulus_griseus_crigri_1.0 ENSCGRG00000016144
cricetulus_griseus_crigri-picr ENSCGRG00015014663
mesocricetus_auratus ENSMAUG00000013938
peromyscus_maniculatus_bairdii ENSPEMG00000025424
nannospalax_galili ENSNGAG00000021380
jaculus_jaculus ENSJJAG00000013483
oryctolagus_cuniculus ENSOCUG00000021234
equus_asinus_asinus ENSEASG00005023247
equus_caballus ENSECAG00000004696
myotis_lucifugus ENSMLUG00000027882
capra_hircus ENSCHIG00000004449
ovis_aries ENSOARG00000004809
bos_mutus ENSBMUG00000011542
bos_taurus ENSBTAG00000047223
bison_bison_bison ENSBBBG00000024413
sus_scrofa ENSSSCG00000033041
ursus_americanus ENSUAMG00000020212
ursus_maritimus ENSUMAG00000002311
ailuropoda_melanoleuca ENSAMEG00000019810
neovison_vison ENSNVIG00000021981
canis_lupus_familiaris ENSCAFG00000012157
canis_lupus_dingo ENSCAFG00020022038
vulpes_vulpes ENSVVUG00000016854
felis_catus ENSFCAG00000016337
panthera_pardus ENSPPRG00000016818
loxodonta_africana ENSLAFG00000020697
procavia_capensis ENSPCAG00000013743
dasypus_novemcinctus ENSDNOG00000024032
