ochotona_princeps ENSOPRG00000011642
microcebus_murinus ENSMICG00000043796
bos_taurus ENSBTAG00000047526
capra_hircus ENSCHIG00000012877
tursiops_truncatus ENSTTRG00000006844
sus_scrofa ENSSSCG00000010115
neovison_vison ENSNVIG00000022406
canis_lupus_dingo ENSCAFG00020010577
panthera_pardus ENSPPRG00000006381
felis_catus ENSFCAG00000042776
erinaceus_europaeus ENSEEUG00000003981
pteropus_vampyrus ENSPVAG00000001660
equus_caballus ENSECAG00000029926
equus_asinus_asinus ENSEASG00005006115
chinchilla_lanigera ENSCLAG00000016210
cavia_porcellus ENSCPOG00000015708
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000434
urocitellus_parryii ENSUPAG00010011849
ictidomys_tridecemlineatus ENSSTOG00000021301
marmota_marmota_marmota ENSMMMG00000002737
castor_canadensis ENSCCNG00000025431
dipodomys_ordii ENSDORG00000003785
cricetulus_griseus_crigri-picr ENSCGRG00015007171
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023953
mesocricetus_auratus ENSMAUG00000012679
microtus_ochrogaster ENSMOCG00000000116
peromyscus_maniculatus_bairdii ENSPEMG00000022039
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022738
mus_spicilegus ENSMSIG00000020007
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021428
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020533
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016238
rattus_norvegicus ENSRNOG00000000282
meriones_unguiculatus ENSMUGG00000021629
nannospalax_galili ENSNGAG00000016581
jaculus_jaculus ENSJJAG00000003618
prolemur_simus ENSPSMG00000020701
otolemur_garnettii ENSOGAG00000029019
callithrix_jacchus ENSCJAG00000040383
callithrix_jacchus ENSCJAG00000040493
cebus_capucinus_imitator ENSCCAG00000027479
aotus_nancymaae ENSANAG00000034606
pan_troglodytes ENSPTRG00000050838
pan_paniscus ENSPPAG00000035340
homo_sapiens ENSG00000063515
gorilla_gorilla ENSGGOG00000022383
pongo_abelii ENSPPYG00000011575
macaca_fascicularis ENSMFAG00000026310
macaca_mulatta ENSMMUG00000020988
macaca_nemestrina ENSMNEG00000033269
papio_anubis ENSPANG00000001053
theropithecus_gelada ENSTGEG00000003067
cercocebus_atys ENSCATG00000035723
chlorocebus_sabaeus ENSCSAG00000011500
rhinopithecus_bieti ENSRBIG00000042464
rhinopithecus_roxellana ENSRROG00000029965
piliocolobus_tephrosceles ENSPTEG00000011333
echinops_telfairi ENSETEG00000004632
loxodonta_africana ENSLAFG00000000420
dasypus_novemcinctus ENSDNOG00000012746
notamacropus_eugenii ENSMEUG00000007971
ornithorhynchus_anatinus ENSOANG00000012938
lonchura_striata_domestica ENSLSDG00000003674
serinus_canaria ENSSCAG00000004541
ficedula_albicollis ENSFALG00000007838
parus_major ENSPMJG00000017284
cyanistes_caeruleus ENSCCEG00000020974
junco_hyemalis ENSJHYG00000014357
zonotrichia_albicollis ENSZALG00000009462
manacus_vitellinus ENSMVIG00005014462
lepidothrix_coronata ENSLCOG00000012651
meleagris_gallopavo ENSMGAG00000007314
gallus_gallus ENSGALG00000044245
numida_meleagris ENSNMEG00000021623
nothoprocta_perdicaria ENSNPEG00000009878
apteryx_haastii ENSAHAG00000018431
apteryx_owenii ENSAOWG00000009085
apteryx_rowi ENSARWG00000008696
dromaius_novaehollandiae ENSDNVG00000003857
gopherus_agassizii ENSGAGG00000015567
chelonoidis_abingdonii ENSCABG00000014567
chrysemys_picta_bellii ENSCPBG00000010363
pelodiscus_sinensis ENSPSIG00000005681
crocodylus_porosus ENSCPRG00005001431
anolis_carolinensis ENSACAG00000002596
pogona_vitticeps ENSPVIG00000006235
notechis_scutatus ENSNSUG00000006120
salvator_merianae ENSSMRG00000013910
sphenodon_punctatus ENSSPUG00000003909
coturnix_japonica ENSCJPG00005008531
latimeria_chalumnae ENSLACG00000006977
amphiprion_ocellaris ENSAOCG00000000270
acanthochromis_polyacanthus ENSAPOG00000014555
labrus_bergylta ENSLBEG00000019891
anabas_testudineus ENSATEG00000021658
seriola_lalandi_dorsalis ENSSLDG00000012940
cynoglossus_semilaevis ENSCSEG00000015942
poecilia_formosa ENSPFOG00000024055
poecilia_latipinna ENSPLAG00000023308
poecilia_mexicana ENSPMEG00000020324
gambusia_affinis ENSGAFG00000008783
fundulus_heteroclitus ENSFHEG00000013238
oryzias_melastigma ENSOMEG00000002339
amphilophus_citrinellus ENSACIG00000016371
oryzias_latipes_asm223469v1 ENSORLG00015004267
stegastes_partitus ENSSPAG00000012614
takifugu_rubripes ENSTRUG00000021788
tetraodon_nigroviridis ENSTNIG00000009078
periophthalmus_magnuspinnatus ENSPMGG00000012514
seriola_dumerili ENSSDUG00000018496
mastacembelus_armatus ENSMAMG00000011093
oryzias_latipes_asm223471v1 ENSORLG00020017167
gadus_morhua ENSGMOG00000001349
esox_lucius ENSELUG00000020971
ictalurus_punctatus ENSIPUG00000019662
lepisosteus_oculatus ENSLOCG00000004905
eptatretus_burgeri ENSEBUG00000008403
