peromyscus_maniculatus_bairdii ENSPEMG00000010578
microtus_ochrogaster ENSMOCG00000010419
cricetulus_griseus_crigri_1.0 ENSCGRG00000016181
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001622
cricetulus_griseus_crigri-picr ENSCGRG00015009229
mesocricetus_auratus ENSMAUG00000004067
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055312
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024948
mus_spicilegus ENSMSIG00000014482
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024035
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025473
rattus_norvegicus ENSRNOG00000013437
nannospalax_galili ENSNGAG00000017585
oryctolagus_cuniculus ENSOCUG00000029350
piliocolobus_tephrosceles ENSPTEG00000024712
theropithecus_gelada ENSTGEG00000005008
prolemur_simus ENSPSMG00000015171
ictidomys_tridecemlineatus ENSSTOG00000034266
urocitellus_parryii ENSUPAG00010018932
spermophilus_dauricus ENSSDAG00000002522
marmota_marmota_marmota ENSMMMG00000007498
dipodomys_ordii ENSDORG00000029154
canis_lupus_dingo ENSCAFG00020002349
vulpes_vulpes ENSVVUG00000016450
neovison_vison ENSNVIG00000004794
mustela_putorius_furo ENSMPUG00000011303
ursus_maritimus ENSUMAG00000019525
ursus_americanus ENSUAMG00000000461
ailuropoda_melanoleuca ENSAMEG00000006954
panthera_tigris_altaica ENSPTIG00000007330
panthera_pardus ENSPPRG00000022641
felis_catus ENSFCAG00000035821
capra_hircus ENSCHIG00000026487
ovis_aries ENSOARG00000016323
bos_taurus ENSBTAG00000052796
bos_mutus ENSBMUG00000007811
bison_bison_bison ENSBBBG00000012441
sus_scrofa ENSSSCG00000024950
dasypus_novemcinctus ENSDNOG00000045369
chrysemys_picta_bellii ENSCPBG00000011769
ciona_savignyi ENSCSAVG00000001754
ciona_intestinalis ENSCING00000002266
