fukomys_damarensis ENSFDAG00000018716
sus_scrofa ENSSSCG00000033221
loxodonta_africana ENSLAFG00000027932
chrysemys_picta_bellii ENSCPBG00000000670
crocodylus_porosus ENSCPRG00005001302
anabas_testudineus ENSATEG00000010533
mastacembelus_armatus ENSMAMG00000008503
seriola_lalandi_dorsalis ENSSLDG00000021067
astatotilapia_calliptera ENSACLG00000021198
maylandia_zebra ENSMZEG00005009582
pundamilia_nyererei ENSPNYG00000020064
haplochromis_burtoni ENSHBUG00000002978
neolamprologus_brichardi ENSNBRG00000023901
oreochromis_niloticus ENSONIG00000018072
amphilophus_citrinellus ENSACIG00000004700
kryptolebias_marmoratus ENSKMAG00000000434
esox_lucius ENSELUG00000011014
anolis_carolinensis ENSACAG00000007924
ornithorhynchus_anatinus ENSOANG00000014385
takifugu_rubripes ENSTRUG00000017445
fundulus_heteroclitus ENSFHEG00000008330
xiphophorus_maculatus ENSXMAG00000009799
gambusia_affinis ENSGAFG00000002451
oryzias_latipes_asm223467v1 ENSORLG00000015484
amphiprion_percula ENSAPEG00000010739
scophthalmus_maximus ENSSMAG00000003670
mastacembelus_armatus ENSMAMG00000003786
mola_mola ENSMMOG00000021871
tetraodon_nigroviridis ENSTNIG00000014561
latimeria_chalumnae ENSLACG00000018568
lepisosteus_oculatus ENSLOCG00000018059
astatotilapia_calliptera ENSACLG00000012090
drosophila_melanogaster FBgn0035610
caenorhabditis_elegans_strain_n2 WBGene00022004
