spermophilus_dauricus ENSSDAG00000013836
marmota_marmota_marmota ENSMMMG00000020187
castor_canadensis ENSCCNG00000031740
nomascus_leucogenys ENSNLEG00000001645
nomascus_leucogenys ENSNLEG00000030268
colobus_angolensis_palliatus ENSCANG00000027711
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026492
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027881
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025542
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026988
meriones_unguiculatus ENSMUGG00000024274
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018841
cricetulus_griseus_crigri_1.0 ENSCGRG00000002972
mesocricetus_auratus ENSMAUG00000019131
peromyscus_maniculatus_bairdii ENSPEMG00000025269
sarcophilus_harrisii ENSSHAG00000016924
eptatretus_burgeri ENSEBUG00000001683
