tursiops_truncatus ENSTTRG00000005659
pteropus_vampyrus ENSPVAG00000002219
sorex_araneus ENSSARG00000010395
ochotona_princeps ENSOPRG00000016861
procavia_capensis ENSPCAG00000016470
echinops_telfairi ENSETEG00000012792
erinaceus_europaeus ENSEEUG00000015145
notamacropus_eugenii ENSMEUG00000010028
anas_platyrhynchos_platyrhynchos ENSAPLG00000023537
calidris_pygmaea ENSCPGG00000018413
amphiprion_percula ENSAPEG00000003483
amphiprion_ocellaris ENSAOCG00000003892
acanthochromis_polyacanthus ENSAPOG00000003516
stegastes_partitus ENSSPAG00000013365
astatotilapia_calliptera ENSACLG00000010921
maylandia_zebra ENSMZEG00005026902
haplochromis_burtoni ENSHBUG00000022137
seriola_lalandi_dorsalis ENSSLDG00000018923
kryptolebias_marmoratus ENSKMAG00000020053
anabas_testudineus ENSATEG00000023831
paramormyrops_kingsleyae ENSPKIG00000016296
