heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001465
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007931
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017631
cavia_porcellus ENSCPOG00000036487
cricetulus_griseus_crigri_1.0 ENSCGRG00000012863
meriones_unguiculatus ENSMUGG00000002638
nomascus_leucogenys ENSNLEG00000031595
papio_anubis ENSPANG00000029204
carlito_syrichta ENSTSYG00000028091
ursus_americanus ENSUAMG00000001249
bos_taurus ENSBTAG00000050389
cavia_aperea ENSCAPG00000014095
cyprinodon_variegatus ENSCVAG00000003036
periophthalmus_magnuspinnatus ENSPMGG00000020428
