lepisosteus_oculatus ENSLOCG00000008134
gadus_morhua ENSGMOG00000006237
haplochromis_burtoni ENSHBUG00000021623
maylandia_zebra ENSMZEG00005005081
amphiprion_ocellaris ENSAOCG00000005497
rhinopithecus_roxellana ENSRROG00000035098
colobus_angolensis_palliatus ENSCANG00000016988
cercocebus_atys ENSCATG00000044767
mandrillus_leucophaeus ENSMLEG00000035611
pongo_abelii ENSPPYG00000004315
tupaia_belangeri ENSTBEG00000014563
tupaia_belangeri ENSTBEG00000016726
erinaceus_europaeus ENSEEUG00000014566
sorex_araneus ENSSARG00000006066
pteropus_vampyrus ENSPVAG00000000313
tursiops_truncatus ENSTTRG00000012825
choloepus_hoffmanni ENSCHOG00000013938
chinchilla_lanigera ENSCLAG00000015768
dasypus_novemcinctus ENSDNOG00000042504
loxodonta_africana ENSLAFG00000003224
procavia_capensis ENSPCAG00000001033
echinops_telfairi ENSETEG00000001094
notamacropus_eugenii ENSMEUG00000009570
manacus_vitellinus ENSMVIG00005000835
latimeria_chalumnae ENSLACG00000003940
gadus_morhua ENSGMOG00000013041
latimeria_chalumnae ENSLACG00000004733
