maylandia_zebra ENSMZEG00005026846
astatotilapia_calliptera ENSACLG00000012770
pundamilia_nyererei ENSPNYG00000002987
oreochromis_niloticus ENSONIG00000020373
neolamprologus_brichardi ENSNBRG00000018956
amphilophus_citrinellus ENSACIG00000003657
xiphophorus_maculatus ENSXMAG00000002133
xiphophorus_couchianus ENSXCOG00000010207
gambusia_affinis ENSGAFG00000020578
poecilia_latipinna ENSPLAG00000011903
poecilia_mexicana ENSPMEG00000020823
poecilia_formosa ENSPFOG00000010744
poecilia_reticulata ENSPREG00000019995
fundulus_heteroclitus ENSFHEG00000022753
cyprinodon_variegatus ENSCVAG00000018017
kryptolebias_marmoratus ENSKMAG00000018923
oryzias_latipes_asm223469v1 ENSORLG00015000874
oryzias_latipes_asm223471v1 ENSORLG00020009221
oryzias_latipes_asm223467v1 ENSORLG00000008485
oryzias_melastigma ENSOMEG00000002796
amphiprion_percula ENSAPEG00000002144
amphiprion_ocellaris ENSAOCG00000007010
acanthochromis_polyacanthus ENSAPOG00000002887
cynoglossus_semilaevis ENSCSEG00000017724
stegastes_partitus ENSSPAG00000018920
mastacembelus_armatus ENSMAMG00000018946
anabas_testudineus ENSATEG00000023564
seriola_dumerili ENSSDUG00000022346
seriola_lalandi_dorsalis ENSSLDG00000017783
scophthalmus_maximus ENSSMAG00000010006
tetraodon_nigroviridis ENSTNIG00000002767
takifugu_rubripes ENSTRUG00000014866
mola_mola ENSMMOG00000012399
labrus_bergylta ENSLBEG00000027274
gasterosteus_aculeatus ENSGACG00000009021
hippocampus_comes ENSHCOG00000013572
periophthalmus_magnuspinnatus ENSPMGG00000016134
gadus_morhua ENSGMOG00000009002
esox_lucius ENSELUG00000010600
astyanax_mexicanus ENSAMXG00000014101
pygocentrus_nattereri ENSPNAG00000015527
ictalurus_punctatus ENSIPUG00000005968
danio_rerio ENSDARG00000044754
scleropages_formosus ENSSFOG00015018387
paramormyrops_kingsleyae ENSPKIG00000016514
chrysemys_picta_bellii ENSCPBG00000024568
sphenodon_punctatus ENSSPUG00000009488
