amphiprion_percula ENSAPEG00000011927
periophthalmus_magnuspinnatus ENSPMGG00000017977
astyanax_mexicanus ENSAMXG00000038753
anolis_carolinensis ENSACAG00000011043
notechis_scutatus ENSNSUG00000008435
pogona_vitticeps ENSPVIG00000014014
salvator_merianae ENSSMRG00000023427
sphenodon_punctatus ENSSPUG00000007665
calidris_pygmaea ENSCPGG00000010375
calidris_pugnax ENSCPUG00000002997
parus_major ENSPMJG00000016405
cyanistes_caeruleus ENSCCEG00000004676
ficedula_albicollis ENSFALG00000009464
zonotrichia_albicollis ENSZALG00000007594
junco_hyemalis ENSJHYG00000017645
taeniopygia_guttata ENSTGUG00000009947
lonchura_striata_domestica ENSLSDG00000006970
lepidothrix_coronata ENSLCOG00000015593
anser_brachyrhynchus ENSABRG00000001616
anas_platyrhynchos_platyrhynchos ENSAPLG00000018673
gallus_gallus ENSGALG00000015013
coturnix_japonica ENSCJPG00005018526
numida_meleagris ENSNMEG00000019251
apteryx_owenii ENSAOWG00000014369
apteryx_rowi ENSARWG00000014304
apteryx_haastii ENSAHAG00000015793
nothoprocta_perdicaria ENSNPEG00000002613
manacus_vitellinus ENSMVIG00005004105
serinus_canaria ENSSCAG00000000294
melopsittacus_undulatus ENSMUNG00000016141
dromaius_novaehollandiae ENSDNVG00000003606
crocodylus_porosus ENSCPRG00005003860
gopherus_agassizii ENSGAGG00000004684
chelonoidis_abingdonii ENSCABG00000016726
chrysemys_picta_bellii ENSCPBG00000005760
pelodiscus_sinensis ENSPSIG00000016608
phascolarctos_cinereus ENSPCIG00000028218
notamacropus_eugenii ENSMEUG00000001525
monodelphis_domestica ENSMODG00000001535
sarcophilus_harrisii ENSSHAG00000011873
equus_asinus_asinus ENSEASG00005005296
equus_caballus ENSECAG00000020619
pteropus_vampyrus ENSPVAG00000013162
mustela_putorius_furo ENSMPUG00000007949
neovison_vison ENSNVIG00000008066
ursus_americanus ENSUAMG00000000618
vulpes_vulpes ENSVVUG00000014929
canis_lupus_dingo ENSCAFG00020010870
felis_catus ENSFCAG00000046410
panthera_pardus ENSPPRG00000003484
sus_scrofa ENSSSCG00000008727
tursiops_truncatus ENSTTRG00000012158
bos_taurus ENSBTAG00000010875
bos_mutus ENSBMUG00000002890
bison_bison_bison ENSBBBG00000017970
capra_hircus ENSCHIG00000014094
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048450
mus_spicilegus ENSMSIG00000025490
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028170
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027173
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016957
rattus_norvegicus ENSRNOG00000006876
meriones_unguiculatus ENSMUGG00000016763
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022584
cricetulus_griseus_crigri-picr ENSCGRG00015023988
cricetulus_griseus_crigri_1.0 ENSCGRG00000010227
