felis_catus ENSFCAG00000034912
panthera_pardus ENSPPRG00000023296
panthera_pardus ENSPPRG00000022899
erinaceus_europaeus ENSEEUG00000001312
ursus_maritimus ENSUMAG00000023105
ursus_americanus ENSUAMG00000026830
vulpes_vulpes ENSVVUG00000021925
myotis_lucifugus ENSMLUG00000027844
bos_taurus ENSBTAG00000050560
bos_mutus ENSBMUG00000026321
sus_scrofa ENSSSCG00000037045
macaca_mulatta ENSMMUG00000043465
cebus_capucinus_imitator ENSCCAG00000031445
peromyscus_maniculatus_bairdii ENSPEMG00000028883
cavia_aperea ENSCAPG00000013496
echinops_telfairi ENSETEG00000001057
cyanistes_caeruleus ENSCCEG00000004530
