scophthalmus_maximus ENSSMAG00000000956
cynoglossus_semilaevis ENSCSEG00000020234
seriola_dumerili ENSSDUG00000006860
seriola_lalandi_dorsalis ENSSLDG00000020848
mastacembelus_armatus ENSMAMG00000023700
anabas_testudineus ENSATEG00000000859
labrus_bergylta ENSLBEG00000004089
oryzias_latipes_asm223471v1 ENSORLG00020004226
oryzias_latipes_asm223469v1 ENSORLG00015021884
oryzias_latipes_asm223467v1 ENSORLG00000025285
oryzias_melastigma ENSOMEG00000001327
kryptolebias_marmoratus ENSKMAG00000016894
amphiprion_ocellaris ENSAOCG00000001265
amphiprion_percula ENSAPEG00000002502
acanthochromis_polyacanthus ENSAPOG00000005688
