notechis_scutatus ENSNSUG00000000056
pogona_vitticeps ENSPVIG00000012447
salvator_merianae ENSSMRG00000021081
numida_meleagris ENSNMEG00000014094
apteryx_owenii ENSAOWG00000011014
apteryx_haastii ENSAHAG00000008595
apteryx_rowi ENSARWG00000004511
dromaius_novaehollandiae ENSDNVG00000005364
nothoprocta_perdicaria ENSNPEG00000008139
anser_brachyrhynchus ENSABRG00000007510
anas_platyrhynchos_platyrhynchos ENSAPLG00000021237
coturnix_japonica ENSCJPG00005015917
meleagris_gallopavo ENSMGAG00000014860
numida_meleagris ENSNMEG00000017806
taeniopygia_guttata ENSTGUG00000008688
serinus_canaria ENSSCAG00000005151
lonchura_striata_domestica ENSLSDG00000007474
junco_hyemalis ENSJHYG00000004764
parus_major ENSPMJG00000011561
ficedula_albicollis ENSFALG00000003175
lepidothrix_coronata ENSLCOG00000008142
manacus_vitellinus ENSMVIG00005015968
melopsittacus_undulatus ENSMUNG00000004074
calidris_pugnax ENSCPUG00000007014
calidris_pygmaea ENSCPGG00000018797
crocodylus_porosus ENSCPRG00005016604
gopherus_agassizii ENSGAGG00000009422
chelonoidis_abingdonii ENSCABG00000021590
chrysemys_picta_bellii ENSCPBG00000005697
sphenodon_punctatus ENSSPUG00000002650
loxodonta_africana ENSLAFG00000017199
echinops_telfairi ENSETEG00000007473
dasypus_novemcinctus ENSDNOG00000039837
propithecus_coquereli ENSPCOG00000022014
prolemur_simus ENSPSMG00000016534
microcebus_murinus ENSMICG00000028364
otolemur_garnettii ENSOGAG00000030551
homo_sapiens ENSG00000185950
pan_troglodytes ENSPTRG00000006030
gorilla_gorilla ENSGGOG00000015488
nomascus_leucogenys ENSNLEG00000007913
rhinopithecus_roxellana ENSRROG00000032749
rhinopithecus_bieti ENSRBIG00000032311
piliocolobus_tephrosceles ENSPTEG00000033969
macaca_fascicularis ENSMFAG00000042382
macaca_mulatta ENSMMUG00000021790
macaca_nemestrina ENSMNEG00000032762
chlorocebus_sabaeus ENSCSAG00000017471
theropithecus_gelada ENSTGEG00000013686
papio_anubis ENSPANG00000029692
cercocebus_atys ENSCATG00000037723
saimiri_boliviensis_boliviensis ENSSBOG00000033562
callithrix_jacchus ENSCJAG00000042782
cebus_capucinus_imitator ENSCCAG00000022219
aotus_nancymaae ENSANAG00000023271
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031921
mus_spicilegus ENSMSIG00000009943
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038894
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030813
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021274
rattus_norvegicus ENSRNOG00000023509
meriones_unguiculatus ENSMUGG00000003994
peromyscus_maniculatus_bairdii ENSPEMG00000019911
microtus_ochrogaster ENSMOCG00000003025
cricetulus_griseus_crigri-picr ENSCGRG00015024781
cricetulus_griseus_crigri_1.0 ENSCGRG00000000061
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024746
mesocricetus_auratus ENSMAUG00000020464
nannospalax_galili ENSNGAG00000016968
jaculus_jaculus ENSJJAG00000023923
chinchilla_lanigera ENSCLAG00000003689
octodon_degus ENSODEG00000009721
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002570
castor_canadensis ENSCCNG00000008531
urocitellus_parryii ENSUPAG00010011346
ursus_americanus ENSUAMG00000011658
ailuropoda_melanoleuca ENSAMEG00000011030
