stegastes_partitus ENSSPAG00000016003
amphilophus_citrinellus ENSACIG00000010400
poecilia_mexicana ENSPMEG00000002921
cyprinodon_variegatus ENSCVAG00000014031
maylandia_zebra ENSMZEG00005026337
pundamilia_nyererei ENSPNYG00000015044
neolamprologus_brichardi ENSNBRG00000009286
seriola_lalandi_dorsalis ENSSLDG00000024544
seriola_dumerili ENSSDUG00000022988
hippocampus_comes ENSHCOG00000009833
anabas_testudineus ENSATEG00000023676
ictalurus_punctatus ENSIPUG00000014133
lepisosteus_oculatus ENSLOCG00000014357
