propithecus_coquereli ENSPCOG00000027633
prolemur_simus ENSPSMG00000020424
microcebus_murinus ENSMICG00000044647
cavia_aperea ENSCAPG00000000004
ursus_maritimus ENSUMAG00000024375
ursus_americanus ENSUAMG00000000442
dasypus_novemcinctus ENSDNOG00000033480
echinops_telfairi ENSETEG00000006723
echinops_telfairi ENSETEG00000001162
dromaius_novaehollandiae ENSDNVG00000013709
nothoprocta_perdicaria ENSNPEG00000012130
junco_hyemalis ENSJHYG00000004763
cyanistes_caeruleus ENSCCEG00000004565
calidris_pygmaea ENSCPGG00000001630
notechis_scutatus ENSNSUG00000003710
xenopus_tropicalis ENSXETG00000025688
