xiphophorus_couchianus ENSXCOG00000010075
gadus_morhua ENSGMOG00000019385
amphiprion_ocellaris ENSAOCG00000020831
acanthochromis_polyacanthus ENSAPOG00000013051
amphiprion_percula ENSAPEG00000023214
stegastes_partitus ENSSPAG00000023304
labrus_bergylta ENSLBEG00000027928
scleropages_formosus ENSSFOG00015022272
sphenodon_punctatus ENSSPUG00000004102
sphenodon_punctatus ENSSPUG00000004097
lepidothrix_coronata ENSLCOG00000009273
lepidothrix_coronata ENSLCOG00000009274
manacus_vitellinus ENSMVIG00005017671
cyanistes_caeruleus ENSCCEG00000008314
cyanistes_caeruleus ENSCCEG00000008315
parus_major ENSPMJG00000008785
ficedula_albicollis ENSFALG00000013484
lonchura_striata_domestica ENSLSDG00000014730
lonchura_striata_domestica ENSLSDG00000014726
taeniopygia_guttata ENSTGUG00000011135
serinus_canaria ENSSCAG00000002668
junco_hyemalis ENSJHYG00000008221
zonotrichia_albicollis ENSZALG00000001555
calidris_pygmaea ENSCPGG00000011205
calidris_pugnax ENSCPUG00000008315
calidris_pugnax ENSCPUG00000008314
calidris_pygmaea ENSCPGG00000011216
melopsittacus_undulatus ENSMUNG00000001864
anser_brachyrhynchus ENSABRG00000005037
anas_platyrhynchos_platyrhynchos ENSAPLG00000007200
gallus_gallus ENSGALG00000035345
meleagris_gallopavo ENSMGAG00000012955
coturnix_japonica ENSCJPG00005018301
numida_meleagris ENSNMEG00000011986
nothoprocta_perdicaria ENSNPEG00000015755
nothoprocta_perdicaria ENSNPEG00000015754
apteryx_haastii ENSAHAG00000008686
apteryx_owenii ENSAOWG00000002400
apteryx_rowi ENSARWG00000007262
dromaius_novaehollandiae ENSDNVG00000007079
crocodylus_porosus ENSCPRG00005018301
gopherus_agassizii ENSGAGG00000003332
chelonoidis_abingdonii ENSCABG00000013235
chrysemys_picta_bellii ENSCPBG00000023232
pelodiscus_sinensis ENSPSIG00000006187
pogona_vitticeps ENSPVIG00000014434
anolis_carolinensis ENSACAG00000015925
notechis_scutatus ENSNSUG00000013285
salvator_merianae ENSSMRG00000015910
erinaceus_europaeus ENSEEUG00000007465
sorex_araneus ENSSARG00000012968
bos_mutus ENSBMUG00000007696
bos_taurus ENSBTAG00000013912
bison_bison_bison ENSBBBG00000016319
capra_hircus ENSCHIG00000021009
ovis_aries ENSOARG00000016814
tursiops_truncatus ENSTTRG00000005343
sus_scrofa ENSSSCG00000000843
vicugna_pacos ENSVPAG00000009250
equus_asinus_asinus ENSEASG00005020848
myotis_lucifugus ENSMLUG00000005307
pteropus_vampyrus ENSPVAG00000016441
ursus_maritimus ENSUMAG00000018718
ursus_americanus ENSUAMG00000000122
ailuropoda_melanoleuca ENSAMEG00000006696
neovison_vison ENSNVIG00000010790
mustela_putorius_furo ENSMPUG00000012070
canis_lupus_dingo ENSCAFG00020008902
canis_lupus_familiaris ENSCAFG00000001944
vulpes_vulpes ENSVVUG00000020746
panthera_pardus ENSPPRG00000010028
panthera_tigris_altaica ENSPTIG00000021255
felis_catus ENSFCAG00000003645
castor_canadensis ENSCCNG00000019468
dipodomys_ordii ENSDORG00000028321
nannospalax_galili ENSNGAG00000019222
nannospalax_galili ENSNGAG00000003278
mus_spicilegus ENSMSIG00000001787
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016484
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020250
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015666
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031418
rattus_norvegicus ENSRNOG00000009088
meriones_unguiculatus ENSMUGG00000020136
peromyscus_maniculatus_bairdii ENSPEMG00000022696
microtus_ochrogaster ENSMOCG00000014410
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015703
cricetulus_griseus_crigri-picr ENSCGRG00015012800
cricetulus_griseus_crigri_1.0 ENSCGRG00000018227
mesocricetus_auratus ENSMAUG00000018643
jaculus_jaculus ENSJJAG00000011665
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003685
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006372
fukomys_damarensis ENSFDAG00000006433
cavia_aperea ENSCAPG00000012742
cavia_porcellus ENSCPOG00000011941
chinchilla_lanigera ENSCLAG00000008379
octodon_degus ENSODEG00000012061
urocitellus_parryii ENSUPAG00010002364
marmota_marmota_marmota ENSMMMG00000017295
spermophilus_dauricus ENSSDAG00000022110
ictidomys_tridecemlineatus ENSSTOG00000027561
oryctolagus_cuniculus ENSOCUG00000003961
ochotona_princeps ENSOPRG00000009019
tupaia_belangeri ENSTBEG00000005898
macaca_mulatta ENSMMUG00000012091
macaca_nemestrina ENSMNEG00000032017
macaca_fascicularis ENSMFAG00000043513
papio_anubis ENSPANG00000012060
theropithecus_gelada ENSTGEG00000010419
mandrillus_leucophaeus ENSMLEG00000030026
cercocebus_atys ENSCATG00000034450
chlorocebus_sabaeus ENSCSAG00000003004
rhinopithecus_roxellana ENSRROG00000034685
rhinopithecus_bieti ENSRBIG00000030602
rhinopithecus_roxellana ENSRROG00000040805
rhinopithecus_bieti ENSRBIG00000036893
piliocolobus_tephrosceles ENSPTEG00000015879
colobus_angolensis_palliatus ENSCANG00000041861
pan_paniscus ENSPPAG00000031976
pan_troglodytes ENSPTRG00000005378
homo_sapiens ENSG00000198431
gorilla_gorilla ENSGGOG00000012754
pongo_abelii ENSPPYG00000004893
nomascus_leucogenys ENSNLEG00000006548
callithrix_jacchus ENSCJAG00000014635
saimiri_boliviensis_boliviensis ENSSBOG00000028045
cebus_capucinus_imitator ENSCCAG00000026776
aotus_nancymaae ENSANAG00000036453
carlito_syrichta ENSTSYG00000011384
prolemur_simus ENSPSMG00000011562
propithecus_coquereli ENSPCOG00000015121
microcebus_murinus ENSMICG00000011679
otolemur_garnettii ENSOGAG00000006281
loxodonta_africana ENSLAFG00000015376
procavia_capensis ENSPCAG00000008775
dasypus_novemcinctus ENSDNOG00000000828
choloepus_hoffmanni ENSCHOG00000000297
echinops_telfairi ENSETEG00000013829
phascolarctos_cinereus ENSPCIG00000014384
notamacropus_eugenii ENSMEUG00000016386
monodelphis_domestica ENSMODG00000002150
sarcophilus_harrisii ENSSHAG00000007799
ornithorhynchus_anatinus ENSOANG00000005546
xenopus_tropicalis ENSXETG00000019645
