poecilia_reticulata ENSPREG00000002160
poecilia_formosa ENSPFOG00000005003
cyprinodon_variegatus ENSCVAG00000015390
oryzias_latipes_asm223471v1 ENSORLG00020003320
oryzias_latipes_asm223469v1 ENSORLG00015015245
oryzias_latipes_asm223467v1 ENSORLG00000027365
fundulus_heteroclitus ENSFHEG00000012516
amphiprion_percula ENSAPEG00000018314
acanthochromis_polyacanthus ENSAPOG00000017650
stegastes_partitus ENSSPAG00000019522
haplochromis_burtoni ENSHBUG00000018678
astatotilapia_calliptera ENSACLG00000024578
pundamilia_nyererei ENSPNYG00000019884
mola_mola ENSMMOG00000020149
gambusia_affinis ENSGAFG00000018047
poecilia_latipinna ENSPLAG00000005714
xiphophorus_maculatus ENSXMAG00000000752
neolamprologus_brichardi ENSNBRG00000006187
maylandia_zebra ENSMZEG00005008764
seriola_dumerili ENSSDUG00000005851
scophthalmus_maximus ENSSMAG00000014052
gasterosteus_aculeatus ENSGACG00000006767
amphiprion_ocellaris ENSAOCG00000015143
xiphophorus_couchianus ENSXCOG00000000529
hippocampus_comes ENSHCOG00000006133
labrus_bergylta ENSLBEG00000005037
anabas_testudineus ENSATEG00000000483
gadus_morhua ENSGMOG00000013624
esox_lucius ENSELUG00000019441
periophthalmus_magnuspinnatus ENSPMGG00000006167
takifugu_rubripes ENSTRUG00000020257
tetraodon_nigroviridis ENSTNIG00000017763
seriola_lalandi_dorsalis ENSSLDG00000025585
kryptolebias_marmoratus ENSKMAG00000020050
astyanax_mexicanus ENSAMXG00000032383
danio_rerio ENSDARG00000027899
scleropages_formosus ENSSFOG00015012776
paramormyrops_kingsleyae ENSPKIG00000001755
lepisosteus_oculatus ENSLOCG00000011004
numida_meleagris ENSNMEG00000006046
gallus_gallus ENSGALG00000009733
melopsittacus_undulatus ENSMUNG00000000949
lepidothrix_coronata ENSLCOG00000011805
manacus_vitellinus ENSMVIG00005003084
lonchura_striata_domestica ENSLSDG00000017537
junco_hyemalis ENSJHYG00000000365
apteryx_haastii ENSAHAG00000003676
apteryx_rowi ENSARWG00000018086
apteryx_owenii ENSAOWG00000003025
salvator_merianae ENSSMRG00000008574
notechis_scutatus ENSNSUG00000006537
myotis_lucifugus ENSMLUG00000014208
bos_mutus ENSBMUG00000014207
octodon_degus ENSODEG00000010570
octodon_degus ENSODEG00000018663
octodon_degus ENSODEG00000019466
anser_brachyrhynchus ENSABRG00000003776
anas_platyrhynchos_platyrhynchos ENSAPLG00000019053
ornithorhynchus_anatinus ENSOANG00000012499
phascolarctos_cinereus ENSPCIG00000028955
dromaius_novaehollandiae ENSDNVG00000000667
nothoprocta_perdicaria ENSNPEG00000013336
serinus_canaria ENSSCAG00000013093
zonotrichia_albicollis ENSZALG00000013612
parus_major ENSPMJG00000010043
calidris_pugnax ENSCPUG00000009574
sphenodon_punctatus ENSSPUG00000012716
anolis_carolinensis ENSACAG00000014686
peromyscus_maniculatus_bairdii ENSPEMG00000023151
microtus_ochrogaster ENSMOCG00000001349
nannospalax_galili ENSNGAG00000004905
marmota_marmota_marmota ENSMMMG00000013480
oryctolagus_cuniculus ENSOCUG00000022225
rhinopithecus_bieti ENSRBIG00000033917
rhinopithecus_roxellana ENSRROG00000028812
saimiri_boliviensis_boliviensis ENSSBOG00000014862
sus_scrofa ENSSSCG00000015337
chelonoidis_abingdonii ENSCABG00000016400
crocodylus_porosus ENSCPRG00005014353
pogona_vitticeps ENSPVIG00000013406
ailuropoda_melanoleuca ENSAMEG00000010434
canis_lupus_familiaris ENSCAFG00000002179
panthera_pardus ENSPPRG00000000502
sorex_araneus ENSSARG00000005688
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004985
fukomys_damarensis ENSFDAG00000005702
cavia_porcellus ENSCPOG00000035520
ictidomys_tridecemlineatus ENSSTOG00000011501
meriones_unguiculatus ENSMUGG00000016746
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000539
oryctolagus_cuniculus ENSOCUG00000026246
chlorocebus_sabaeus ENSCSAG00000013008
tupaia_belangeri ENSTBEG00000016474
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029087
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042541
cricetulus_griseus_crigri-picr ENSCGRG00015025709
castor_canadensis ENSCCNG00000005165
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001228
microcebus_murinus ENSMICG00000008928
prolemur_simus ENSPSMG00000008611
bos_taurus ENSBTAG00000052508
bos_taurus ENSBTAG00000034496
bison_bison_bison ENSBBBG00000005233
sus_scrofa ENSSSCG00000011910
erinaceus_europaeus ENSEEUG00000002237
neovison_vison ENSNVIG00000019631
ursus_americanus ENSUAMG00000022777
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021843
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028087
rattus_norvegicus ENSRNOG00000010420
jaculus_jaculus ENSJJAG00000021778
urocitellus_parryii ENSUPAG00010018488
chinchilla_lanigera ENSCLAG00000002949
echinops_telfairi ENSETEG00000019778
felis_catus ENSFCAG00000037589
panthera_tigris_altaica ENSPTIG00000016399
ursus_maritimus ENSUMAG00000021491
bos_mutus ENSBMUG00000006601
spermophilus_dauricus ENSSDAG00000005493
dipodomys_ordii ENSDORG00000000070
mesocricetus_auratus ENSMAUG00000016213
mus_spicilegus ENSMSIG00000007847
pongo_abelii ENSPPYG00000017795
dasypus_novemcinctus ENSDNOG00000048095
loxodonta_africana ENSLAFG00000012653
xenopus_tropicalis ENSXETG00000016575
petromyzon_marinus ENSPMAG00000007478
