ursus_maritimus ENSUMAG00000020721
ursus_americanus ENSUAMG00000003582
ailuropoda_melanoleuca ENSAMEG00000012232
neovison_vison ENSNVIG00000014861
mustela_putorius_furo ENSMPUG00000008369
canis_lupus_familiaris ENSCAFG00000017557
canis_lupus_dingo ENSCAFG00020010359
vulpes_vulpes ENSVVUG00000028243
panthera_pardus ENSPPRG00000004357
panthera_tigris_altaica ENSPTIG00000021712
felis_catus ENSFCAG00000001290
ovis_aries ENSOARG00000000450
capra_hircus ENSCHIG00000026621
bos_mutus ENSBMUG00000021671
bos_taurus ENSBTAG00000012640
bison_bison_bison ENSBBBG00000014050
tursiops_truncatus ENSTTRG00000000013
equus_asinus_asinus ENSEASG00005000976
equus_caballus ENSECAG00000010598
equus_caballus ENSECAG00000033643
equus_caballus ENSECAG00000038551
equus_asinus_asinus ENSEASG00005001028
sorex_araneus ENSSARG00000009719
erinaceus_europaeus ENSEEUG00000006355
pteropus_vampyrus ENSPVAG00000002509
myotis_lucifugus ENSMLUG00000002912
mandrillus_leucophaeus ENSMLEG00000040946
cercocebus_atys ENSCATG00000042130
macaca_nemestrina ENSMNEG00000042438
macaca_fascicularis ENSMFAG00000039568
macaca_mulatta ENSMMUG00000044778
theropithecus_gelada ENSTGEG00000018723
papio_anubis ENSPANG00000035422
chlorocebus_sabaeus ENSCSAG00000001847
rhinopithecus_bieti ENSRBIG00000027462
rhinopithecus_roxellana ENSRROG00000039821
colobus_angolensis_palliatus ENSCANG00000040324
gorilla_gorilla ENSGGOG00000042236
gorilla_gorilla ENSGGOG00000037627
pan_paniscus ENSPPAG00000041657
pan_troglodytes ENSPTRG00000001347
homo_sapiens ENSG00000143546
pongo_abelii ENSPPYG00000000814
nomascus_leucogenys ENSNLEG00000030070
saimiri_boliviensis_boliviensis ENSSBOG00000021957
cebus_capucinus_imitator ENSCCAG00000029523
callithrix_jacchus ENSCJAG00000005843
aotus_nancymaae ENSANAG00000020491
carlito_syrichta ENSTSYG00000009727
propithecus_coquereli ENSPCOG00000002440
prolemur_simus ENSPSMG00000020611
microcebus_murinus ENSMICG00000012649
otolemur_garnettii ENSOGAG00000000745
castor_canadensis ENSCCNG00000030307
dipodomys_ordii ENSDORG00000008995
peromyscus_maniculatus_bairdii ENSPEMG00000009569
microtus_ochrogaster ENSMOCG00000009802
cricetulus_griseus_crigri-picr ENSCGRG00015007429
cricetulus_griseus_crigri_1.0 ENSCGRG00000005945
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012556
mesocricetus_auratus ENSMAUG00000019089
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026194
mus_spicilegus ENSMSIG00000001506
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056054
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025251
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026695
rattus_norvegicus ENSRNOG00000011557
meriones_unguiculatus ENSMUGG00000024427
nannospalax_galili ENSNGAG00000019534
jaculus_jaculus ENSJJAG00000004100
spermophilus_dauricus ENSSDAG00000002643
marmota_marmota_marmota ENSMMMG00000018131
urocitellus_parryii ENSUPAG00010015757
ictidomys_tridecemlineatus ENSSTOG00000025577
chinchilla_lanigera ENSCLAG00000003337
octodon_degus ENSODEG00000010509
cavia_porcellus ENSCPOG00000040155
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002439
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009115
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001108
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004445
fukomys_damarensis ENSFDAG00000016228
oryctolagus_cuniculus ENSOCUG00000009566
ochotona_princeps ENSOPRG00000010123
tupaia_belangeri ENSTBEG00000015289
procavia_capensis ENSPCAG00000002033
procavia_capensis ENSPCAG00000001498
loxodonta_africana ENSLAFG00000028077
choloepus_hoffmanni ENSCHOG00000002484
dasypus_novemcinctus ENSDNOG00000048965
sus_scrofa ENSSSCG00000006590
sarcophilus_harrisii ENSSHAG00000008233
phascolarctos_cinereus ENSPCIG00000029376
monodelphis_domestica ENSMODG00000017403
ornithorhynchus_anatinus ENSOANG00000013719
