numida_meleagris ENSNMEG00000000061
melopsittacus_undulatus ENSMUNG00000014595
tupaia_belangeri ENSTBEG00000001869
latimeria_chalumnae ENSLACG00000012168
urocitellus_parryii ENSUPAG00010014058
castor_canadensis ENSCCNG00000024631
bison_bison_bison ENSBBBG00000008392
capra_hircus ENSCHIG00000024344
bison_bison_bison ENSBBBG00000007527
propithecus_coquereli ENSPCOG00000023829
anas_platyrhynchos_platyrhynchos ENSAPLG00000026528
seriola_lalandi_dorsalis ENSSLDG00000004263
seriola_lalandi_dorsalis ENSSLDG00000010165
seriola_lalandi_dorsalis ENSSLDG00000007815
acanthochromis_polyacanthus ENSAPOG00000001269
tupaia_belangeri ENSTBEG00000007415
aotus_nancymaae ENSANAG00000030251
octodon_degus ENSODEG00000006837
spermophilus_dauricus ENSSDAG00000010009
tursiops_truncatus ENSTTRG00000015381
gallus_gallus ENSGALG00000043476
meleagris_gallopavo ENSMGAG00000008562
calidris_pugnax ENSCPUG00000008646
apteryx_owenii ENSAOWG00000011118
equus_asinus_asinus ENSEASG00005008504
equus_caballus ENSECAG00000020291
canis_lupus_familiaris ENSCAFG00000001726
erinaceus_europaeus ENSEEUG00000009511
oryzias_latipes_asm223471v1 ENSORLG00020003354
oryzias_latipes_asm223469v1 ENSORLG00015002471
kryptolebias_marmoratus ENSKMAG00000008864
seriola_lalandi_dorsalis ENSSLDG00000005491
seriola_dumerili ENSSDUG00000014675
esox_lucius ENSELUG00000019582
zonotrichia_albicollis ENSZALG00000016963
sphenodon_punctatus ENSSPUG00000004465
petromyzon_marinus ENSPMAG00000005571
