cebus_capucinus_imitator ENSCCAG00000037550
saimiri_boliviensis_boliviensis ENSSBOG00000018296
callithrix_jacchus ENSCJAG00000043939
aotus_nancymaae ENSANAG00000027572
pan_troglodytes ENSPTRG00000005845
pan_paniscus ENSPPAG00000004053
homo_sapiens ENSG00000174032
gorilla_gorilla ENSGGOG00000012295
pongo_abelii ENSPPYG00000005339
nomascus_leucogenys ENSNLEG00000008030
rhinopithecus_bieti ENSRBIG00000018540
rhinopithecus_roxellana ENSRROG00000032759
piliocolobus_tephrosceles ENSPTEG00000027662
colobus_angolensis_palliatus ENSCANG00000010984
papio_anubis ENSPANG00000018184
cercocebus_atys ENSCATG00000035355
theropithecus_gelada ENSTGEG00000002190
mandrillus_leucophaeus ENSMLEG00000028851
chlorocebus_sabaeus ENSCSAG00000017770
macaca_nemestrina ENSMNEG00000035737
macaca_fascicularis ENSMFAG00000035809
macaca_mulatta ENSMMUG00000037790
carlito_syrichta ENSTSYG00000011274
propithecus_coquereli ENSPCOG00000014493
prolemur_simus ENSPSMG00000009362
microcebus_murinus ENSMICG00000046357
otolemur_garnettii ENSOGAG00000011571
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009475
cricetulus_griseus_crigri_1.0 ENSCGRG00000002477
mesocricetus_auratus ENSMAUG00000012973
microtus_ochrogaster ENSMOCG00000010410
peromyscus_maniculatus_bairdii ENSPEMG00000022181
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020413
mus_spicilegus ENSMSIG00000021594
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022003
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019517
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030535
rattus_norvegicus ENSRNOG00000001052
meriones_unguiculatus ENSMUGG00000026655
nannospalax_galili ENSNGAG00000006726
jaculus_jaculus ENSJJAG00000017335
castor_canadensis ENSCCNG00000017828
ictidomys_tridecemlineatus ENSSTOG00000003168
urocitellus_parryii ENSUPAG00010007378
spermophilus_dauricus ENSSDAG00000007995
marmota_marmota_marmota ENSMMMG00000023425
chinchilla_lanigera ENSCLAG00000000339
octodon_degus ENSODEG00000005522
cavia_porcellus ENSCPOG00000031582
cavia_aperea ENSCAPG00000000461
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014301
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003289
fukomys_damarensis ENSFDAG00000020920
dipodomys_ordii ENSDORG00000004865
oryctolagus_cuniculus ENSOCUG00000008419
ochotona_princeps ENSOPRG00000010937
tupaia_belangeri ENSTBEG00000013288
myotis_lucifugus ENSMLUG00000000506
erinaceus_europaeus ENSEEUG00000003631
ursus_americanus ENSUAMG00000025420
ursus_maritimus ENSUMAG00000016178
ailuropoda_melanoleuca ENSAMEG00000013030
mustela_putorius_furo ENSMPUG00000001635
neovison_vison ENSNVIG00000000825
canis_lupus_familiaris ENSCAFG00000004531
canis_lupus_dingo ENSCAFG00020018818
vulpes_vulpes ENSVVUG00000028417
panthera_tigris_altaica ENSPTIG00000009381
panthera_pardus ENSPPRG00000007929
felis_catus ENSFCAG00000027568
sorex_araneus ENSSARG00000007019
equus_asinus_asinus ENSEASG00005017085
equus_caballus ENSECAG00000017334
bison_bison_bison ENSBBBG00000008583
capra_hircus ENSCHIG00000018796
ovis_aries ENSOARG00000006165
capra_hircus ENSCHIG00000013016
bos_taurus ENSBTAG00000016529
bos_mutus ENSBMUG00000013670
bison_bison_bison ENSBBBG00000006147
capra_hircus ENSCHIG00000013965
ovis_aries ENSOARG00000007620
tursiops_truncatus ENSTTRG00000016772
vicugna_pacos ENSVPAG00000008288
pteropus_vampyrus ENSPVAG00000009244
loxodonta_africana ENSLAFG00000001502
procavia_capensis ENSPCAG00000009704
echinops_telfairi ENSETEG00000002089
dasypus_novemcinctus ENSDNOG00000012057
choloepus_hoffmanni ENSCHOG00000001181
notamacropus_eugenii ENSMEUG00000002703
phascolarctos_cinereus ENSPCIG00000029561
sarcophilus_harrisii ENSSHAG00000003644
monodelphis_domestica ENSMODG00000014945
ornithorhynchus_anatinus ENSOANG00000015585
pogona_vitticeps ENSPVIG00000008556
anolis_carolinensis ENSACAG00000006577
notechis_scutatus ENSNSUG00000005117
notechis_scutatus ENSNSUG00000002690
salvator_merianae ENSSMRG00000022794
sphenodon_punctatus ENSSPUG00000014137
