cyanistes_caeruleus ENSCCEG00000003240
coturnix_japonica ENSCJPG00005002872
nothoprocta_perdicaria ENSNPEG00000012299
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015028
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003177
dipodomys_ordii ENSDORG00000001282
cricetulus_griseus_crigri-picr ENSCGRG00015011702
cricetulus_griseus_crigri_1.0 ENSCGRG00000006659
aotus_nancymaae ENSANAG00000027794
pundamilia_nyererei ENSPNYG00000023867
haplochromis_burtoni ENSHBUG00000007565
neolamprologus_brichardi ENSNBRG00000009590
