mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026856
ictidomys_tridecemlineatus ENSSTOG00000030986
vulpes_vulpes ENSVVUG00000012539
ursus_americanus ENSUAMG00000025588
mesocricetus_auratus ENSMAUG00000018934
mesocricetus_auratus ENSMAUG00000010405
peromyscus_maniculatus_bairdii ENSPEMG00000026048
mus_spicilegus ENSMSIG00000006417
oryctolagus_cuniculus ENSOCUG00000002567
tursiops_truncatus ENSTTRG00000010587
vicugna_pacos ENSVPAG00000000355
sorex_araneus ENSSARG00000005734
myotis_lucifugus ENSMLUG00000006793
procavia_capensis ENSPCAG00000004923
cricetulus_griseus_crigri-picr ENSCGRG00015004853
rattus_norvegicus ENSRNOG00000010727
fukomys_damarensis ENSFDAG00000012420
ictidomys_tridecemlineatus ENSSTOG00000009491
mandrillus_leucophaeus ENSMLEG00000032177
papio_anubis ENSPANG00000025309
macaca_fascicularis ENSMFAG00000032942
cebus_capucinus_imitator ENSCCAG00000023940
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019148
meriones_unguiculatus ENSMUGG00000019007
oryctolagus_cuniculus ENSOCUG00000023588
tupaia_belangeri ENSTBEG00000016516
macaca_nemestrina ENSMNEG00000032831
pongo_abelii ENSPPYG00000019130
vulpes_vulpes ENSVVUG00000021082
ursus_maritimus ENSUMAG00000006061
panthera_pardus ENSPPRG00000003841
colobus_angolensis_palliatus ENSCANG00000042422
piliocolobus_tephrosceles ENSPTEG00000015089
chlorocebus_sabaeus ENSCSAG00000009996
prolemur_simus ENSPSMG00000017264
propithecus_coquereli ENSPCOG00000005537
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016303
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006071
panthera_tigris_altaica ENSPTIG00000000732
canis_lupus_familiaris ENSCAFG00000031810
equus_caballus ENSECAG00000022482
nannospalax_galili ENSNGAG00000016576
mesocricetus_auratus ENSMAUG00000022105
jaculus_jaculus ENSJJAG00000023291
urocitellus_parryii ENSUPAG00010007359
castor_canadensis ENSCCNG00000001158
homo_sapiens ENSG00000107341
gorilla_gorilla ENSGGOG00000013304
cercocebus_atys ENSCATG00000023159
macaca_mulatta ENSMMUG00000044886
carlito_syrichta ENSTSYG00000013265
microcebus_murinus ENSMICG00000041673
canis_lupus_dingo ENSCAFG00020015906
neovison_vison ENSNVIG00000000406
felis_catus ENSFCAG00000039321
bison_bison_bison ENSBBBG00000011640
cavia_porcellus ENSCPOG00000030770
octodon_degus ENSODEG00000015272
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036241
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025908
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024031
castor_canadensis ENSCCNG00000020492
theropithecus_gelada ENSTGEG00000010663
rhinopithecus_roxellana ENSRROG00000036090
pan_troglodytes ENSPTRG00000020870
callithrix_jacchus ENSCJAG00000039931
ovis_aries ENSOARG00000009345
bos_taurus ENSBTAG00000054773
sus_scrofa ENSSSCG00000034725
myotis_lucifugus ENSMLUG00000030746
myotis_lucifugus ENSMLUG00000024410
dipodomys_ordii ENSDORG00000007589
microtus_ochrogaster ENSMOCG00000017312
ochotona_princeps ENSOPRG00000007278
saimiri_boliviensis_boliviensis ENSSBOG00000001513
carlito_syrichta ENSTSYG00000030634
loxodonta_africana ENSLAFG00000015665
spermophilus_dauricus ENSSDAG00000000078
peromyscus_maniculatus_bairdii ENSPEMG00000029540
pan_paniscus ENSPPAG00000038935
otolemur_garnettii ENSOGAG00000029045
capra_hircus ENSCHIG00000020551
bos_mutus ENSBMUG00000017513
myotis_lucifugus ENSMLUG00000022513
myotis_lucifugus ENSMLUG00000026929
myotis_lucifugus ENSMLUG00000023290
dasypus_novemcinctus ENSDNOG00000009526
echinops_telfairi ENSETEG00000011574
choloepus_hoffmanni ENSCHOG00000003922
carlito_syrichta ENSTSYG00000027095
rhinopithecus_bieti ENSRBIG00000033602
aotus_nancymaae ENSANAG00000037133
mustela_putorius_furo ENSMPUG00000003878
chinchilla_lanigera ENSCLAG00000004381
meleagris_gallopavo ENSMGAG00000001885
zonotrichia_albicollis ENSZALG00000011020
apteryx_haastii ENSAHAG00000017410
apteryx_owenii ENSAOWG00000009805
pelodiscus_sinensis ENSPSIG00000014635
sphenodon_punctatus ENSSPUG00000008658
xenopus_tropicalis ENSXETG00000002154
anolis_carolinensis ENSACAG00000012852
pogona_vitticeps ENSPVIG00000017064
salvator_merianae ENSSMRG00000020226
ornithorhynchus_anatinus ENSOANG00000010218
canis_lupus_dingo ENSCAFG00020027487
notamacropus_eugenii ENSMEUG00000006476
sarcophilus_harrisii ENSSHAG00000002688
phascolarctos_cinereus ENSPCIG00000029060
monodelphis_domestica ENSMODG00000003686
gallus_gallus ENSGALG00000001668
coturnix_japonica ENSCJPG00005005534
numida_meleagris ENSNMEG00000015239
gallus_gallus ENSGALG00000048542
anas_platyrhynchos_platyrhynchos ENSAPLG00000003800
anser_brachyrhynchus ENSABRG00000016197
calidris_pygmaea ENSCPGG00000011019
calidris_pugnax ENSCPUG00000017662
taeniopygia_guttata ENSTGUG00000001683
lonchura_striata_domestica ENSLSDG00000017700
parus_major ENSPMJG00000005134
ficedula_albicollis ENSFALG00000009985
manacus_vitellinus ENSMVIG00005002253
lepidothrix_coronata ENSLCOG00000013645
apteryx_rowi ENSARWG00000007984
nothoprocta_perdicaria ENSNPEG00000004647
dromaius_novaehollandiae ENSDNVG00000013595
crocodylus_porosus ENSCPRG00005015093
gopherus_agassizii ENSGAGG00000016216
latimeria_chalumnae ENSLACG00000008196
lepisosteus_oculatus ENSLOCG00000004975
eptatretus_burgeri ENSEBUG00000010155
