echinops_telfairi ENSETEG00000009596
sorex_araneus ENSSARG00000012179
pteropus_vampyrus ENSPVAG00000012998
myotis_lucifugus ENSMLUG00000007825
tursiops_truncatus ENSTTRG00000003544
sus_scrofa ENSSSCG00000011694
capra_hircus ENSCHIG00000006800
ovis_aries ENSOARG00000005319
bos_taurus ENSBTAG00000000456
bos_mutus ENSBMUG00000022173
bison_bison_bison ENSBBBG00000017637
vicugna_pacos ENSVPAG00000008996
ursus_maritimus ENSUMAG00000012435
ursus_americanus ENSUAMG00000012040
ailuropoda_melanoleuca ENSAMEG00000010850
mustela_putorius_furo ENSMPUG00000002408
neovison_vison ENSNVIG00000014069
canis_lupus_familiaris ENSCAFG00000008226
canis_lupus_dingo ENSCAFG00020018903
vulpes_vulpes ENSVVUG00000012236
panthera_tigris_altaica ENSPTIG00000011527
panthera_pardus ENSPPRG00000007735
felis_catus ENSFCAG00000000222
equus_asinus_asinus ENSEASG00005021850
equus_caballus ENSECAG00000021384
loxodonta_africana ENSLAFG00000004854
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000011463
mus_spicilegus ENSMSIG00000025283
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025811
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024881
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026326
rattus_norvegicus ENSRNOG00000030904
meriones_unguiculatus ENSMUGG00000011847
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021645
cricetulus_griseus_crigri_1.0 ENSCGRG00000012210
cricetulus_griseus_crigri-picr ENSCGRG00015027995
mesocricetus_auratus ENSMAUG00000012497
microtus_ochrogaster ENSMOCG00000020527
peromyscus_maniculatus_bairdii ENSPEMG00000015871
nannospalax_galili ENSNGAG00000011572
jaculus_jaculus ENSJJAG00000011113
castor_canadensis ENSCCNG00000025549
dipodomys_ordii ENSDORG00000001786
urocitellus_parryii ENSUPAG00010001070
ictidomys_tridecemlineatus ENSSTOG00000008344
spermophilus_dauricus ENSSDAG00000003480
marmota_marmota_marmota ENSMMMG00000016838
cavia_porcellus ENSCPOG00000001475
cavia_aperea ENSCAPG00000007693
octodon_degus ENSODEG00000011062
chinchilla_lanigera ENSCLAG00000004152
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008813
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011884
fukomys_damarensis ENSFDAG00000021148
oryctolagus_cuniculus ENSOCUG00000003084
ochotona_princeps ENSOPRG00000004712
tupaia_belangeri ENSTBEG00000009779
pan_troglodytes ENSPTRG00000015505
pan_paniscus ENSPPAG00000037959
gorilla_gorilla ENSGGOG00000005316
homo_sapiens ENSG00000153002
pongo_abelii ENSPPYG00000014191
nomascus_leucogenys ENSNLEG00000002424
macaca_fascicularis ENSMFAG00000002015
macaca_nemestrina ENSMNEG00000040108
papio_anubis ENSPANG00000015081
theropithecus_gelada ENSTGEG00000007583
cercocebus_atys ENSCATG00000036137
mandrillus_leucophaeus ENSMLEG00000021063
chlorocebus_sabaeus ENSCSAG00000011424
colobus_angolensis_palliatus ENSCANG00000039379
piliocolobus_tephrosceles ENSPTEG00000007751
rhinopithecus_bieti ENSRBIG00000032988
rhinopithecus_roxellana ENSRROG00000032160
cebus_capucinus_imitator ENSCCAG00000030852
saimiri_boliviensis_boliviensis ENSSBOG00000028899
callithrix_jacchus ENSCJAG00000001510
aotus_nancymaae ENSANAG00000036172
carlito_syrichta ENSTSYG00000008691
prolemur_simus ENSPSMG00000007764
propithecus_coquereli ENSPCOG00000021086
microcebus_murinus ENSMICG00000048946
otolemur_garnettii ENSOGAG00000008314
dasypus_novemcinctus ENSDNOG00000016362
choloepus_hoffmanni ENSCHOG00000007053
notamacropus_eugenii ENSMEUG00000013396
phascolarctos_cinereus ENSPCIG00000005481
sarcophilus_harrisii ENSSHAG00000006116
monodelphis_domestica ENSMODG00000021255
ornithorhynchus_anatinus ENSOANG00000009389
ornithorhynchus_anatinus ENSOANG00000031357
ornithorhynchus_anatinus ENSOANG00000008786
ornithorhynchus_anatinus ENSOANG00000009290
taeniopygia_guttata ENSTGUG00000008845
lonchura_striata_domestica ENSLSDG00000010293
serinus_canaria ENSSCAG00000015497
zonotrichia_albicollis ENSZALG00000012625
junco_hyemalis ENSJHYG00000005360
parus_major ENSPMJG00000018618
cyanistes_caeruleus ENSCCEG00000014854
ficedula_albicollis ENSFALG00000007096
lepidothrix_coronata ENSLCOG00000000833
manacus_vitellinus ENSMVIG00005005055
melopsittacus_undulatus ENSMUNG00000011082
calidris_pugnax ENSCPUG00000017221
calidris_pygmaea ENSCPGG00000014653
anser_brachyrhynchus ENSABRG00000014753
anas_platyrhynchos_platyrhynchos ENSAPLG00000014834
meleagris_gallopavo ENSMGAG00000006671
coturnix_japonica ENSCJPG00005012465
gallus_gallus ENSGALG00000006834
numida_meleagris ENSNMEG00000013041
apteryx_owenii ENSAOWG00000000708
apteryx_rowi ENSARWG00000006454
apteryx_haastii ENSAHAG00000016317
