anser_brachyrhynchus ENSABRG00000016729
anas_platyrhynchos_platyrhynchos ENSAPLG00000009406
gallus_gallus ENSGALG00000003331
meleagris_gallopavo ENSMGAG00000004672
coturnix_japonica ENSCJPG00005011199
numida_meleagris ENSNMEG00000018007
lepidothrix_coronata ENSLCOG00000007967
manacus_vitellinus ENSMVIG00005016833
taeniopygia_guttata ENSTGUG00000000527
lonchura_striata_domestica ENSLSDG00000016319
junco_hyemalis ENSJHYG00000002836
zonotrichia_albicollis ENSZALG00000010539
serinus_canaria ENSSCAG00000013291
parus_major ENSPMJG00000007580
cyanistes_caeruleus ENSCCEG00000007356
ficedula_albicollis ENSFALG00000008573
melopsittacus_undulatus ENSMUNG00000005736
calidris_pugnax ENSCPUG00000009433
calidris_pygmaea ENSCPGG00000015371
apteryx_owenii ENSAOWG00000010551
apteryx_haastii ENSAHAG00000019696
apteryx_rowi ENSARWG00000005035
dromaius_novaehollandiae ENSDNVG00000015098
nothoprocta_perdicaria ENSNPEG00000004681
crocodylus_porosus ENSCPRG00005013553
chrysemys_picta_bellii ENSCPBG00000022644
chelonoidis_abingdonii ENSCABG00000018266
gopherus_agassizii ENSGAGG00000000585
pelodiscus_sinensis ENSPSIG00000013535
pogona_vitticeps ENSPVIG00000025016
anolis_carolinensis ENSACAG00000006247
notechis_scutatus ENSNSUG00000014797
salvator_merianae ENSSMRG00000006535
sphenodon_punctatus ENSSPUG00000006486
phascolarctos_cinereus ENSPCIG00000019507
notamacropus_eugenii ENSMEUG00000000497
sarcophilus_harrisii ENSSHAG00000004409
monodelphis_domestica ENSMODG00000005176
bos_mutus ENSBMUG00000019464
bos_taurus ENSBTAG00000017744
bison_bison_bison ENSBBBG00000010356
capra_hircus ENSCHIG00000022380
ovis_aries ENSOARG00000002240
tursiops_truncatus ENSTTRG00000005445
sus_scrofa ENSSSCG00000014057
erinaceus_europaeus ENSEEUG00000004304
sorex_araneus ENSSARG00000003948
vicugna_pacos ENSVPAG00000004449
ursus_americanus ENSUAMG00000022144
ursus_maritimus ENSUMAG00000024504
ailuropoda_melanoleuca ENSAMEG00000007024
neovison_vison ENSNVIG00000021522
mustela_putorius_furo ENSMPUG00000012538
canis_lupus_familiaris ENSCAFG00000016684
canis_lupus_dingo ENSCAFG00020011523
vulpes_vulpes ENSVVUG00000001607
panthera_pardus ENSPPRG00000014586
panthera_tigris_altaica ENSPTIG00000012027
felis_catus ENSFCAG00000030055
equus_caballus ENSECAG00000012970
equus_asinus_asinus ENSEASG00005012004
myotis_lucifugus ENSMLUG00000005219
pteropus_vampyrus ENSPVAG00000017023
propithecus_coquereli ENSPCOG00000017408
prolemur_simus ENSPSMG00000015825
microcebus_murinus ENSMICG00000009955
otolemur_garnettii ENSOGAG00000004803
gorilla_gorilla ENSGGOG00000005506
homo_sapiens ENSG00000113194
pongo_abelii ENSPPYG00000016073
macaca_mulatta ENSMMUG00000009059
macaca_nemestrina ENSMNEG00000027577
macaca_fascicularis ENSMFAG00000046297
chlorocebus_sabaeus ENSCSAG00000009347
theropithecus_gelada ENSTGEG00000014217
papio_anubis ENSPANG00000012854
mandrillus_leucophaeus ENSMLEG00000005577
colobus_angolensis_palliatus ENSCANG00000042260
piliocolobus_tephrosceles ENSPTEG00000030449
rhinopithecus_bieti ENSRBIG00000003159
rhinopithecus_roxellana ENSRROG00000002721
callithrix_jacchus ENSCJAG00000040255
saimiri_boliviensis_boliviensis ENSSBOG00000035526
pan_troglodytes ENSPTRG00000017563
pan_paniscus ENSPPAG00000041151
nomascus_leucogenys ENSNLEG00000012504
cercocebus_atys ENSCATG00000010027
cebus_capucinus_imitator ENSCCAG00000035052
aotus_nancymaae ENSANAG00000023983
castor_canadensis ENSCCNG00000024967
dipodomys_ordii ENSDORG00000008675
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019421
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025873
mus_spicilegus ENSMSIG00000007971
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018541
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019606
rattus_norvegicus ENSRNOG00000017607
meriones_unguiculatus ENSMUGG00000017018
peromyscus_maniculatus_bairdii ENSPEMG00000020218
microtus_ochrogaster ENSMOCG00000009059
cricetulus_griseus_crigri-picr ENSCGRG00015018706
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017510
cricetulus_griseus_crigri_1.0 ENSCGRG00000007665
mesocricetus_auratus ENSMAUG00000018234
nannospalax_galili ENSNGAG00000019765
jaculus_jaculus ENSJJAG00000018600
octodon_degus ENSODEG00000009449
octodon_degus ENSODEG00000009437
chinchilla_lanigera ENSCLAG00000013738
cavia_porcellus ENSCPOG00000009319
cavia_aperea ENSCAPG00000012476
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014976
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014262
fukomys_damarensis ENSFDAG00000008590
urocitellus_parryii ENSUPAG00010013031
ictidomys_tridecemlineatus ENSSTOG00000005644
spermophilus_dauricus ENSSDAG00000003699
marmota_marmota_marmota ENSMMMG00000001710
oryctolagus_cuniculus ENSOCUG00000014822
ochotona_princeps ENSOPRG00000008760
carlito_syrichta ENSTSYG00000013451
procavia_capensis ENSPCAG00000002483
loxodonta_africana ENSLAFG00000005360
echinops_telfairi ENSETEG00000004941
choloepus_hoffmanni ENSCHOG00000000569
dasypus_novemcinctus ENSDNOG00000032968
tupaia_belangeri ENSTBEG00000007302
ornithorhynchus_anatinus ENSOANG00000011659
xenopus_tropicalis ENSXETG00000010945
latimeria_chalumnae ENSLACG00000015033
takifugu_rubripes ENSTRUG00000011219
tetraodon_nigroviridis ENSTNIG00000005614
gasterosteus_aculeatus ENSGACG00000018417
scophthalmus_maximus ENSSMAG00000008747
fundulus_heteroclitus ENSFHEG00000007655
cyprinodon_variegatus ENSCVAG00000013408
xiphophorus_maculatus ENSXMAG00000010225
xiphophorus_couchianus ENSXCOG00000010342
gambusia_affinis ENSGAFG00000006657
poecilia_formosa ENSPFOG00000000899
poecilia_latipinna ENSPLAG00000017125
poecilia_mexicana ENSPMEG00000003435
poecilia_reticulata ENSPREG00000019408
kryptolebias_marmoratus ENSKMAG00000008803
oryzias_latipes_asm223469v1 ENSORLG00015006141
oryzias_latipes_asm223467v1 ENSORLG00000007289
oryzias_latipes_asm223471v1 ENSORLG00020006879
oryzias_melastigma ENSOMEG00000011110
astatotilapia_calliptera ENSACLG00000002149
maylandia_zebra ENSMZEG00005009052
pundamilia_nyererei ENSPNYG00000000183
haplochromis_burtoni ENSHBUG00000004269
neolamprologus_brichardi ENSNBRG00000016161
oreochromis_niloticus ENSONIG00000017695
amphilophus_citrinellus ENSACIG00000016895
mastacembelus_armatus ENSMAMG00000012092
monopterus_albus ENSMALG00000004673
anabas_testudineus ENSATEG00000001915
seriola_dumerili ENSSDUG00000009501
seriola_lalandi_dorsalis ENSSLDG00000003793
mola_mola ENSMMOG00000009227
labrus_bergylta ENSLBEG00000023032
amphiprion_percula ENSAPEG00000011987
amphiprion_ocellaris ENSAOCG00000015410
acanthochromis_polyacanthus ENSAPOG00000006970
stegastes_partitus ENSSPAG00000018951
hippocampus_comes ENSHCOG00000006532
cynoglossus_semilaevis ENSCSEG00000020164
periophthalmus_magnuspinnatus ENSPMGG00000017986
gadus_morhua ENSGMOG00000007044
esox_lucius ENSELUG00000019765
pygocentrus_nattereri ENSPNAG00000012685
astyanax_mexicanus ENSAMXG00000003126
ictalurus_punctatus ENSIPUG00000016534
danio_rerio ENSDARG00000052374
scleropages_formosus ENSSFOG00015000852
paramormyrops_kingsleyae ENSPKIG00000022745
lepisosteus_oculatus ENSLOCG00000011889
monodelphis_domestica ENSMODG00000020541
eptatretus_burgeri ENSEBUG00000015367
