coturnix_japonica ENSCJPG00005006858
numida_meleagris ENSNMEG00000012389
calidris_pygmaea ENSCPGG00000015492
calidris_pugnax ENSCPUG00000004336
anolis_carolinensis ENSACAG00000022245
pogona_vitticeps ENSPVIG00000003656
notechis_scutatus ENSNSUG00000003372
latimeria_chalumnae ENSLACG00000022534
paramormyrops_kingsleyae ENSPKIG00000011239
scleropages_formosus ENSSFOG00015015763
gasterosteus_aculeatus ENSGACG00000010275
labrus_bergylta ENSLBEG00000006643
tetraodon_nigroviridis ENSTNIG00000015442
takifugu_rubripes ENSTRUG00000024525
mola_mola ENSMMOG00000005638
mastacembelus_armatus ENSMAMG00000011550
monopterus_albus ENSMALG00000009325
anabas_testudineus ENSATEG00000003754
scophthalmus_maximus ENSSMAG00000008870
cynoglossus_semilaevis ENSCSEG00000014198
seriola_lalandi_dorsalis ENSSLDG00000017185
seriola_dumerili ENSSDUG00000016592
fundulus_heteroclitus ENSFHEG00000007669
cyprinodon_variegatus ENSCVAG00000000692
xiphophorus_maculatus ENSXMAG00000026131
xiphophorus_couchianus ENSXCOG00000016664
gambusia_affinis ENSGAFG00000009361
poecilia_formosa ENSPFOG00000003295
poecilia_mexicana ENSPMEG00000000463
poecilia_latipinna ENSPLAG00000001434
poecilia_reticulata ENSPREG00000004666
kryptolebias_marmoratus ENSKMAG00000005038
oryzias_latipes_asm223467v1 ENSORLG00000029781
oryzias_latipes_asm223471v1 ENSORLG00020009317
oryzias_latipes_asm223469v1 ENSORLG00015023238
oryzias_melastigma ENSOMEG00000006514
maylandia_zebra ENSMZEG00005014149
haplochromis_burtoni ENSHBUG00000009961
astatotilapia_calliptera ENSACLG00000005737
pundamilia_nyererei ENSPNYG00000020584
neolamprologus_brichardi ENSNBRG00000001877
oreochromis_niloticus ENSONIG00000015944
amphilophus_citrinellus ENSACIG00000018818
amphiprion_ocellaris ENSAOCG00000009567
amphiprion_percula ENSAPEG00000018272
acanthochromis_polyacanthus ENSAPOG00000002045
stegastes_partitus ENSSPAG00000005673
hippocampus_comes ENSHCOG00000020133
periophthalmus_magnuspinnatus ENSPMGG00000015104
gadus_morhua ENSGMOG00000000580
esox_lucius ENSELUG00000017971
pygocentrus_nattereri ENSPNAG00000013772
astyanax_mexicanus ENSAMXG00000013848
ictalurus_punctatus ENSIPUG00000012707
danio_rerio ENSDARG00000032482
paramormyrops_kingsleyae ENSPKIG00000003740
pygocentrus_nattereri ENSPNAG00000023336
lepisosteus_oculatus ENSLOCG00000005134
esox_lucius ENSELUG00000011272
