notamacropus_eugenii ENSMEUG00000006560
phascolarctos_cinereus ENSPCIG00000005636
monodelphis_domestica ENSMODG00000029429
sarcophilus_harrisii ENSSHAG00000004691
ursus_americanus ENSUAMG00000024798
ursus_maritimus ENSUMAG00000007334
ailuropoda_melanoleuca ENSAMEG00000001559
neovison_vison ENSNVIG00000011621
mustela_putorius_furo ENSMPUG00000004534
canis_lupus_familiaris ENSCAFG00000010716
canis_lupus_dingo ENSCAFG00020015381
vulpes_vulpes ENSVVUG00000004753
panthera_pardus ENSPPRG00000024406
panthera_tigris_altaica ENSPTIG00000013302
felis_catus ENSFCAG00000002792
equus_caballus ENSECAG00000019619
equus_asinus_asinus ENSEASG00005007747
pteropus_vampyrus ENSPVAG00000009957
myotis_lucifugus ENSMLUG00000000099
capra_hircus ENSCHIG00000024724
ovis_aries ENSOARG00000017252
bos_mutus ENSBMUG00000005793
bos_taurus ENSBTAG00000015183
bison_bison_bison ENSBBBG00000012427
tursiops_truncatus ENSTTRG00000011811
sus_scrofa ENSSSCG00000012875
castor_canadensis ENSCCNG00000013795
dipodomys_ordii ENSDORG00000002980
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048677
mus_spicilegus ENSMSIG00000029535
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031870
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030762
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013957
rattus_norvegicus ENSRNOG00000013387
meriones_unguiculatus ENSMUGG00000021132
microtus_ochrogaster ENSMOCG00000013268
peromyscus_maniculatus_bairdii ENSPEMG00000018425
cricetulus_griseus_crigri-picr ENSCGRG00015020623
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010845
cricetulus_griseus_crigri_1.0 ENSCGRG00000016806
mesocricetus_auratus ENSMAUG00000018105
nannospalax_galili ENSNGAG00000015900
jaculus_jaculus ENSJJAG00000019473
cavia_porcellus ENSCPOG00000002580
cavia_aperea ENSCAPG00000000852
chinchilla_lanigera ENSCLAG00000016178
octodon_degus ENSODEG00000017370
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009429
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009786
