amphilophus_citrinellus ENSACIG00000019020
cyprinodon_variegatus ENSCVAG00000005464
seriola_lalandi_dorsalis ENSSLDG00000008769
astyanax_mexicanus ENSAMXG00000042009
pogona_vitticeps ENSPVIG00000002242
notechis_scutatus ENSNSUG00000013349
chrysemys_picta_bellii ENSCPBG00000025741
gopherus_agassizii ENSGAGG00000010287
cebus_capucinus_imitator ENSCCAG00000014729
cebus_capucinus_imitator ENSCCAG00000019743
chlorocebus_sabaeus ENSCSAG00000006183
meriones_unguiculatus ENSMUGG00000025721
panthera_pardus ENSPPRG00000006085
felis_catus ENSFCAG00000044102
bos_taurus ENSBTAG00000051299
dasypus_novemcinctus ENSDNOG00000044430
lepidothrix_coronata ENSLCOG00000003237
