cricetulus_griseus_crigri-picr ENSCGRG00015019929
cricetulus_griseus_crigri_1.0 ENSCGRG00000018088
mesocricetus_auratus ENSMAUG00000007259
microtus_ochrogaster ENSMOCG00000006182
peromyscus_maniculatus_bairdii ENSPEMG00000006070
mus_spicilegus ENSMSIG00000026883
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028362
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000007457
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027365
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017147
rattus_norvegicus ENSRNOG00000023430
otolemur_garnettii ENSOGAG00000024935
ailuropoda_melanoleuca ENSAMEG00000005824
mustela_putorius_furo ENSMPUG00000009727
canis_lupus_familiaris ENSCAFG00000002890
ovis_aries ENSOARG00000011161
