cavia_aperea ENSCAPG00000000065
cavia_porcellus ENSCPOG00000003248
octodon_degus ENSODEG00000003880
chinchilla_lanigera ENSCLAG00000007981
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000101
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004491
fukomys_damarensis ENSFDAG00000007591
spermophilus_dauricus ENSSDAG00000000105
spermophilus_dauricus ENSSDAG00000016466
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076613
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000005
mus_spicilegus ENSMSIG00000025340
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000005
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0000008
mus_spicilegus ENSMSIG00000007504
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076612
rattus_norvegicus ENSRNOG00000048402
meriones_unguiculatus ENSMUGG00000001843
meriones_unguiculatus ENSMUGG00000011402
cricetulus_griseus_crigri_1.0 ENSCGRG00000016568
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017803
cricetulus_griseus_crigri-picr ENSCGRG00015021779
mesocricetus_auratus ENSMAUG00000016341
microtus_ochrogaster ENSMOCG00000020403
cricetulus_griseus_crigri-picr ENSCGRG00015022272
peromyscus_maniculatus_bairdii ENSPEMG00000013304
mus_spicilegus ENSMSIG00000025372
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076615
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000007
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000007
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0000010
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076614
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000006
mus_spicilegus ENSMSIG00000025363
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000006
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0000009
rattus_norvegicus ENSRNOG00000030332
meriones_unguiculatus ENSMUGG00000011613
peromyscus_maniculatus_bairdii ENSPEMG00000025247
peromyscus_maniculatus_bairdii ENSPEMG00000026602
cricetulus_griseus_crigri-picr ENSCGRG00015022101
nannospalax_galili ENSNGAG00000000319
jaculus_jaculus ENSJJAG00000011673
castor_canadensis ENSCCNG00000019667
castor_canadensis ENSCCNG00000019657
castor_canadensis ENSCCNG00000010850
oryctolagus_cuniculus ENSOCUG00000026651
pan_troglodytes ENSPTRG00000045873
pan_paniscus ENSPPAG00000031931
gorilla_gorilla ENSGGOG00000042448
pan_paniscus ENSPPAG00000032154
rhinopithecus_roxellana ENSRROG00000037855
aotus_nancymaae ENSANAG00000017518
otolemur_garnettii ENSOGAG00000031059
ursus_maritimus ENSUMAG00000009916
erinaceus_europaeus ENSEEUG00000011129
sus_scrofa ENSSSCG00000032499
sus_scrofa ENSSSCG00000036318
sus_scrofa ENSSSCG00000040381
ovis_aries ENSOARG00000017398
bos_mutus ENSBMUG00000011381
