sphenodon_punctatus ENSSPUG00000003520
salvator_merianae ENSSMRG00000009409
chrysemys_picta_bellii ENSCPBG00000021123
gopherus_agassizii ENSGAGG00000022299
lepidothrix_coronata ENSLCOG00000009056
manacus_vitellinus ENSMVIG00005007846
junco_hyemalis ENSJHYG00000004570
zonotrichia_albicollis ENSZALG00000002390
serinus_canaria ENSSCAG00000001731
taeniopygia_guttata ENSTGUG00000016310
ficedula_albicollis ENSFALG00000001865
parus_major ENSPMJG00000011908
cyanistes_caeruleus ENSCCEG00000000453
melopsittacus_undulatus ENSMUNG00000004475
calidris_pygmaea ENSCPGG00000019592
gallus_gallus ENSGALG00000020342
meleagris_gallopavo ENSMGAG00000013760
coturnix_japonica ENSCJPG00005009249
numida_meleagris ENSNMEG00000019922
anas_platyrhynchos_platyrhynchos ENSAPLG00000002445
dromaius_novaehollandiae ENSDNVG00000006632
apteryx_rowi ENSARWG00000007926
nothoprocta_perdicaria ENSNPEG00000015079
ciona_savignyi ENSCSAVG00000010775
ciona_intestinalis ENSCING00000005556
drosophila_melanogaster FBgn0034419
caenorhabditis_elegans_strain_n2 WBGene00022393
