oryzias_latipes_asm223471v1 ENSORLG00020014013
cynoglossus_semilaevis ENSCSEG00000012218
mola_mola ENSMMOG00000016631
tetraodon_nigroviridis ENSTNIG00000002629
cyprinodon_variegatus ENSCVAG00000019711
fundulus_heteroclitus ENSFHEG00000021593
poecilia_latipinna ENSPLAG00000014367
hippocampus_comes ENSHCOG00000006882
periophthalmus_magnuspinnatus ENSPMGG00000000324
amphiprion_percula ENSAPEG00000022418
stegastes_partitus ENSSPAG00000012571
kryptolebias_marmoratus ENSKMAG00000009162
maylandia_zebra ENSMZEG00005027748
haplochromis_burtoni ENSHBUG00000009836
seriola_dumerili ENSSDUG00000006900
xiphophorus_couchianus ENSXCOG00000003799
xiphophorus_maculatus ENSXMAG00000025853
gambusia_affinis ENSGAFG00000014367
labrus_bergylta ENSLBEG00000014828
periophthalmus_magnuspinnatus ENSPMGG00000002850
stegastes_partitus ENSSPAG00000005808
amphilophus_citrinellus ENSACIG00000022359
seriola_lalandi_dorsalis ENSSLDG00000015941
seriola_dumerili ENSSDUG00000011329
esox_lucius ENSELUG00000015621
anser_brachyrhynchus ENSABRG00000019607
anas_platyrhynchos_platyrhynchos ENSAPLG00000024737
calidris_pygmaea ENSCPGG00000013103
serinus_canaria ENSSCAG00000000957
gopherus_agassizii ENSGAGG00000008185
pogona_vitticeps ENSPVIG00000004088
ursus_americanus ENSUAMG00000010200
ursus_maritimus ENSUMAG00000019162
equus_caballus ENSECAG00000032626
nomascus_leucogenys ENSNLEG00000034442
