vicugna_pacos ENSVPAG00000005948
neovison_vison ENSNVIG00000006476
choloepus_hoffmanni ENSCHOG00000005948
pogona_vitticeps ENSPVIG00000016371
notechis_scutatus ENSNSUG00000003683
parus_major ENSPMJG00000010064
eptatretus_burgeri ENSEBUG00000010918
astatotilapia_calliptera ENSACLG00000022067
maylandia_zebra ENSMZEG00005019612
haplochromis_burtoni ENSHBUG00000015864
pundamilia_nyererei ENSPNYG00000010101
neolamprologus_brichardi ENSNBRG00000012520
oreochromis_niloticus ENSONIG00000017504
amphilophus_citrinellus ENSACIG00000019159
xiphophorus_couchianus ENSXCOG00000010164
monopterus_albus ENSMALG00000022059
anabas_testudineus ENSATEG00000015258
ciona_intestinalis ENSCING00000003744
ciona_savignyi ENSCSAVG00000007435
caenorhabditis_elegans_strain_n2 WBGene00007129
caenorhabditis_elegans_strain_n2 WBGene00010035
