notamacropus_eugenii ENSMEUG00000014134
phascolarctos_cinereus ENSPCIG00000036631
sarcophilus_harrisii ENSSHAG00000000853
monodelphis_domestica ENSMODG00000018838
pan_troglodytes ENSPTRG00000018265
pan_paniscus ENSPPAG00000029268
homo_sapiens ENSG00000124812
gorilla_gorilla ENSGGOG00000010522
pongo_abelii ENSPPYG00000016693
nomascus_leucogenys ENSNLEG00000003999
rhinopithecus_bieti ENSRBIG00000033730
rhinopithecus_roxellana ENSRROG00000031420
colobus_angolensis_palliatus ENSCANG00000043547
piliocolobus_tephrosceles ENSPTEG00000008771
macaca_fascicularis ENSMFAG00000035443
macaca_mulatta ENSMMUG00000004190
macaca_nemestrina ENSMNEG00000040906
cercocebus_atys ENSCATG00000039100
mandrillus_leucophaeus ENSMLEG00000032121
papio_anubis ENSPANG00000005250
theropithecus_gelada ENSTGEG00000000188
chlorocebus_sabaeus ENSCSAG00000012884
cebus_capucinus_imitator ENSCCAG00000024689
saimiri_boliviensis_boliviensis ENSSBOG00000031933
callithrix_jacchus ENSCJAG00000011614
aotus_nancymaae ENSANAG00000033292
carlito_syrichta ENSTSYG00000008657
prolemur_simus ENSPSMG00000015890
microcebus_murinus ENSMICG00000002786
otolemur_garnettii ENSOGAG00000016638
tupaia_belangeri ENSTBEG00000013443
mus_spicilegus ENSMSIG00000027103
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014781
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025774
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0013976
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027226
rattus_norvegicus ENSRNOG00000013612
meriones_unguiculatus ENSMUGG00000016834
peromyscus_maniculatus_bairdii ENSPEMG00000016927
microtus_ochrogaster ENSMOCG00000001532
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015574
cricetulus_griseus_crigri-picr ENSCGRG00015006949
cricetulus_griseus_crigri_1.0 ENSCGRG00000001971
mesocricetus_auratus ENSMAUG00000007766
nannospalax_galili ENSNGAG00000000040
jaculus_jaculus ENSJJAG00000000785
castor_canadensis ENSCCNG00000007394
marmota_marmota_marmota ENSMMMG00000024622
ictidomys_tridecemlineatus ENSSTOG00000025570
urocitellus_parryii ENSUPAG00010018274
spermophilus_dauricus ENSSDAG00000006572
oryctolagus_cuniculus ENSOCUG00000025156
ochotona_princeps ENSOPRG00000016579
erinaceus_europaeus ENSEEUG00000009363
sorex_araneus ENSSARG00000013377
pteropus_vampyrus ENSPVAG00000013424
myotis_lucifugus ENSMLUG00000017580
bos_mutus ENSBMUG00000011748
bos_taurus ENSBTAG00000008085
bison_bison_bison ENSBBBG00000005404
capra_hircus ENSCHIG00000015225
ovis_aries ENSOARG00000012546
tursiops_truncatus ENSTTRG00000003518
sus_scrofa ENSSSCG00000001739
ursus_americanus ENSUAMG00000023568
ursus_maritimus ENSUMAG00000004606
canis_lupus_dingo ENSCAFG00020012976
canis_lupus_familiaris ENSCAFG00000028592
vulpes_vulpes ENSVVUG00000029339
mustela_putorius_furo ENSMPUG00000009126
neovison_vison ENSNVIG00000004438
felis_catus ENSFCAG00000002580
panthera_tigris_altaica ENSPTIG00000010800
panthera_pardus ENSPPRG00000023824
equus_caballus ENSECAG00000011049
equus_asinus_asinus ENSEASG00005004126
ornithorhynchus_anatinus ENSOANG00000014322
ornithorhynchus_anatinus ENSOANG00000029415
pogona_vitticeps ENSPVIG00000001805
anolis_carolinensis ENSACAG00000012330
anolis_carolinensis ENSACAG00000012387
pogona_vitticeps ENSPVIG00000001810
salvator_merianae ENSSMRG00000006037
anolis_carolinensis ENSACAG00000012389
salvator_merianae ENSSMRG00000006058
pogona_vitticeps ENSPVIG00000001808
pelodiscus_sinensis ENSPSIG00000013188
xenopus_tropicalis ENSXETG00000011150
cyprinodon_variegatus ENSCVAG00000018996
oryzias_melastigma ENSOMEG00000003437
periophthalmus_magnuspinnatus ENSPMGG00000005851
lepisosteus_oculatus ENSLOCG00000016346
