gasterosteus_aculeatus ENSGACG00000019735
mola_mola ENSMMOG00000018761
labrus_bergylta ENSLBEG00000002206
seriola_dumerili ENSSDUG00000000583
seriola_lalandi_dorsalis ENSSLDG00000017444
mastacembelus_armatus ENSMAMG00000023021
monopterus_albus ENSMALG00000008498
anabas_testudineus ENSATEG00000020612
amphiprion_ocellaris ENSAOCG00000019160
amphiprion_percula ENSAPEG00000006673
acanthochromis_polyacanthus ENSAPOG00000002447
stegastes_partitus ENSSPAG00000016399
stegastes_partitus ENSSPAG00000010186
oreochromis_niloticus ENSONIG00000012445
neolamprologus_brichardi ENSNBRG00000003600
maylandia_zebra ENSMZEG00005005014
astatotilapia_calliptera ENSACLG00000015410
pundamilia_nyererei ENSPNYG00000023460
haplochromis_burtoni ENSHBUG00000007260
amphilophus_citrinellus ENSACIG00000010324
poecilia_reticulata ENSPREG00000020616
poecilia_formosa ENSPFOG00000002074
xiphophorus_maculatus ENSXMAG00000005819
xiphophorus_couchianus ENSXCOG00000011941
fundulus_heteroclitus ENSFHEG00000002359
cyprinodon_variegatus ENSCVAG00000016484
kryptolebias_marmoratus ENSKMAG00000004960
oryzias_latipes_asm223467v1 ENSORLG00000001605
oryzias_latipes_asm223471v1 ENSORLG00020015767
oryzias_latipes_asm223469v1 ENSORLG00015015317
oryzias_melastigma ENSOMEG00000007275
cynoglossus_semilaevis ENSCSEG00000020739
periophthalmus_magnuspinnatus ENSPMGG00000019011
esox_lucius ENSELUG00000001065
astyanax_mexicanus ENSAMXG00000002913
pygocentrus_nattereri ENSPNAG00000003107
ictalurus_punctatus ENSIPUG00000024387
danio_rerio ENSDARG00000102252
paramormyrops_kingsleyae ENSPKIG00000005774
scleropages_formosus ENSSFOG00015001953
lepisosteus_oculatus ENSLOCG00000016101
anser_brachyrhynchus ENSABRG00000023064
anas_platyrhynchos_platyrhynchos ENSAPLG00000004912
gallus_gallus ENSGALG00000004455
coturnix_japonica ENSCJPG00005016046
numida_meleagris ENSNMEG00000011545
zonotrichia_albicollis ENSZALG00000009664
junco_hyemalis ENSJHYG00000002576
serinus_canaria ENSSCAG00000013613
ficedula_albicollis ENSFALG00000010997
lonchura_striata_domestica ENSLSDG00000008449
taeniopygia_guttata ENSTGUG00000006553
cyanistes_caeruleus ENSCCEG00000010797
lepidothrix_coronata ENSLCOG00000012553
manacus_vitellinus ENSMVIG00005006772
melopsittacus_undulatus ENSMUNG00000016613
calidris_pugnax ENSCPUG00000018039
calidris_pygmaea ENSCPGG00000016105
apteryx_haastii ENSAHAG00000003909
apteryx_owenii ENSAOWG00000014359
dromaius_novaehollandiae ENSDNVG00000013682
