periophthalmus_magnuspinnatus ENSPMGG00000007965
anabas_testudineus ENSATEG00000022742
pundamilia_nyererei ENSPNYG00000010420
haplochromis_burtoni ENSHBUG00000000636
astatotilapia_calliptera ENSACLG00000010811
cyprinodon_variegatus ENSCVAG00000010767
mola_mola ENSMMOG00000014071
gasterosteus_aculeatus ENSGACG00000007482
seriola_lalandi_dorsalis ENSSLDG00000015577
scophthalmus_maximus ENSSMAG00000001251
xiphophorus_maculatus ENSXMAG00000022701
xiphophorus_couchianus ENSXCOG00000008506
kryptolebias_marmoratus ENSKMAG00000014208
oryzias_melastigma ENSOMEG00000010749
esox_lucius ENSELUG00000021060
drosophila_melanogaster FBgn0030240
haplochromis_burtoni ENSHBUG00000012539
maylandia_zebra ENSMZEG00005025484
cyprinodon_variegatus ENSCVAG00000008314
oryzias_latipes_asm223467v1 ENSORLG00000024487
oryzias_latipes_asm223469v1 ENSORLG00015018912
oryzias_latipes_asm223471v1 ENSORLG00020002690
oryzias_melastigma ENSOMEG00000010494
cyprinodon_variegatus ENSCVAG00000008425
seriola_dumerili ENSSDUG00000013280
cynoglossus_semilaevis ENSCSEG00000005462
astyanax_mexicanus ENSAMXG00000036181
ciona_intestinalis ENSCING00000004545
drosophila_melanogaster FBgn0052767
