notechis_scutatus ENSNSUG00000017627
pogona_vitticeps ENSPVIG00000017250
salvator_merianae ENSSMRG00000000494
sphenodon_punctatus ENSSPUG00000011298
chrysemys_picta_bellii ENSCPBG00000014160
chrysemys_picta_bellii ENSCPBG00000016170
gopherus_agassizii ENSGAGG00000013306
chelonoidis_abingdonii ENSCABG00000017864
gallus_gallus ENSGALG00000047204
ursus_americanus ENSUAMG00000007771
ailuropoda_melanoleuca ENSAMEG00000009788
vulpes_vulpes ENSVVUG00000026391
canis_lupus_dingo ENSCAFG00020008555
equus_caballus ENSECAG00000023427
bos_taurus ENSBTAG00000021210
bos_mutus ENSBMUG00000000699
bison_bison_bison ENSBBBG00000019586
capra_hircus ENSCHIG00000014443
neovison_vison ENSNVIG00000005157
mustela_putorius_furo ENSMPUG00000006870
canis_lupus_familiaris ENSCAFG00000019577
felis_catus ENSFCAG00000040264
tursiops_truncatus ENSTTRG00000006313
sus_scrofa ENSSSCG00000034297
pteropus_vampyrus ENSPVAG00000013011
erinaceus_europaeus ENSEEUG00000007286
urocitellus_parryii ENSUPAG00010011178
ictidomys_tridecemlineatus ENSSTOG00000013642
marmota_marmota_marmota ENSMMMG00000017962
spermophilus_dauricus ENSSDAG00000023755
castor_canadensis ENSCCNG00000027896
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027843
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028940
mus_spicilegus ENSMSIG00000013192
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026850
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029198
rattus_norvegicus ENSRNOG00000010490
meriones_unguiculatus ENSMUGG00000008410
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016354
cricetulus_griseus_crigri_1.0 ENSCGRG00000008036
cricetulus_griseus_crigri-picr ENSCGRG00015009908
mesocricetus_auratus ENSMAUG00000019735
microtus_ochrogaster ENSMOCG00000021503
peromyscus_maniculatus_bairdii ENSPEMG00000028018
nannospalax_galili ENSNGAG00000016367
jaculus_jaculus ENSJJAG00000016663
cavia_porcellus ENSCPOG00000034239
chinchilla_lanigera ENSCLAG00000005798
octodon_degus ENSODEG00000011291
oryctolagus_cuniculus ENSOCUG00000001296
tupaia_belangeri ENSTBEG00000011892
macaca_mulatta ENSMMUG00000022882
macaca_fascicularis ENSMFAG00000031814
callithrix_jacchus ENSCJAG00000000166
cebus_capucinus_imitator ENSCCAG00000030434
saimiri_boliviensis_boliviensis ENSSBOG00000031422
aotus_nancymaae ENSANAG00000029232
papio_anubis ENSPANG00000004187
theropithecus_gelada ENSTGEG00000015330
cercocebus_atys ENSCATG00000036241
macaca_nemestrina ENSMNEG00000044620
chlorocebus_sabaeus ENSCSAG00000000740
rhinopithecus_bieti ENSRBIG00000030225
rhinopithecus_roxellana ENSRROG00000028807
piliocolobus_tephrosceles ENSPTEG00000011540
pan_troglodytes ENSPTRG00000000085
pan_paniscus ENSPPAG00000033917
homo_sapiens ENSG00000069812
gorilla_gorilla ENSGGOG00000001846
pongo_abelii ENSPPYG00000001944
microcebus_murinus ENSMICG00000000703
propithecus_coquereli ENSPCOG00000025623
otolemur_garnettii ENSOGAG00000024214
prolemur_simus ENSPSMG00000022954
equus_asinus_asinus ENSEASG00005021323
loxodonta_africana ENSLAFG00000027461
procavia_capensis ENSPCAG00000007135
phascolarctos_cinereus ENSPCIG00000028297
notamacropus_eugenii ENSMEUG00000001467
monodelphis_domestica ENSMODG00000006149
sarcophilus_harrisii ENSSHAG00000003355
sarcophilus_harrisii ENSSHAG00000007537
ornithorhynchus_anatinus ENSOANG00000014690
xenopus_tropicalis ENSXETG00000001163
latimeria_chalumnae ENSLACG00000016859
scleropages_formosus ENSSFOG00015010823
scleropages_formosus ENSSFOG00015010831
paramormyrops_kingsleyae ENSPKIG00000013260
paramormyrops_kingsleyae ENSPKIG00000013282
xiphophorus_couchianus ENSXCOG00000004008
xiphophorus_maculatus ENSXMAG00000030026
gambusia_affinis ENSGAFG00000019152
poecilia_latipinna ENSPLAG00000017705
poecilia_mexicana ENSPMEG00000000764
poecilia_formosa ENSPFOG00000011221
poecilia_reticulata ENSPREG00000017026
fundulus_heteroclitus ENSFHEG00000002123
cyprinodon_variegatus ENSCVAG00000002375
oryzias_latipes_asm223471v1 ENSORLG00020015901
oryzias_latipes_asm223469v1 ENSORLG00015007792
oryzias_latipes_asm223467v1 ENSORLG00000004275
oryzias_melastigma ENSOMEG00000004700
pundamilia_nyererei ENSPNYG00000010008
astatotilapia_calliptera ENSACLG00000022876
maylandia_zebra ENSMZEG00005020428
haplochromis_burtoni ENSHBUG00000009845
neolamprologus_brichardi ENSNBRG00000003376
oreochromis_niloticus ENSONIG00000002077
amphilophus_citrinellus ENSACIG00000022267
kryptolebias_marmoratus ENSKMAG00000013194
tetraodon_nigroviridis ENSTNIG00000011986
cynoglossus_semilaevis ENSCSEG00000019247
seriola_lalandi_dorsalis ENSSLDG00000024779
seriola_dumerili ENSSDUG00000001136
scophthalmus_maximus ENSSMAG00000011300
amphiprion_ocellaris ENSAOCG00000008961
amphiprion_percula ENSAPEG00000014754
acanthochromis_polyacanthus ENSAPOG00000018225
stegastes_partitus ENSSPAG00000020279
mastacembelus_armatus ENSMAMG00000018357
monopterus_albus ENSMALG00000001047
anabas_testudineus ENSATEG00000012764
mola_mola ENSMMOG00000014225
takifugu_rubripes ENSTRUG00000015206
gasterosteus_aculeatus ENSGACG00000006470
labrus_bergylta ENSLBEG00000005319
hippocampus_comes ENSHCOG00000017224
mastacembelus_armatus ENSMAMG00000018375
anabas_testudineus ENSATEG00000012780
labrus_bergylta ENSLBEG00000005291
mola_mola ENSMMOG00000014224
takifugu_rubripes ENSTRUG00000021965
monopterus_albus ENSMALG00000001024
scophthalmus_maximus ENSSMAG00000011281
cynoglossus_semilaevis ENSCSEG00000019244
seriola_dumerili ENSSDUG00000001146
seriola_lalandi_dorsalis ENSSLDG00000024785
fundulus_heteroclitus ENSFHEG00000000063
cyprinodon_variegatus ENSCVAG00000002380
poecilia_mexicana ENSPMEG00000015490
poecilia_formosa ENSPFOG00000011208
poecilia_latipinna ENSPLAG00000017725
xiphophorus_couchianus ENSXCOG00000004010
xiphophorus_maculatus ENSXMAG00000018647
poecilia_reticulata ENSPREG00000017009
gambusia_affinis ENSGAFG00000019155
kryptolebias_marmoratus ENSKMAG00000013218
oryzias_latipes_asm223471v1 ENSORLG00020015876
oryzias_latipes_asm223469v1 ENSORLG00015007772
oryzias_latipes_asm223467v1 ENSORLG00000022762
oryzias_melastigma ENSOMEG00000004698
astatotilapia_calliptera ENSACLG00000022887
haplochromis_burtoni ENSHBUG00000009825
pundamilia_nyererei ENSPNYG00000009973
maylandia_zebra ENSMZEG00005020426
neolamprologus_brichardi ENSNBRG00000003399
oreochromis_niloticus ENSONIG00000002080
amphilophus_citrinellus ENSACIG00000022261
amphiprion_ocellaris ENSAOCG00000008940
amphiprion_percula ENSAPEG00000014765
stegastes_partitus ENSSPAG00000020267
acanthochromis_polyacanthus ENSAPOG00000018222
hippocampus_comes ENSHCOG00000017209
tetraodon_nigroviridis ENSTNIG00000011985
periophthalmus_magnuspinnatus ENSPMGG00000021933
periophthalmus_magnuspinnatus ENSPMGG00000010020
esox_lucius ENSELUG00000006183
esox_lucius ENSELUG00000001290
pygocentrus_nattereri ENSPNAG00000028472
astyanax_mexicanus ENSAMXG00000042324
pygocentrus_nattereri ENSPNAG00000028557
astyanax_mexicanus ENSAMXG00000014429
ictalurus_punctatus ENSIPUG00000021473
danio_rerio ENSDARG00000068168
ictalurus_punctatus ENSIPUG00000021478
danio_rerio ENSDARG00000074897
lepisosteus_oculatus ENSLOCG00000005083
gadus_morhua ENSGMOG00000015330
takifugu_rubripes ENSTRUG00000000980
