mus_spicilegus ENSMSIG00000016333
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071089
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032204
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031088
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021554
castor_canadensis ENSCCNG00000017355
sus_scrofa ENSSSCG00000014670
pan_paniscus ENSPPAG00000037236
pan_troglodytes ENSPTRG00000003259
homo_sapiens ENSG00000132274
gorilla_gorilla ENSGGOG00000010715
pongo_abelii ENSPPYG00000003563
nomascus_leucogenys ENSNLEG00000026965
theropithecus_gelada ENSTGEG00000021367
mandrillus_leucophaeus ENSMLEG00000036149
macaca_mulatta ENSMMUG00000000338
macaca_nemestrina ENSMNEG00000007095
macaca_fascicularis ENSMFAG00000032674
papio_anubis ENSPANG00000002935
cercocebus_atys ENSCATG00000043502
chlorocebus_sabaeus ENSCSAG00000004294
colobus_angolensis_palliatus ENSCANG00000003917
piliocolobus_tephrosceles ENSPTEG00000014224
rhinopithecus_roxellana ENSRROG00000035875
rhinopithecus_bieti ENSRBIG00000035372
saimiri_boliviensis_boliviensis ENSSBOG00000022819
cebus_capucinus_imitator ENSCCAG00000023812
callithrix_jacchus ENSCJAG00000043313
aotus_nancymaae ENSANAG00000027414
carlito_syrichta ENSTSYG00000004367
tupaia_belangeri ENSTBEG00000006429
pteropus_vampyrus ENSPVAG00000003910
myotis_lucifugus ENSMLUG00000011494
equus_caballus ENSECAG00000005126
equus_asinus_asinus ENSEASG00005001517
ursus_maritimus ENSUMAG00000024629
ursus_americanus ENSUAMG00000010028
ailuropoda_melanoleuca ENSAMEG00000013391
neovison_vison ENSNVIG00000017657
mustela_putorius_furo ENSMPUG00000010012
canis_lupus_familiaris ENSCAFG00000024867
canis_lupus_dingo ENSCAFG00020009208
vulpes_vulpes ENSVVUG00000015694
