amphiprion_ocellaris ENSAOCG00000014511
amphiprion_percula ENSAPEG00000006933
acanthochromis_polyacanthus ENSAPOG00000020630
stegastes_partitus ENSSPAG00000016907
oryzias_latipes_asm223467v1 ENSORLG00000022331
oryzias_latipes_asm223471v1 ENSORLG00020012033
oryzias_latipes_asm223469v1 ENSORLG00015010984
oryzias_melastigma ENSOMEG00000019278
mastacembelus_armatus ENSMAMG00000023015
scophthalmus_maximus ENSSMAG00000021003
pundamilia_nyererei ENSPNYG00000018457
maylandia_zebra ENSMZEG00005001460
astatotilapia_calliptera ENSACLG00000014571
haplochromis_burtoni ENSHBUG00000009252
neolamprologus_brichardi ENSNBRG00000008770
oreochromis_niloticus ENSONIG00000012443
amphilophus_citrinellus ENSACIG00000003451
monopterus_albus ENSMALG00000022266
seriola_dumerili ENSSDUG00000017834
seriola_lalandi_dorsalis ENSSLDG00000001928
mola_mola ENSMMOG00000018755
fundulus_heteroclitus ENSFHEG00000002285
cyprinodon_variegatus ENSCVAG00000016248
poecilia_mexicana ENSPMEG00000014031
poecilia_latipinna ENSPLAG00000010664
poecilia_formosa ENSPFOG00000003910
poecilia_reticulata ENSPREG00000020559
xiphophorus_maculatus ENSXMAG00000027888
xiphophorus_couchianus ENSXCOG00000012151
gambusia_affinis ENSGAFG00000004377
poecilia_formosa ENSPFOG00000021967
seriola_lalandi_dorsalis ENSSLDG00000014755
kryptolebias_marmoratus ENSKMAG00000014338
labrus_bergylta ENSLBEG00000002438
labrus_bergylta ENSLBEG00000014703
anabas_testudineus ENSATEG00000019704
cynoglossus_semilaevis ENSCSEG00000009966
takifugu_rubripes ENSTRUG00000023095
tetraodon_nigroviridis ENSTNIG00000004505
gadus_morhua ENSGMOG00000014680
esox_lucius ENSELUG00000012544
pygocentrus_nattereri ENSPNAG00000014415
astyanax_mexicanus ENSAMXG00000039464
ictalurus_punctatus ENSIPUG00000024384
danio_rerio ENSDARG00000031203
scleropages_formosus ENSSFOG00015001751
paramormyrops_kingsleyae ENSPKIG00000005530
gopherus_agassizii ENSGAGG00000013226
chelonoidis_abingdonii ENSCABG00000009556
chrysemys_picta_bellii ENSCPBG00000009436
pelodiscus_sinensis ENSPSIG00000013161
crocodylus_porosus ENSCPRG00005013164
anolis_carolinensis ENSACAG00000005706
pogona_vitticeps ENSPVIG00000001685
notechis_scutatus ENSNSUG00000004579
salvator_merianae ENSSMRG00000005611
sphenodon_punctatus ENSSPUG00000013049
calidris_pygmaea ENSCPGG00000000843
calidris_pugnax ENSCPUG00000002940
melopsittacus_undulatus ENSMUNG00000006787
taeniopygia_guttata ENSTGUG00000014607
taeniopygia_guttata ENSTGUG00000002215
lonchura_striata_domestica ENSLSDG00000006667
junco_hyemalis ENSJHYG00000001770
parus_major ENSPMJG00000002828
cyanistes_caeruleus ENSCCEG00000012893
zonotrichia_albicollis ENSZALG00000012420
lepidothrix_coronata ENSLCOG00000013419
manacus_vitellinus ENSMVIG00005018519
ficedula_albicollis ENSFALG00000013585
coturnix_japonica ENSCJPG00005001529
meleagris_gallopavo ENSMGAG00000005060
gallus_gallus ENSGALG00000008931
numida_meleagris ENSNMEG00000003154
anser_brachyrhynchus ENSABRG00000007438
anas_platyrhynchos_platyrhynchos ENSAPLG00000006974
dromaius_novaehollandiae ENSDNVG00000015001
nothoprocta_perdicaria ENSNPEG00000016067
apteryx_rowi ENSARWG00000006045
apteryx_owenii ENSAOWG00000007540
apteryx_haastii ENSAHAG00000011884
macaca_nemestrina ENSMNEG00000024928
pongo_abelii ENSPPYG00000012380
oryctolagus_cuniculus ENSOCUG00000001093
urocitellus_parryii ENSUPAG00010011263
myotis_lucifugus ENSMLUG00000029899
myotis_lucifugus ENSMLUG00000025264
myotis_lucifugus ENSMLUG00000022697
loxodonta_africana ENSLAFG00000030691
loxodonta_africana ENSLAFG00000004349
vicugna_pacos ENSVPAG00000012468
tursiops_truncatus ENSTTRG00000017169
pteropus_vampyrus ENSPVAG00000014708
erinaceus_europaeus ENSEEUG00000015197
propithecus_coquereli ENSPCOG00000002593
microcebus_murinus ENSMICG00000036432
pan_paniscus ENSPPAG00000043574
pan_troglodytes ENSPTRG00000011966
homo_sapiens ENSG00000173163
gorilla_gorilla ENSGGOG00000007602
nomascus_leucogenys ENSNLEG00000033234
rhinopithecus_bieti ENSRBIG00000034351
rhinopithecus_roxellana ENSRROG00000041531
piliocolobus_tephrosceles ENSPTEG00000022955
colobus_angolensis_palliatus ENSCANG00000037940
piliocolobus_tephrosceles ENSPTEG00000009901
rhinopithecus_roxellana ENSRROG00000031232
