notamacropus_eugenii ENSMEUG00000001283
phascolarctos_cinereus ENSPCIG00000019247
sarcophilus_harrisii ENSSHAG00000008308
monodelphis_domestica ENSMODG00000008702
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017222
mus_spicilegus ENSMSIG00000030809
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020520
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016380
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017515
rattus_norvegicus ENSRNOG00000002488
meriones_unguiculatus ENSMUGG00000012066
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024161
cricetulus_griseus_crigri-picr ENSCGRG00015019713
cricetulus_griseus_crigri_1.0 ENSCGRG00000003567
mesocricetus_auratus ENSMAUG00000022260
peromyscus_maniculatus_bairdii ENSPEMG00000021112
microtus_ochrogaster ENSMOCG00000022339
nannospalax_galili ENSNGAG00000010140
jaculus_jaculus ENSJJAG00000011786
carlito_syrichta ENSTSYG00000000048
chinchilla_lanigera ENSCLAG00000013273
octodon_degus ENSODEG00000008896
cavia_aperea ENSCAPG00000007933
cavia_porcellus ENSCPOG00000005026
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011151
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018911
fukomys_damarensis ENSFDAG00000009690
dipodomys_ordii ENSDORG00000012621
urocitellus_parryii ENSUPAG00010017696
spermophilus_dauricus ENSSDAG00000021777
ictidomys_tridecemlineatus ENSSTOG00000008893
marmota_marmota_marmota ENSMMMG00000013815
prolemur_simus ENSPSMG00000007489
microcebus_murinus ENSMICG00000003562
propithecus_coquereli ENSPCOG00000015766
otolemur_garnettii ENSOGAG00000010292
pan_paniscus ENSPPAG00000017325
pan_troglodytes ENSPTRG00000017444
gorilla_gorilla ENSGGOG00000014438
homo_sapiens ENSG00000164574
pongo_abelii ENSPPYG00000015973
nomascus_leucogenys ENSNLEG00000016565
macaca_fascicularis ENSMFAG00000035971
macaca_mulatta ENSMMUG00000010615
macaca_nemestrina ENSMNEG00000036504
mandrillus_leucophaeus ENSMLEG00000037853
cercocebus_atys ENSCATG00000021578
papio_anubis ENSPANG00000013928
theropithecus_gelada ENSTGEG00000006499
chlorocebus_sabaeus ENSCSAG00000010818
rhinopithecus_roxellana ENSRROG00000044765
rhinopithecus_bieti ENSRBIG00000042569
colobus_angolensis_palliatus ENSCANG00000043405
piliocolobus_tephrosceles ENSPTEG00000015633
saimiri_boliviensis_boliviensis ENSSBOG00000033607
callithrix_jacchus ENSCJAG00000004500
cebus_capucinus_imitator ENSCCAG00000032842
aotus_nancymaae ENSANAG00000033725
oryctolagus_cuniculus ENSOCUG00000011091
ochotona_princeps ENSOPRG00000014532
castor_canadensis ENSCCNG00000031626
choloepus_hoffmanni ENSCHOG00000002802
neovison_vison ENSNVIG00000019902
mustela_putorius_furo ENSMPUG00000013590
canis_lupus_dingo ENSCAFG00020023844
canis_lupus_familiaris ENSCAFG00000017644
vulpes_vulpes ENSVVUG00000004691
ursus_americanus ENSUAMG00000020149
ursus_maritimus ENSUMAG00000003064
ailuropoda_melanoleuca ENSAMEG00000016701
panthera_pardus ENSPPRG00000013465
panthera_tigris_altaica ENSPTIG00000020833
felis_catus ENSFCAG00000014984
equus_asinus_asinus ENSEASG00005001101
equus_caballus ENSECAG00000006979
myotis_lucifugus ENSMLUG00000009097
pteropus_vampyrus ENSPVAG00000002259
sus_scrofa ENSSSCG00000017072
vicugna_pacos ENSVPAG00000010712
bos_mutus ENSBMUG00000024130
bos_taurus ENSBTAG00000034113
bison_bison_bison ENSBBBG00000011862
ovis_aries ENSOARG00000009738
capra_hircus ENSCHIG00000017035
tursiops_truncatus ENSTTRG00000005125
castor_canadensis ENSCCNG00000031646
dasypus_novemcinctus ENSDNOG00000018535
tupaia_belangeri ENSTBEG00000013570
carlito_syrichta ENSTSYG00000028481
loxodonta_africana ENSLAFG00000008266
procavia_capensis ENSPCAG00000012876
echinops_telfairi ENSETEG00000012762
erinaceus_europaeus ENSEEUG00000004101
ornithorhynchus_anatinus ENSOANG00000005100
gallus_gallus ENSGALG00000004033
meleagris_gallopavo ENSMGAG00000005743
numida_meleagris ENSNMEG00000018072
anser_brachyrhynchus ENSABRG00000017149
anas_platyrhynchos_platyrhynchos ENSAPLG00000007938
melopsittacus_undulatus ENSMUNG00000001058
calidris_pygmaea ENSCPGG00000015820
calidris_pugnax ENSCPUG00000001448
manacus_vitellinus ENSMVIG00005016471
lepidothrix_coronata ENSLCOG00000003214
lonchura_striata_domestica ENSLSDG00000010011
taeniopygia_guttata ENSTGUG00000000711
junco_hyemalis ENSJHYG00000001685
zonotrichia_albicollis ENSZALG00000010380
serinus_canaria ENSSCAG00000012752
ficedula_albicollis ENSFALG00000008313
parus_major ENSPMJG00000007807
cyanistes_caeruleus ENSCCEG00000007973
apteryx_rowi ENSARWG00000015570
apteryx_owenii ENSAOWG00000016645
dromaius_novaehollandiae ENSDNVG00000002353
nothoprocta_perdicaria ENSNPEG00000005871
coturnix_japonica ENSCJPG00005007200
crocodylus_porosus ENSCPRG00005012910
gopherus_agassizii ENSGAGG00000013228
chelonoidis_abingdonii ENSCABG00000012563
chrysemys_picta_bellii ENSCPBG00000002247
pelodiscus_sinensis ENSPSIG00000003738
pogona_vitticeps ENSPVIG00000008105
anolis_carolinensis ENSACAG00000004178
notechis_scutatus ENSNSUG00000016517
salvator_merianae ENSSMRG00000015126
sphenodon_punctatus ENSSPUG00000012306
xenopus_tropicalis ENSXETG00000008481
latimeria_chalumnae ENSLACG00000018628
stegastes_partitus ENSSPAG00000003050
amphiprion_percula ENSAPEG00000006141
gasterosteus_aculeatus ENSGACG00000020820
mola_mola ENSMMOG00000012620
mastacembelus_armatus ENSMAMG00000021816
monopterus_albus ENSMALG00000015976
haplochromis_burtoni ENSHBUG00000013862
pundamilia_nyererei ENSPNYG00000013116
astatotilapia_calliptera ENSACLG00000024695
labrus_bergylta ENSLBEG00000027916
maylandia_zebra ENSMZEG00005014354
neolamprologus_brichardi ENSNBRG00000014885
oreochromis_niloticus ENSONIG00000016454
amphilophus_citrinellus ENSACIG00000013099
anabas_testudineus ENSATEG00000013780
seriola_dumerili ENSSDUG00000004760
seriola_lalandi_dorsalis ENSSLDG00000011047
takifugu_rubripes ENSTRUG00000002702
tetraodon_nigroviridis ENSTNIG00000007629
kryptolebias_marmoratus ENSKMAG00000003436
xiphophorus_maculatus ENSXMAG00000015451
gambusia_affinis ENSGAFG00000011315
poecilia_formosa ENSPFOG00000012554
poecilia_latipinna ENSPLAG00000019640
poecilia_mexicana ENSPMEG00000003381
poecilia_reticulata ENSPREG00000013470
fundulus_heteroclitus ENSFHEG00000019328
cyprinodon_variegatus ENSCVAG00000020921
oryzias_latipes_asm223467v1 ENSORLG00000028305
oryzias_latipes_asm223469v1 ENSORLG00015014076
oryzias_latipes_asm223471v1 ENSORLG00020007676
oryzias_melastigma ENSOMEG00000023749
labrus_bergylta ENSLBEG00000000551
cynoglossus_semilaevis ENSCSEG00000020667
hippocampus_comes ENSHCOG00000018945
hippocampus_comes ENSHCOG00000018921
seriola_lalandi_dorsalis ENSSLDG00000010178
mastacembelus_armatus ENSMAMG00000021822
seriola_lalandi_dorsalis ENSSLDG00000011278
seriola_dumerili ENSSDUG00000004744
monopterus_albus ENSMALG00000019664
amphiprion_ocellaris ENSAOCG00000012518
amphiprion_percula ENSAPEG00000006211
acanthochromis_polyacanthus ENSAPOG00000023523
stegastes_partitus ENSSPAG00000007855
amphiprion_ocellaris ENSAOCG00000003988
acanthochromis_polyacanthus ENSAPOG00000023446
astatotilapia_calliptera ENSACLG00000024665
labrus_bergylta ENSLBEG00000009929
labrus_bergylta ENSLBEG00000012338
gasterosteus_aculeatus ENSGACG00000020821
takifugu_rubripes ENSTRUG00000000238
tetraodon_nigroviridis ENSTNIG00000007628
scophthalmus_maximus ENSSMAG00000010369
scophthalmus_maximus ENSSMAG00000010336
xiphophorus_couchianus ENSXCOG00000018793
xiphophorus_couchianus ENSXCOG00000018794
xiphophorus_maculatus ENSXMAG00000015458
gambusia_affinis ENSGAFG00000011338
poecilia_formosa ENSPFOG00000012383
poecilia_latipinna ENSPLAG00000017434
poecilia_mexicana ENSPMEG00000003414
poecilia_reticulata ENSPREG00000013363
cyprinodon_variegatus ENSCVAG00000020904
kryptolebias_marmoratus ENSKMAG00000003487
oryzias_latipes_asm223467v1 ENSORLG00000015542
oryzias_latipes_asm223469v1 ENSORLG00015014020
oryzias_latipes_asm223471v1 ENSORLG00020007470
oryzias_melastigma ENSOMEG00000023738
maylandia_zebra ENSMZEG00005011905
pundamilia_nyererei ENSPNYG00000013148
astatotilapia_calliptera ENSACLG00000024746
haplochromis_burtoni ENSHBUG00000013816
neolamprologus_brichardi ENSNBRG00000014920
oreochromis_niloticus ENSONIG00000016451
amphilophus_citrinellus ENSACIG00000013124
anabas_testudineus ENSATEG00000013804
periophthalmus_magnuspinnatus ENSPMGG00000011661
periophthalmus_magnuspinnatus ENSPMGG00000001344
gadus_morhua ENSGMOG00000011581
esox_lucius ENSELUG00000021702
pygocentrus_nattereri ENSPNAG00000021124
astyanax_mexicanus ENSAMXG00000000841
danio_rerio ENSDARG00000100453
scleropages_formosus ENSSFOG00015010834
paramormyrops_kingsleyae ENSPKIG00000009986
lepisosteus_oculatus ENSLOCG00000012431
ictalurus_punctatus ENSIPUG00000019034
melopsittacus_undulatus ENSMUNG00000001786
maylandia_zebra ENSMZEG00005011889
amphiprion_ocellaris ENSAOCG00000012369
scophthalmus_maximus ENSSMAG00000010357
maylandia_zebra ENSMZEG00005028330
astatotilapia_calliptera ENSACLG00000001906
fundulus_heteroclitus ENSFHEG00000016268
fundulus_heteroclitus ENSFHEG00000016262
acanthochromis_polyacanthus ENSAPOG00000022371
amphiprion_ocellaris ENSAOCG00000012432
xiphophorus_couchianus ENSXCOG00000018790
seriola_dumerili ENSSDUG00000004726
scophthalmus_maximus ENSSMAG00000014925
acanthochromis_polyacanthus ENSAPOG00000022390
labrus_bergylta ENSLBEG00000013533
paramormyrops_kingsleyae ENSPKIG00000009978
danio_rerio ENSDARG00000103825
eptatretus_burgeri ENSEBUG00000005088
