xiphophorus_maculatus ENSXMAG00000025706
poecilia_latipinna ENSPLAG00000003914
oryzias_latipes_asm223471v1 ENSORLG00020009594
esox_lucius ENSELUG00000014205
lepisosteus_oculatus ENSLOCG00000003161
loxodonta_africana ENSLAFG00000009391
echinops_telfairi ENSETEG00000009443
choloepus_hoffmanni ENSCHOG00000003712
nomascus_leucogenys ENSNLEG00000004376
nomascus_leucogenys ENSNLEG00000016344
pan_troglodytes ENSPTRG00000020834
pan_paniscus ENSPPAG00000012895
homo_sapiens ENSG00000184434
gorilla_gorilla ENSGGOG00000036824
pongo_abelii ENSPPYG00000019160
macaca_mulatta ENSMMUG00000006079
macaca_fascicularis ENSMFAG00000034288
macaca_nemestrina ENSMNEG00000030147
mandrillus_leucophaeus ENSMLEG00000034932
chlorocebus_sabaeus ENSCSAG00000009756
papio_anubis ENSPANG00000036052
theropithecus_gelada ENSTGEG00000012515
cercocebus_atys ENSCATG00000034126
colobus_angolensis_palliatus ENSCANG00000032698
piliocolobus_tephrosceles ENSPTEG00000015307
rhinopithecus_roxellana ENSRROG00000042392
rhinopithecus_bieti ENSRBIG00000004225
saimiri_boliviensis_boliviensis ENSSBOG00000022112
callithrix_jacchus ENSCJAG00000046866
cebus_capucinus_imitator ENSCCAG00000025111
aotus_nancymaae ENSANAG00000027677
carlito_syrichta ENSTSYG00000007991
microcebus_murinus ENSMICG00000037703
prolemur_simus ENSPSMG00000011368
otolemur_garnettii ENSOGAG00000006322
tupaia_belangeri ENSTBEG00000014144
castor_canadensis ENSCCNG00000011732
dipodomys_ordii ENSDORG00000008965
mus_spicilegus ENSMSIG00000024970
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027131
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000049799
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026166
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028503
rattus_norvegicus ENSRNOG00000022225
meriones_unguiculatus ENSMUGG00000012876
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023151
cricetulus_griseus_crigri_1.0 ENSCGRG00000009415
cricetulus_griseus_crigri-picr ENSCGRG00015017588
mesocricetus_auratus ENSMAUG00000006577
peromyscus_maniculatus_bairdii ENSPEMG00000017681
microtus_ochrogaster ENSMOCG00000008422
nannospalax_galili ENSNGAG00000004826
jaculus_jaculus ENSJJAG00000022557
spermophilus_dauricus ENSSDAG00000021668
ictidomys_tridecemlineatus ENSSTOG00000013263
urocitellus_parryii ENSUPAG00010008202
marmota_marmota_marmota ENSMMMG00000009258
chinchilla_lanigera ENSCLAG00000002476
octodon_degus ENSODEG00000003217
cavia_porcellus ENSCPOG00000012981
cavia_aperea ENSCAPG00000016756
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016749
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001552
fukomys_damarensis ENSFDAG00000017148
oryctolagus_cuniculus ENSOCUG00000029228
ochotona_princeps ENSOPRG00000009729
ovis_aries ENSOARG00000014554
capra_hircus ENSCHIG00000024759
bos_taurus ENSBTAG00000043983
bos_mutus ENSBMUG00000022097
bison_bison_bison ENSBBBG00000017856
tursiops_truncatus ENSTTRG00000005431
sus_scrofa ENSSSCG00000005125
vicugna_pacos ENSVPAG00000007948
ailuropoda_melanoleuca ENSAMEG00000005554
ursus_maritimus ENSUMAG00000005751
neovison_vison ENSNVIG00000012104
mustela_putorius_furo ENSMPUG00000015943
canis_lupus_dingo ENSCAFG00020014406
canis_lupus_familiaris ENSCAFG00000001712
vulpes_vulpes ENSVVUG00000021229
panthera_tigris_altaica ENSPTIG00000019449
panthera_pardus ENSPPRG00000003025
felis_catus ENSFCAG00000025095
pteropus_vampyrus ENSPVAG00000013581
myotis_lucifugus ENSMLUG00000007756
equus_caballus ENSECAG00000016547
equus_asinus_asinus ENSEASG00005004679
erinaceus_europaeus ENSEEUG00000002313
sorex_araneus ENSSARG00000001838
phascolarctos_cinereus ENSPCIG00000002801
sarcophilus_harrisii ENSSHAG00000004213
monodelphis_domestica ENSMODG00000004246
ornithorhynchus_anatinus ENSOANG00000022516
pogona_vitticeps ENSPVIG00000004513
anolis_carolinensis ENSACAG00000028864
notechis_scutatus ENSNSUG00000007199
salvator_merianae ENSSMRG00000020928
sphenodon_punctatus ENSSPUG00000010178
apteryx_haastii ENSAHAG00000010086
apteryx_owenii ENSAOWG00000012739
apteryx_rowi ENSARWG00000008541
dromaius_novaehollandiae ENSDNVG00000001513
nothoprocta_perdicaria ENSNPEG00000015731
calidris_pugnax ENSCPUG00000013744
calidris_pygmaea ENSCPGG00000008326
melopsittacus_undulatus ENSMUNG00000004273
lepidothrix_coronata ENSLCOG00000014392
manacus_vitellinus ENSMVIG00005019765
serinus_canaria ENSSCAG00000011014
lonchura_striata_domestica ENSLSDG00000007105
zonotrichia_albicollis ENSZALG00000015793
ficedula_albicollis ENSFALG00000007343
parus_major ENSPMJG00000004944
cyanistes_caeruleus ENSCCEG00000014490
coturnix_japonica ENSCJPG00005003623
numida_meleagris ENSNMEG00000009890
gallus_gallus ENSGALG00000045028
anas_platyrhynchos_platyrhynchos ENSAPLG00000016953
anser_brachyrhynchus ENSABRG00000015031
crocodylus_porosus ENSCPRG00005015340
gopherus_agassizii ENSGAGG00000008973
chelonoidis_abingdonii ENSCABG00000013997
chrysemys_picta_bellii ENSCPBG00000007908
pelodiscus_sinensis ENSPSIG00000011620
latimeria_chalumnae ENSLACG00000012490
