nannospalax_galili ENSNGAG00000005646
mesocricetus_auratus ENSMAUG00000009518
cavia_aperea ENSCAPG00000003895
monodelphis_domestica ENSMODG00000015762
notamacropus_eugenii ENSMEUG00000009503
ornithorhynchus_anatinus ENSOANG00000020040
serinus_canaria ENSSCAG00000015762
gopherus_agassizii ENSGAGG00000004762
chelonoidis_abingdonii ENSCABG00000007212
pelodiscus_sinensis ENSPSIG00000012602
apteryx_owenii ENSAOWG00000011825
pogona_vitticeps ENSPVIG00000009177
anolis_carolinensis ENSACAG00000014321
notechis_scutatus ENSNSUG00000019265
salvator_merianae ENSSMRG00000001090
sphenodon_punctatus ENSSPUG00000000528
latimeria_chalumnae ENSLACG00000005161
pygocentrus_nattereri ENSPNAG00000026449
astyanax_mexicanus ENSAMXG00000042357
ictalurus_punctatus ENSIPUG00000014316
danio_rerio ENSDARG00000076966
tetraodon_nigroviridis ENSTNIG00000006531
takifugu_rubripes ENSTRUG00000008135
labrus_bergylta ENSLBEG00000022984
scophthalmus_maximus ENSSMAG00000016828
monopterus_albus ENSMALG00000008599
mastacembelus_armatus ENSMAMG00000012912
anabas_testudineus ENSATEG00000019256
seriola_lalandi_dorsalis ENSSLDG00000009382
seriola_dumerili ENSSDUG00000023057
amphiprion_ocellaris ENSAOCG00000020942
amphiprion_percula ENSAPEG00000010886
acanthochromis_polyacanthus ENSAPOG00000023646
stegastes_partitus ENSSPAG00000001405
haplochromis_burtoni ENSHBUG00000008250
pundamilia_nyererei ENSPNYG00000016847
maylandia_zebra ENSMZEG00005013782
astatotilapia_calliptera ENSACLG00000009889
oreochromis_niloticus ENSONIG00000011469
neolamprologus_brichardi ENSNBRG00000012243
amphilophus_citrinellus ENSACIG00000014904
poecilia_formosa ENSPFOG00000005564
poecilia_latipinna ENSPLAG00000017170
poecilia_mexicana ENSPMEG00000017508
poecilia_reticulata ENSPREG00000023107
xiphophorus_maculatus ENSXMAG00000026152
xiphophorus_couchianus ENSXCOG00000001597
gambusia_affinis ENSGAFG00000000230
cyprinodon_variegatus ENSCVAG00000015648
kryptolebias_marmoratus ENSKMAG00000021575
oryzias_latipes_asm223467v1 ENSORLG00000029880
oryzias_latipes_asm223471v1 ENSORLG00020015940
oryzias_latipes_asm223469v1 ENSORLG00015013991
fundulus_heteroclitus ENSFHEG00000014440
oryzias_melastigma ENSOMEG00000020779
cynoglossus_semilaevis ENSCSEG00000017686
mola_mola ENSMMOG00000001490
gasterosteus_aculeatus ENSGACG00000007554
hippocampus_comes ENSHCOG00000017693
periophthalmus_magnuspinnatus ENSPMGG00000014840
gadus_morhua ENSGMOG00000016769
esox_lucius ENSELUG00000022600
scleropages_formosus ENSSFOG00015001478
paramormyrops_kingsleyae ENSPKIG00000018363
xenopus_tropicalis ENSXETG00000004672
petromyzon_marinus ENSPMAG00000008269
castor_canadensis ENSCCNG00000028355
dipodomys_ordii ENSDORG00000007994
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014329
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015925
fukomys_damarensis ENSFDAG00000012108
octodon_degus ENSODEG00000014140
octodon_degus ENSODEG00000000810
chinchilla_lanigera ENSCLAG00000009746
cavia_porcellus ENSCPOG00000001508
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017938
microtus_ochrogaster ENSMOCG00000009267
peromyscus_maniculatus_bairdii ENSPEMG00000029303
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031593
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030479
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000092534
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013689
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031595
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031594
mus_spicilegus ENSMSIG00000000563
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030680
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000107068
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030481
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030480
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013691
rattus_norvegicus ENSRNOG00000020217
meriones_unguiculatus ENSMUGG00000012613
jaculus_jaculus ENSJJAG00000016682
ictidomys_tridecemlineatus ENSSTOG00000001478
urocitellus_parryii ENSUPAG00010023586
spermophilus_dauricus ENSSDAG00000009380
marmota_marmota_marmota ENSMMMG00000023782
oryctolagus_cuniculus ENSOCUG00000012887
ochotona_princeps ENSOPRG00000009506
tupaia_belangeri ENSTBEG00000006823
pan_troglodytes ENSPTRG00000007970
pan_paniscus ENSPPAG00000029230
homo_sapiens ENSG00000280789
gorilla_gorilla ENSGGOG00000043142
nomascus_leucogenys ENSNLEG00000007562
colobus_angolensis_palliatus ENSCANG00000013769
piliocolobus_tephrosceles ENSPTEG00000029657
rhinopithecus_roxellana ENSRROG00000025694
rhinopithecus_bieti ENSRBIG00000041801
macaca_fascicularis ENSMFAG00000044721
macaca_nemestrina ENSMNEG00000045428
papio_anubis ENSPANG00000016367
theropithecus_gelada ENSTGEG00000013049
chlorocebus_sabaeus ENSCSAG00000006114
mandrillus_leucophaeus ENSMLEG00000043558
cercocebus_atys ENSCATG00000037521
cebus_capucinus_imitator ENSCCAG00000033539
callithrix_jacchus ENSCJAG00000007182
saimiri_boliviensis_boliviensis ENSSBOG00000029228
aotus_nancymaae ENSANAG00000030147
carlito_syrichta ENSTSYG00000008812
propithecus_coquereli ENSPCOG00000016016
prolemur_simus ENSPSMG00000006731
microcebus_murinus ENSMICG00000047735
otolemur_garnettii ENSOGAG00000010507
ursus_maritimus ENSUMAG00000011158
ursus_americanus ENSUAMG00000006535
ailuropoda_melanoleuca ENSAMEG00000014873
neovison_vison ENSNVIG00000025021
canis_lupus_dingo ENSCAFG00020017743
canis_lupus_familiaris ENSCAFG00000016976
vulpes_vulpes ENSVVUG00000026095
panthera_pardus ENSPPRG00000020339
panthera_tigris_altaica ENSPTIG00000007029
felis_catus ENSFCAG00000028241
pteropus_vampyrus ENSPVAG00000017212
capra_hircus ENSCHIG00000012427
ovis_aries ENSOARG00000005451
bos_taurus ENSBTAG00000010904
bos_mutus ENSBMUG00000022267
bison_bison_bison ENSBBBG00000016687
tursiops_truncatus ENSTTRG00000005446
myotis_lucifugus ENSMLUG00000012895
equus_caballus ENSECAG00000024528
equus_asinus_asinus ENSEASG00005013181
sorex_araneus ENSSARG00000005680
loxodonta_africana ENSLAFG00000032212
procavia_capensis ENSPCAG00000010705
dasypus_novemcinctus ENSDNOG00000048009
erinaceus_europaeus ENSEEUG00000012271
drosophila_melanogaster FBgn0030294
