cebus_capucinus_imitator ENSCCAG00000021427
saimiri_boliviensis_boliviensis ENSSBOG00000021577
aotus_nancymaae ENSANAG00000030475
aotus_nancymaae ENSANAG00000021978
pan_paniscus ENSPPAG00000026009
pan_troglodytes ENSPTRG00000015498
homo_sapiens ENSG00000163746
gorilla_gorilla ENSGGOG00000004864
pongo_abelii ENSPPYG00000014186
mandrillus_leucophaeus ENSMLEG00000041951
cercocebus_atys ENSCATG00000036287
macaca_fascicularis ENSMFAG00000044040
macaca_nemestrina ENSMNEG00000003256
papio_anubis ENSPANG00000016298
theropithecus_gelada ENSTGEG00000007897
chlorocebus_sabaeus ENSCSAG00000011381
piliocolobus_tephrosceles ENSPTEG00000010729
colobus_angolensis_palliatus ENSCANG00000041203
rhinopithecus_roxellana ENSRROG00000031280
