heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014275
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015034
peromyscus_maniculatus_bairdii ENSPEMG00000026414
cricetulus_griseus_crigri-picr ENSCGRG00015000332
marmota_marmota_marmota ENSMMMG00000024723
urocitellus_parryii ENSUPAG00010006295
castor_canadensis ENSCCNG00000007979
oryctolagus_cuniculus ENSOCUG00000008602
ochotona_princeps ENSOPRG00000010566
prolemur_simus ENSPSMG00000017653
microcebus_murinus ENSMICG00000047336
otolemur_garnettii ENSOGAG00000015262
pan_paniscus ENSPPAG00000030958
pan_troglodytes ENSPTRG00000011561
homo_sapiens ENSG00000083817
gorilla_gorilla ENSGGOG00000004150
pongo_abelii ENSPPYG00000010473
nomascus_leucogenys ENSNLEG00000010978
chlorocebus_sabaeus ENSCSAG00000001628
cercocebus_atys ENSCATG00000030654
mandrillus_leucophaeus ENSMLEG00000036000
theropithecus_gelada ENSTGEG00000015110
papio_anubis ENSPANG00000003201
macaca_mulatta ENSMMUG00000009290
macaca_fascicularis ENSMFAG00000002577
macaca_nemestrina ENSMNEG00000040529
colobus_angolensis_palliatus ENSCANG00000022075
piliocolobus_tephrosceles ENSPTEG00000003117
rhinopithecus_roxellana ENSRROG00000044587
rhinopithecus_bieti ENSRBIG00000033704
cebus_capucinus_imitator ENSCCAG00000034081
callithrix_jacchus ENSCJAG00000000045
saimiri_boliviensis_boliviensis ENSSBOG00000025993
aotus_nancymaae ENSANAG00000032613
rattus_norvegicus ENSRNOG00000050476
bison_bison_bison ENSBBBG00000025373
bos_mutus ENSBMUG00000021651
