oryctolagus_cuniculus ENSOCUG00000005355
spermophilus_dauricus ENSSDAG00000007386
ursus_americanus ENSUAMG00000006524
castor_canadensis ENSCCNG00000012118
phascolarctos_cinereus ENSPCIG00000032586
phascolarctos_cinereus ENSPCIG00000006032
phascolarctos_cinereus ENSPCIG00000034784
myotis_lucifugus ENSMLUG00000014892
equus_caballus ENSECAG00000035840
pteropus_vampyrus ENSPVAG00000009217
myotis_lucifugus ENSMLUG00000010189
ailuropoda_melanoleuca ENSAMEG00000008415
urocitellus_parryii ENSUPAG00010008750
octodon_degus ENSODEG00000017801
equus_caballus ENSECAG00000028394
loxodonta_africana ENSLAFG00000007437
papio_anubis ENSPANG00000029597
carlito_syrichta ENSTSYG00000003889
carlito_syrichta ENSTSYG00000006922
carlito_syrichta ENSTSYG00000005879
cavia_porcellus ENSCPOG00000031771
ochotona_princeps ENSOPRG00000006030
equus_caballus ENSECAG00000037238
equus_asinus_asinus ENSEASG00005006603
echinops_telfairi ENSETEG00000005276
piliocolobus_tephrosceles ENSPTEG00000003529
castor_canadensis ENSCCNG00000010679
erinaceus_europaeus ENSEEUG00000007708
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018357
cricetulus_griseus_crigri_1.0 ENSCGRG00000019950
cricetulus_griseus_crigri_1.0 ENSCGRG00000013774
nannospalax_galili ENSNGAG00000001614
dipodomys_ordii ENSDORG00000023366
dipodomys_ordii ENSDORG00000001993
dipodomys_ordii ENSDORG00000023721
echinops_telfairi ENSETEG00000007384
choloepus_hoffmanni ENSCHOG00000002855
ursus_americanus ENSUAMG00000009312
phascolarctos_cinereus ENSPCIG00000034415
phascolarctos_cinereus ENSPCIG00000033424
phascolarctos_cinereus ENSPCIG00000030781
notamacropus_eugenii ENSMEUG00000013612
dipodomys_ordii ENSDORG00000005662
ursus_maritimus ENSUMAG00000018180
loxodonta_africana ENSLAFG00000013955
