heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005108
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008514
fukomys_damarensis ENSFDAG00000016525
cavia_porcellus ENSCPOG00000020718
cavia_aperea ENSCAPG00000013870
octodon_degus ENSODEG00000012544
chinchilla_lanigera ENSCLAG00000006029
urocitellus_parryii ENSUPAG00010018384
ictidomys_tridecemlineatus ENSSTOG00000026260
spermophilus_dauricus ENSSDAG00000010628
oryctolagus_cuniculus ENSOCUG00000021838
pan_paniscus ENSPPAG00000039902
pan_troglodytes ENSPTRG00000010718
homo_sapiens ENSG00000167487
gorilla_gorilla ENSGGOG00000007063
pongo_abelii ENSPPYG00000009750
papio_anubis ENSPANG00000023921
theropithecus_gelada ENSTGEG00000014715
cercocebus_atys ENSCATG00000040338
mandrillus_leucophaeus ENSMLEG00000038620
macaca_fascicularis ENSMFAG00000044055
macaca_nemestrina ENSMNEG00000045346
chlorocebus_sabaeus ENSCSAG00000005309
piliocolobus_tephrosceles ENSPTEG00000029592
colobus_angolensis_palliatus ENSCANG00000042150
rhinopithecus_roxellana ENSRROG00000030821
rhinopithecus_bieti ENSRBIG00000023916
cebus_capucinus_imitator ENSCCAG00000019068
callithrix_jacchus ENSCJAG00000007445
saimiri_boliviensis_boliviensis ENSSBOG00000031453
aotus_nancymaae ENSANAG00000022024
prolemur_simus ENSPSMG00000000655
otolemur_garnettii ENSOGAG00000004926
propithecus_coquereli ENSPCOG00000028544
carlito_syrichta ENSTSYG00000026586
ursus_americanus ENSUAMG00000027692
ailuropoda_melanoleuca ENSAMEG00000011385
mustela_putorius_furo ENSMPUG00000015521
neovison_vison ENSNVIG00000018276
canis_lupus_dingo ENSCAFG00020012290
canis_lupus_familiaris ENSCAFG00000014671
vulpes_vulpes ENSVVUG00000007964
felis_catus ENSFCAG00000042696
panthera_pardus ENSPPRG00000003359
pteropus_vampyrus ENSPVAG00000009931
myotis_lucifugus ENSMLUG00000003470
equus_caballus ENSECAG00000008486
equus_asinus_asinus ENSEASG00005006276
panthera_tigris_altaica ENSPTIG00000009230
tursiops_truncatus ENSTTRG00000010497
sus_scrofa ENSSSCG00000013913
capra_hircus ENSCHIG00000009198
ovis_aries ENSOARG00000011300
bos_taurus ENSBTAG00000014114
bison_bison_bison ENSBBBG00000015461
bos_mutus ENSBMUG00000015350
panthera_tigris_altaica ENSPTIG00000009351
macaca_mulatta ENSMMUG00000043211
nomascus_leucogenys ENSNLEG00000006077
marmota_marmota_marmota ENSMMMG00000001749
spermophilus_dauricus ENSSDAG00000010616
castor_canadensis ENSCCNG00000019346
dipodomys_ordii ENSDORG00000000436
nannospalax_galili ENSNGAG00000010743
jaculus_jaculus ENSJJAG00000015486
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032263
mus_spicilegus ENSMSIG00000032059
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055707
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031145
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021610
rattus_norvegicus ENSRNOG00000020088
meriones_unguiculatus ENSMUGG00000013563
cricetulus_griseus_crigri_1.0 ENSCGRG00000005093
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020014
cricetulus_griseus_crigri-picr ENSCGRG00015000380
mesocricetus_auratus ENSMAUG00000021352
microtus_ochrogaster ENSMOCG00000017635
peromyscus_maniculatus_bairdii ENSPEMG00000016863
microcebus_murinus ENSMICG00000045410
sorex_araneus ENSSARG00000012806
loxodonta_africana ENSLAFG00000003041
procavia_capensis ENSPCAG00000004416
echinops_telfairi ENSETEG00000007022
dasypus_novemcinctus ENSDNOG00000042787
