anolis_carolinensis ENSACAG00000014895
pogona_vitticeps ENSPVIG00000025294
notechis_scutatus ENSNSUG00000016827
salvator_merianae ENSSMRG00000023093
sphenodon_punctatus ENSSPUG00000016513
calidris_pugnax ENSCPUG00000012747
calidris_pygmaea ENSCPGG00000016292
melopsittacus_undulatus ENSMUNG00000005526
taeniopygia_guttata ENSTGUG00000016724
taeniopygia_guttata ENSTGUG00000013555
lonchura_striata_domestica ENSLSDG00000014491
serinus_canaria ENSSCAG00000016562
junco_hyemalis ENSJHYG00000007779
zonotrichia_albicollis ENSZALG00000016250
cyanistes_caeruleus ENSCCEG00000017842
parus_major ENSPMJG00000012070
ficedula_albicollis ENSFALG00000011994
lepidothrix_coronata ENSLCOG00000011244
manacus_vitellinus ENSMVIG00005001937
apteryx_owenii ENSAOWG00000009068
apteryx_haastii ENSAHAG00000018786
apteryx_rowi ENSARWG00000003956
dromaius_novaehollandiae ENSDNVG00000010116
coturnix_japonica ENSCJPG00005004680
meleagris_gallopavo ENSMGAG00000014493
gallus_gallus ENSGALG00000015751
numida_meleagris ENSNMEG00000010698
numida_meleagris ENSNMEG00000010699
anser_brachyrhynchus ENSABRG00000021658
anas_platyrhynchos_platyrhynchos ENSAPLG00000030333
nothoprocta_perdicaria ENSNPEG00000014930
crocodylus_porosus ENSCPRG00005013410
gopherus_agassizii ENSGAGG00000016633
chelonoidis_abingdonii ENSCABG00000019897
chrysemys_picta_bellii ENSCPBG00000026810
pelodiscus_sinensis ENSPSIG00000012660
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020499
cricetulus_griseus_crigri-picr ENSCGRG00015002292
cricetulus_griseus_crigri_1.0 ENSCGRG00000001598
mesocricetus_auratus ENSMAUG00000020461
microtus_ochrogaster ENSMOCG00000014579
peromyscus_maniculatus_bairdii ENSPEMG00000024756
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021795
mus_spicilegus ENSMSIG00000000322
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022890
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020890
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016594
rattus_norvegicus ENSRNOG00000001551
meriones_unguiculatus ENSMUGG00000009276
meriones_unguiculatus ENSMUGG00000009238
nannospalax_galili ENSNGAG00000011639
nannospalax_galili ENSNGAG00000012705
jaculus_jaculus ENSJJAG00000023690
castor_canadensis ENSCCNG00000009873
dipodomys_ordii ENSDORG00000024915
octodon_degus ENSODEG00000012348
octodon_degus ENSODEG00000018628
chinchilla_lanigera ENSCLAG00000007684
cavia_aperea ENSCAPG00000008523
cavia_porcellus ENSCPOG00000004703
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009401
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003972
fukomys_damarensis ENSFDAG00000015576
panthera_pardus ENSPPRG00000020162
canis_lupus_dingo ENSCAFG00020026335
carlito_syrichta ENSTSYG00000025974
carlito_syrichta ENSTSYG00000008583
prolemur_simus ENSPSMG00000007392
ursus_maritimus ENSUMAG00000014758
ursus_americanus ENSUAMG00000006119
